work_id	canonical_title	normalized_title	title_variants_json	cluster_status	notes
qb_lit_anna_karenina_1e1d429c	Anna Karenina	anna karenina	"{""Anna Karenina"":615,""​Anna Karenina​"":2,""ANNA KARENINA"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_a_raisin_in_the_sun_25ecdc1d	A Raisin in the Sun	a raisin in the sun	"{""A Raisin in the Sun"":549,""A Raisin in the Sun /"":3,""A RAISIN IN THE SUN"":1,""A Raisin In The Sun"":1,""A Raisin in the Sun​"":1,""A _ Raisin in the Sun"":1,""A ​Raisin in the Sun​"":1,""A ​R​aisin in the Sun"":1,""​A Raisin in the Sun"":1,""​A ​Raisin in the Sun"":1,""​A ​Raisin in the Sun​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_crime_and_punishment_4ab5b8ab	Crime and Punishment	crime and punishment	"{""Crime and Punishment"":683,""CRIME AND PUNISHMENT"":3,""​Crime and Punishment​"":2,""Crime And Punishment"":1,""Crime and Punishment /"":1,""Crime and punishment"":1,""​Crime and Punishment​ ​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_a_dolls_house_86717dfe	A Doll’s House	a dolls house	"{""A Doll’s House"":594,""A Doll's House"":20,""A Doll’s House /"":3,""A DOLL'S HOUSE"":2,""​A ​Doll’s House​"":2,""A Doll’s House​"":1,""A _Doll’s House"":1,""​ ​A Doll’s House"":1,""​A Doll’s House​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_madame_bovary_a9519374	Madame Bovary	madame bovary	"{""Madame Bovary"":642,""​Madame Bovary"":3,""MADAME BOVARY"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_second_coming_cecb0b60	The Second Coming	the second coming	"{""The Second Coming"":970,""Second Coming"":5,""The ​Second Coming​"":3,""The _Second Coming"":2,""The (*) Second Coming"":1,""The _SECOND COMING"":1,""The ​Second Coming"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_iliad_0c7bd588	The Iliad	the iliad	"{""The Iliad"":1628,""Iliad"":21,""The ​Iliad"":1,""the Iliad"":1,""​The Iliad"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_catch_22_3d649189	Catch-22	catch 22	"{""Catch-22"":544,""Catch-22 /"":7,""Catch 22"":6,""CATCH-22"":4,""​Catch-22"":3,""​Catch-22​"":2,""~ Catch-22"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_les_miserables_57c60513	Les Miserables	les miserables	"{""Les Miserables"":649,""Les Misérables"":23,""Les Misérables"":8,""LES MISERABLES"":7,""​Les ​Misérables​"":3,""LES MISÉRABLES"":2,""Les MiSerables"":1,""Les _Miserables_"":1,""​Les Miserables​"":1,""​Les Misérables"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_midnights_children_d941db85	Midnight’s Children	midnights children	"{""Midnight’s Children"":546,""Midnight's Children"":36,""Midnight’s Children /"":4,""​Midnight’s Children"":1,""​Midnight’s Children​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_war_and_peace_6b1525ce	War and Peace	war and peace	"{""War and Peace"":828,""WAR AND PEACE"":4,""War and Peace /"":3,""​War and Peace​"":2}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_native_son_1cc2b31f	Native Son	native son	"{""Native Son"":694,""​Native Son"":2,""NATIVE SON"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_invisible_man_4f63617d	Invisible Man	invisible man	"{""Invisible Man"":545,""INVISIBLE MAN"":5,""​Invisible Man​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_waste_land_1b9005e5	The Waste Land	the waste land	"{""The Waste Land"":767,""The WASTE LAND"":4,""THE WASTE LAND"":2,""The Waste-Land"":1,""​The Waste Land"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_brave_new_world_7f797095	Brave New World	brave new world	"{""Brave New World"":749,""BRAVE NEW WORLD"":2,""​Brave New World"":1,""​Brave New World​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_a_streetcar_named_desire_c43f4e63	A Streetcar Named Desire	a streetcar named desire	"{""A Streetcar Named Desire"":580,""​A ​Streetcar Named Desire"":2,""​A ​Streetcar Named Desire​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_pride_and_prejudice_17f9e344	Pride and Prejudice	pride and prejudice	"{""Pride and Prejudice"":570,""Pride and Prejudice /"":4,""PRIDE AND PREJUDICE"":3,""​Pride and Prejudice"":1,""​Pride and Prejudice​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_our_town_71cc0bbd	Our Town	our town	"{""Our Town"":527,""Our Town / /"":4,""​Our Town"":4,""OUR TOWN"":3,""Our Town​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_sound_and_the_fury_84d020ac	The Sound and the Fury	the sound and the fury	"{""The Sound and the Fury"":629,""THE SOUND AND THE FURY"":5,""The Sound and the Fury /"":4,""The Sound and The Fury"":3,""The SOUND AND THE FURY"":2,""The _SOUND AND THE FURY"":1,""​The ​Sound and the Fury"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_catcher_in_the_rye_d96c6153	The Catcher in the Rye	the catcher in the rye	"{""The Catcher in the Rye"":619,""Catcher in the Rye"":17,""THE CATCHER IN THE RYE"":3,""The Catcher In The Rye"":1,""The _CATCHER IN THE RYE"":1,""The _Catcher in the Rye"":1,""​The Catcher in the Rye"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_whos_afraid_of_virginia_woolf_892c8247	Who’s Afraid of Virginia Woolf	whos afraid of virginia woolf	"{""Who’s Afraid of Virginia Woolf"":456,""Who's Afraid of Virginia Woolf"":50,""Who’s Afraid of Virginia Woolf? /"":3,""​Who’s Afraid of Virginia Woolf"":3,""WHO'S AFRAID OF VIRGINIA WOOLF"":1,""WHO’S AFRAID OF VIRGINIA WOOLF"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_birthday_party_87f49fd3	The Birthday Party	the birthday party	"{""The Birthday Party"":720,""​The Birthday Party"":1,""​The ​Birthday Party"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_tin_drum_0a16c6d9	The Tin Drum	the tin drum	"{""The Tin Drum"":580,""The Tin Drum /"":3,""THE TIN DRUM"":2,""​The Tin Drum"":2,""​The ​Tin Drum​"":2}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_handmaids_tale_6da142d5	The Handmaid’s Tale	the handmaids tale	"{""The Handmaid’s Tale"":553,""The Handmaid's Tale"":46,""The ​Handmaid’s Tale"":1,""​The Handmaid’s Tale"":1,""​The ​Handmaid’s Tale"":1,""​The ​Handmaid’s Tale​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_wuthering_heights_2db8565f	Wuthering Heights	wuthering heights	"{""Wuthering Heights"":518,""Wuthering Heights /"":3,""WUTHERING HEIGHTS"":2,""Wuthering Heights​"":1,""​ ​Wuthering Heights​"":1,""​Wuthering Heights​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_grapes_of_wrath_153474ac	The Grapes of Wrath	the grapes of wrath	"{""The Grapes of Wrath"":578,""The Grapes of Wrath /"":3,""​The ​Grapes of Wrath"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_their_eyes_were_watching_god_8875c58a	Their Eyes Were Watching God	their eyes were watching god	"{""Their Eyes Were Watching God"":535,""​Their Eyes Were Watching God​"":4,""Their Eyes were Watching God"":1,""​Their Eyes Were Watching God"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_death_of_a_salesman_ecd42fd9	Death of a Salesman	death of a salesman	"{""Death of a Salesman"":534,""Death of A Salesman"":3,""​Death of a Salesman"":3,""​Death of a Salesman​"":2,""DEATH OF A SALESMAN"":1,""Death of a Salesman /"":1,""​Death of A Salesman​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_vanity_fair_fe50c1a3	Vanity Fair	vanity fair	"{""Vanity Fair"":675,""​Vanity Fair"":2,""​Vanity Fair​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_waiting_for_godot_ffcb77f0	Waiting for Godot	waiting for godot	"{""Waiting for Godot"":622,""Waiting For Godot"":9,""WAITING FOR GODOT"":2,""​Waiting for Godot"":2,"".WAITING FOR GODOT"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_unbearable_lightness_of_being_4284cf1c	The Unbearable Lightness of Being	the unbearable lightness of being	"{""The Unbearable Lightness of Being"":553,""THE UNBEARABLE LIGHTNESS OF BEING"":1,""The Unbearable Lightness of Being /"":1,""​The Unbearable Lightness of Being"":1,""​The Unbearable Lightness of Being​"":1,""​The ​Unbearable Lightness of Being​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_lord_of_the_flies_f4c78ba3	Lord of the Flies	lord of the flies	"{""Lord of the Flies"":501,""Lord of the Flies /"":3,""LORD OF THE FLIES"":1,""Lord of The Flies"":1,""​Lord of the Flies"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_great_expectations_c9e0f8f8	Great Expectations	great expectations	"{""Great Expectations"":482,""GREAT EXPECTATIONS"":2,""​Great Expectations"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_satanic_verses_334bc6ee	The Satanic Verses	the satanic verses	"{""The Satanic Verses"":631,""Satanic Verses"":8,""SATANIC VERSES"":3,""​The Satanic Verses"":1,""​The ​Satanic Verses​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_fathers_and_sons_52ed18f9	Fathers and Sons	fathers and sons	"{""Fathers and Sons"":570,""FATHERS AND SONS"":1,""​Fathers and Sons​"":1,""​Fathers and Sons​ ​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_rime_of_the_ancient_mariner_cc52c616	The Rime of the Ancient Mariner	the rime of the ancient mariner	"{""The Rime of the Ancient Mariner"":539,""Rime of the Ancient Mariner"":22,""Rime Of The Ancient Mariner"":3,""The RIME OF THE ANCIENT MARINER"":3,""The ​Rime of the Ancient Mariner​"":2,""RIME OF THE ANCIENT MARINER"":1,""THE RIME OF THE ANCIENT MARINER"":1,""The _Rime of the Ancient Mariner"":1,""​Rime of the Ancient Mariner"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_death_in_venice_2b0f9f04	Death in Venice	death in venice	"{""Death in Venice"":549,""Death In Venice"":3,""DEATH IN VENICE"":2,""​Death in Venice​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_house_of_the_spirits_c683733b	The House of the Spirits	the house of the spirits	"{""The House of the Spirits"":572,""​The ​House of the Spirits​"":5,""​The House of the Spirits"":2,""​The ​House of the Spirits​ ​"":2,""The _House of the Spirits"":1,""​The​ ​House of the Spirits​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_three_musketeers_d2f0543f	The Three Musketeers	the three musketeers	"{""The Three Musketeers"":550,""The ​Three Musketeers"":1,""​The ​Three Musketeers​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_julius_caesar_5a4b0c56	Julius Caesar	julius caesar	"{""Julius Caesar"":1792,""JULIUS CAESAR"":2}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_six_characters_in_search_of_an_author_20d2a5d6	Six Characters in Search of an Author	six characters in search of an author	"{""Six Characters in Search of an Author"":471,""Six Characters In Search of an Author"":6,""Six Characters in Search of An Author"":6,""​Six Characters in Search of an Author​"":2,""SIX CHARACTERS IN SEARCH OF AN AUTHOR"":1,""� Six Characters in Search of an Author �"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_importance_of_being_earnest_3adf5001	The Importance of Being Earnest	the importance of being earnest	"{""The Importance of Being Earnest"":487,""The Importance of Being Earnest /"":4,""THE IMPORTANCE OF BEING EARNEST"":3,""The _Importance of Being Earnest"":2,""​The ​Importance of Being Earnest​"":2,""​The ​Importance of Being Earnest"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_a_good_man_is_hard_to_find_131b9771	A Good Man is Hard to Find	a good man is hard to find	"{""A Good Man is Hard to Find"":522,""A Good Man Is Hard to Find"":39,""A Good Man Is Hard To Find"":9,""A Good Man is Hard To Find"":3,""A ​Good Man is Hard to Find​"":3,""​A Good Man is Hard to Find​"":2,""A ​Good Man Is Hard to Find​"":1,""​A Good Man is Hard To Find​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_cherry_orchard_1a662f97	The Cherry Orchard	the cherry orchard	"{""The Cherry Orchard"":520,""​The ​Cherry Orchard​"":2,""The _CHERRY ORCHARD"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_charge_of_the_light_brigade_27af5781	The Charge of the Light Brigade	the charge of the light brigade	"{""The Charge of the Light Brigade"":627,""The ​Charge of the Light Brigade"":2,""The CHARGE OF THE LIGHT BRIGADE"":1,""The Charge of the Light Brigade” /"":1,""​ ​“The ​Charge of the Light Brigade​"":1,""​The Charge of the Light Brigade"":1,""​“​The​ Charge of the Light Brigade​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_miss_julie_518f3d14	Miss Julie	miss julie	"{""Miss Julie"":511,""​Miss Julie​"":3,""​Miss Julie"":2,""MISS JULIE"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_leaves_of_grass_0537717c	Leaves of Grass	leaves of grass	"{""Leaves of Grass"":806,""LEAVES OF GRASS"":3,""​Leaves of Grass"":2,""*Leaves of Grass*"":1,""Leaves of Grass ~~"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_long_days_journey_into_night_e27afa8b	Long Day’s Journey Into Night	long days journey into night	"{""Long Day’s Journey Into Night"":433,""Long Day's Journey Into Night"":22,""Long Day’s Journey into Night"":13,""Long Day's Journey into Night"":10,""​Long Day’s Journey Into Night"":3,""Long Day's Journey Into NIght"":2,""LONG DAY'S JOURNEY INTO NIGHT"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_magic_mountain_17375b44	The Magic Mountain	the magic mountain	"{""The Magic Mountain"":546,""​The ​Magic Mountain​"":3,""The _Magic Mountain"":1,""​The Magic Mountain"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_a_clockwork_orange_345c26a5	A Clockwork Orange	a clockwork orange	"{""A Clockwork Orange"":471,""A CLOCKWORK ORANGE"":3,""​A Clockwork Orange"":2,""​A ​Clockwork Orange"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_divine_comedy_efc86129	The Divine Comedy	the divine comedy	"{""The Divine Comedy"":854,""the Divine Comedy"":3,""The DIVINE COMEDY"":2,""The Divine Comedy /"":2,""The _Divine Comedy"":1,""​The ​Divine Comedy​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_romeo_and_juliet_7a824001	Romeo and Juliet	romeo and juliet	"{""Romeo and Juliet"":1141,""ROMEO AND JULIET"":2,""Romeo and JuLiet"":2}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_slaughterhouse_five_708f44c4	Slaughterhouse-Five	slaughterhouse five	"{""Slaughterhouse-Five"":522,""Slaughterhouse Five"":12,""SLAUGHTERHOUSE-FIVE"":4,""SLAUGHTERHOUSE FIVE"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_ode_on_a_grecian_urn_fcd38b26	Ode on a Grecian Urn	ode on a grecian urn	"{""Ode on a Grecian Urn"":472,""ODE ON A GRECIAN URN"":4,""Ode On a Grecian Urn"":1,""Ode' on a Grecian Urn"":1,""​Ode on a Grecian Urn"":1,""​Ode on a Grecian Urn​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_henry_iv_461375ed	Henry IV	henry iv	"{""Henry IV"":1398,""Henry IV ​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_red_badge_of_courage_714c3736	The Red Badge of Courage	the red badge of courage	"{""The Red Badge of Courage"":530,""The RED BADGE OF COURAGE"":1,""​The ​Red Badge of Courage"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_dover_beach_23ed00ae	Dover Beach	dover beach	"{""Dover Beach"":468}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_dead_souls_ad558171	Dead Souls	dead souls	"{""Dead Souls"":553,""DEAD SOULS"":2}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_as_i_lay_dying_50fee888	As I Lay Dying	as i lay dying	"{""As I Lay Dying"":442,""AS I LAY DYING"":3,""​As I Lay Dying"":2,""​As I Lay Dying​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_iceman_cometh_76d2a90e	The Iceman Cometh	the iceman cometh	"{""The Iceman Cometh"":450,""​The ​Iceman Cometh"":3,""​The Iceman Cometh"":1,""​The I​ceman Cometh​"":1,""�The Iceman Cometh �"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_glass_menagerie_246f146d	The Glass Menagerie	the glass menagerie	"{""The Glass Menagerie"":462,""​The ​Glass Menagerie"":2,""The GLASS MENAGERIE"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_brothers_karamazov_5decfd42	The Brothers Karamazov	the brothers karamazov	"{""The Brothers Karamazov"":501,""The BROTHERS KARAMAZOV"":3,""THE BROTHERS KARAMAZOV"":2,""The _Brothers Karamazov"":2,""​The ​Brothers Karamazov​"":2,""The Brother's Karamazov"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_lion_and_the_jewel_a890b606	The Lion and the Jewel	the lion and the jewel	"{""The Lion and the Jewel"":499,""The Lion and The Jewel"":7,""​The ​Lion and the Jewel"":3}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_a_midsummer_nights_dream_188b90c2	A Midsummer Night’s Dream	a midsummer nights dream	"{""A Midsummer Night’s Dream"":815,""A Midsummer Night's Dream"":7,""A MIDSUMMER NIGHT'S DREAM"":1,""A: Midsummer Night's Dream"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_age_of_innocence_61530ccf	The Age of Innocence	the age of innocence	"{""The Age of Innocence"":436,""The AGE OF INNOCENCE"":3,""The Age of Innocence​"":1,""​The Age of Innocence"":1,""​The ​Age of Innocence"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_song_of_myself_87b2f6b3	Song of Myself	song of myself	"{""Song of Myself"":647,""SONG OF MYSELF"":4,""Song of Myself” /"":4,""​Song of Myself​"":2}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_julys_people_565748b0	July’s People	julys people	"{""July’s People"":444,""July's People"":22,""​July’s People"":4}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_hedda_gabler_fd306213	Hedda Gabler	hedda gabler	"{""Hedda Gabler"":385,""HEDDA GABLER"":4,""​Hedda Gabler"":3,""​Hedda Gabler​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_twenty_love_poems_and_a_song_of_despair_4d71ea84	Twenty Love Poems and a Song of Despair	twenty love poems and a song of despair	"{""Twenty Love Poems and a Song of Despair"":687,""Twenty Love Poems"":6,""​Twenty Love Poems and a Song of Despair​"":2,""​Twenty Love Poems and a Song of Despair"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_robinson_crusoe_f5995b79	Robinson Crusoe	robinson crusoe	"{""Robinson Crusoe"":546,""ROBINSON CRUSOE"":1,""​Robinson Crusoe"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_gravitys_rainbow_0662d6a8	Gravity’s Rainbow	gravitys rainbow	"{""Gravity’s Rainbow"":404,""Gravity's Rainbow"":20,""GRAVITY'S RAINBOW"":2}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_tale_of_genji_8557b6a5	The Tale of Genji	the tale of genji	"{""The Tale of Genji"":470,""The Tale of ​Genji​"":1,""The _Tale of Genji"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_my_antonia_96abb903	My Antonia	my antonia	"{""My Antonia"":375,""My Ántonia"":22,""MY ANTONIA"":7,""​My Ántonia"":2,""​My Antonia"":1,""​My Antonía​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_count_of_monte_cristo_4f590839	The Count of Monte Cristo	the count of monte cristo	"{""The Count of Monte Cristo"":390,""The Count of Monte-Cristo"":9,""The Count of Monte Cristo /"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_little_women_d046f6bd	Little Women	little women	"{""Little Women"":438,""Little Women /"":3,""LITTLE WOMEN"":2}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_bell_jar_09d5d839	The Bell Jar	the bell jar	"{""The Bell Jar"":485,""The Bell-Jar"":4,""The BELL-JAR"":1,""​The ​Bell Jar"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_garden_party_83aadbec	The Garden Party	the garden party	"{""The Garden Party"":518,""The ​Garden Party​"":3,""The​ (*) Garden Party"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_eugene_onegin_f76a99f9	Eugene Onegin	eugene onegin	"{""Eugene Onegin"":585}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_the_picture_of_dorian_gray_ac1bc9c8	The Picture of Dorian Gray	the picture of dorian gray	"{""The Picture of Dorian Gray"":373,""​The ​Picture of Dorian Gray"":3,""THE PICTURE OF DORIAN GRAY"":1,""The PICTURE OF DORIAN GRAY"":1,""The _PICTURE OF DORIAN GRAY"":1,""​The Picture of Dorian Gray"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
qb_lit_a_passage_to_india_bafbb118	A Passage to India	a passage to india	"{""A Passage to India"":378,""​A ​Passage to India"":2,""A _ Passage to India"":1,""A _ _Passage to India"":1,""​ A ​Passage To India​"":1}"	normalized_title_cluster	Answerline variants and clue-text title variants are clustered by normalized title.
