candidate_id	canonical_title	normalized_title	form_hint	candidate_source	disambiguation_status	distinct_question_count	distinct_set_count	distinct_year_count	notes
qb_lit_the_cherry_orchard_1a662f97	The Cherry Orchard	the cherry orchard	seeded_literary_work	seed_exact_title_clue_hit:207	accepted_likely_work	207	193	34	Generated from quizbowl clue_text only; threshold=4.
qb_lit_madame_bovary_a9519374	Madame Bovary	madame bovary	seeded_literary_work	seed_exact_title_clue_hit:211	accepted_likely_work	211	188	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_one_hundred_years_of_solitude_a337ca93	One Hundred Years of Solitude	one hundred years of solitude	seeded_literary_work	seed_exact_title_clue_hit:198;seed_alias_clue_hit:4	accepted_likely_work	202	179	34	Generated from quizbowl clue_text only; threshold=4.
qb_lit_mrs_dalloway_5b55c0d5	Mrs. Dalloway	mrs dalloway	seeded_literary_work	seed_exact_title_clue_hit:201	accepted_likely_work	201	182	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_scarlet_letter_095af4e8	The Scarlet Letter	the scarlet letter	seeded_literary_work	seed_exact_title_clue_hit:195	accepted_likely_work	195	179	34	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_birthday_party_87f49fd3	The Birthday Party	the birthday party	seeded_literary_work	seed_exact_title_clue_hit:163;seed_alias_clue_hit:39	accepted_likely_work	202	179	34	Generated from quizbowl clue_text only; threshold=4.
qb_lit_song_of_myself_87b2f6b3	Song of Myself	song of myself	seeded_literary_work	seed_exact_title_clue_hit:190;quoted_lit_context:1	accepted_likely_work	191	169	34	Generated from quizbowl clue_text only; threshold=4.
qb_lit_les_miserables_57c60513	Les Miserables	les miserables	seeded_literary_work	seed_exact_title_clue_hit:196	accepted_likely_work	196	177	32	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_importance_of_being_earnest_3adf5001	The Importance of Being Earnest	the importance of being earnest	seeded_literary_work	seed_exact_title_clue_hit:191	accepted_likely_work	191	171	36	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_satanic_verses_334bc6ee	The Satanic Verses	the satanic verses	seeded_literary_work	seed_exact_title_clue_hit:178;seed_alias_clue_hit:16	accepted_likely_work	194	171	35	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_trial_980e326c	The Trial	the trial	seeded_literary_work	seed_exact_title_clue_hit:188	accepted_likely_work	188	173	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_julys_people_565748b0	July’s People	julys people	seeded_literary_work	seed_exact_title_clue_hit:201	accepted_likely_work	201	183	34	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_name_of_the_rose_abe6dab9	The Name of the Rose	the name of the rose	seeded_literary_work	seed_exact_title_clue_hit:189;seed_alias_clue_hit:1	accepted_likely_work	190	178	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_do_not_go_gentle_into_that_good_night_1a8581f4	Do Not Go Gentle into That Good Night	do not go gentle into that good night	seeded_literary_work	seed_exact_title_clue_hit:187	accepted_likely_work	187	172	36	Generated from quizbowl clue_text only; threshold=4.
qb_lit_death_in_venice_2b0f9f04	Death in Venice	death in venice	seeded_literary_work	seed_exact_title_clue_hit:186;seed_alias_clue_hit:1	accepted_likely_work	187	172	37	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_magic_mountain_17375b44	The Magic Mountain	the magic mountain	seeded_literary_work	seed_exact_title_clue_hit:184;seed_alias_clue_hit:6	accepted_likely_work	190	171	36	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_handmaids_tale_6da142d5	The Handmaid’s Tale	the handmaids tale	seeded_literary_work	seed_exact_title_clue_hit:184	accepted_likely_work	184	169	34	Generated from quizbowl clue_text only; threshold=4.
qb_lit_doctor_faustus_c22a5900	Doctor Faustus	doctor faustus	seeded_literary_work	seed_exact_title_clue_hit:158;seed_alias_clue_hit:25	accepted_likely_work	183	164	35	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_stranger_04a93b19	The Stranger	the stranger	seeded_literary_work	seed_exact_title_clue_hit:187	accepted_likely_work	187	170	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_great_gatsby_bb4e1b6b	The Great Gatsby	the great gatsby	seeded_literary_work	seed_exact_title_clue_hit:187	accepted_likely_work	187	164	31	Generated from quizbowl clue_text only; threshold=4.
qb_lit_slaughterhouse_five_708f44c4	Slaughterhouse-Five	slaughterhouse five	seeded_literary_work	seed_exact_title_clue_hit:151;seed_alias_clue_hit:24	accepted_likely_work	175	159	35	Generated from quizbowl clue_text only; threshold=4.
qb_lit_because_i_could_not_stop_for_death_01208168	Because I Could Not Stop for Death	because i could not stop for death	seeded_literary_work	seed_exact_title_clue_hit:172	accepted_likely_work	172	162	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_jew_of_malta_488f29c4	The Jew of Malta	the jew of malta	seeded_literary_work	seed_exact_title_clue_hit:173	accepted_likely_work	173	155	34	Generated from quizbowl clue_text only; threshold=4.
qb_lit_a_good_man_is_hard_to_find_131b9771	A Good Man Is Hard to Find	a good man is hard to find	seeded_literary_work	seed_exact_title_clue_hit:173	accepted_likely_work	173	161	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_unbearable_lightness_of_being_4284cf1c	The Unbearable Lightness of Being	the unbearable lightness of being	seeded_literary_work	seed_exact_title_clue_hit:178	accepted_likely_work	178	163	35	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_road_not_taken_bd93b119	The Road Not Taken	the road not taken	seeded_literary_work	seed_exact_title_clue_hit:173;quoted_lit_context:1	accepted_likely_work	174	161	28	Generated from quizbowl clue_text only; threshold=4.
qb_lit_midnights_children_d941db85	Midnight’s Children	midnights children	seeded_literary_work	seed_exact_title_clue_hit:174	accepted_likely_work	174	159	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_death_and_the_kings_horseman_6be0b148	Death and the King’s Horseman	death and the kings horseman	seeded_literary_work	seed_exact_title_clue_hit:179	accepted_likely_work	179	165	31	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_dead_b5c9db83	The Dead	the dead	seeded_literary_work	seed_exact_title_clue_hit:162;quoted_lit_context:11	accepted_likely_work	173	149	34	Generated from quizbowl clue_text only; threshold=4.
qb_lit_les_fleurs_du_mal_a69d8c6a	Les Fleurs du Mal	les fleurs du mal	seeded_literary_work	seed_exact_title_clue_hit:111;seed_alias_clue_hit:63	accepted_likely_work	174	157	34	Generated from quizbowl clue_text only; threshold=4.
qb_lit_brave_new_world_7f797095	Brave New World	brave new world	seeded_literary_work	seed_exact_title_clue_hit:173	accepted_likely_work	173	142	35	Generated from quizbowl clue_text only; threshold=4.
qb_lit_rosencrantz_and_guildenstern_are_dead_27cbcbe1	Rosencrantz and Guildenstern Are Dead	rosencrantz and guildenstern are dead	seeded_literary_work	seed_exact_title_clue_hit:177	accepted_likely_work	177	160	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_rime_of_the_ancient_mariner_cc52c616	The Rime of the Ancient Mariner	the rime of the ancient mariner	seeded_literary_work	seed_exact_title_clue_hit:138;seed_alias_clue_hit:33	accepted_likely_work	171	152	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_lion_and_the_jewel_a890b606	The Lion and the Jewel	the lion and the jewel	seeded_literary_work	seed_exact_title_clue_hit:179	accepted_likely_work	179	162	29	Generated from quizbowl clue_text only; threshold=4.
qb_lit_waiting_for_godot_ffcb77f0	Waiting for Godot	waiting for godot	seeded_literary_work	seed_exact_title_clue_hit:173	accepted_likely_work	173	158	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_ode_on_a_grecian_urn_fcd38b26	Ode on a Grecian Urn	ode on a grecian urn	seeded_literary_work	seed_exact_title_clue_hit:163;seed_alias_clue_hit:7	accepted_likely_work	170	158	30	Generated from quizbowl clue_text only; threshold=4.
qb_lit_long_days_journey_into_night_e27afa8b	Long Day's Journey Into Night	long days journey into night	seeded_literary_work	seed_exact_title_clue_hit:161;seed_alias_clue_hit:16	accepted_likely_work	177	156	34	Generated from quizbowl clue_text only; threshold=4.
qb_lit_their_eyes_were_watching_god_8875c58a	Their Eyes Were Watching God	their eyes were watching god	seeded_literary_work	seed_exact_title_clue_hit:178	accepted_likely_work	178	152	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_no_longer_at_ease_6b7c48a9	No Longer at Ease	no longer at ease	seeded_literary_work	seed_exact_title_clue_hit:164	accepted_likely_work	164	151	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_iliad_0c7bd588	The Iliad	the iliad	seeded_literary_work	seed_exact_title_clue_hit:170	accepted_likely_work	170	142	35	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_emperor_of_ice_cream_590b0663	The Emperor of Ice Cream	the emperor of ice cream	seeded_literary_work	seed_exact_title_clue_hit:166	accepted_likely_work	166	153	32	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_bell_jar_09d5d839	The Bell Jar	the bell jar	seeded_literary_work	seed_exact_title_clue_hit:167;seed_alias_clue_hit:1	accepted_likely_work	168	145	35	Generated from quizbowl clue_text only; threshold=4.
qb_lit_robinson_crusoe_f5995b79	Robinson Crusoe	robinson crusoe	seeded_literary_work	seed_exact_title_clue_hit:164	accepted_likely_work	164	142	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_inferno_792883c4	Inferno	inferno	seeded_literary_work	seed_exact_title_clue_hit:152;seed_alias_clue_hit:15	accepted_likely_work	167	151	29	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_red_badge_of_courage_714c3736	The Red Badge of Courage	the red badge of courage	seeded_literary_work	seed_exact_title_clue_hit:155;seed_alias_clue_hit:5	accepted_likely_work	160	150	31	Generated from quizbowl clue_text only; threshold=4.
qb_lit_metamorphoses_d7384708	Metamorphoses	metamorphoses	seeded_literary_work	seed_exact_title_clue_hit:144;seed_alias_clue_hit:14;quoted_lit_context:2	accepted_likely_work	160	145	34	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_waste_land_1b9005e5	The Waste Land	the waste land	seeded_literary_work	seed_exact_title_clue_hit:121;seed_alias_clue_hit:40	accepted_likely_work	161	139	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_dover_beach_23ed00ae	Dover Beach	dover beach	seeded_literary_work	seed_exact_title_clue_hit:162	accepted_likely_work	162	142	32	Generated from quizbowl clue_text only; threshold=4.
qb_lit_man_and_superman_c93931b1	Man and Superman	man and superman	seeded_literary_work	seed_exact_title_clue_hit:100;seed_alias_clue_hit:58	accepted_likely_work	158	138	36	Generated from quizbowl clue_text only; threshold=4.
qb_lit_duino_elegies_115c6f83	Duino Elegies	duino elegies	seeded_literary_work	seed_alias_clue_hit:109;seed_exact_title_clue_hit:57	accepted_likely_work	166	151	34	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_divine_comedy_efc86129	The Divine Comedy	the divine comedy	seeded_literary_work	seed_exact_title_clue_hit:159	accepted_likely_work	159	143	32	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_sound_and_the_fury_84d020ac	The Sound and the Fury	the sound and the fury	seeded_literary_work	seed_exact_title_clue_hit:161	accepted_likely_work	161	149	34	Generated from quizbowl clue_text only; threshold=4.
qb_lit_steppenwolf_a5753da6	Steppenwolf	steppenwolf	seeded_literary_work	seed_exact_title_clue_hit:158;seed_alias_clue_hit:2;quoted_lit_context:1	accepted_likely_work	161	148	32	Generated from quizbowl clue_text only; threshold=4.
qb_lit_foucaults_pendulum_30d06171	Foucault’s Pendulum	foucaults pendulum	seeded_literary_work	seed_exact_title_clue_hit:161;seed_alias_clue_hit:1	accepted_likely_work	162	151	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_native_son_1cc2b31f	Native Son	native son	seeded_literary_work	seed_exact_title_clue_hit:157	accepted_likely_work	157	134	35	Generated from quizbowl clue_text only; threshold=4.
qb_lit_antigone_716745b3	Antigone	antigone	seeded_literary_work	seed_exact_title_clue_hit:155	accepted_likely_work	155	144	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_volpone_ba52cd19	Volpone	volpone	seeded_literary_work	seed_exact_title_clue_hit:158	accepted_likely_work	158	143	35	Generated from quizbowl clue_text only; threshold=4.
qb_lit_a_raisin_in_the_sun_25ecdc1d	A Raisin in the Sun	a raisin in the sun	seeded_literary_work	seed_alias_clue_hit:107;seed_exact_title_clue_hit:51	accepted_likely_work	158	135	35	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_seagull_08a3c69d	The Seagull	the seagull	seeded_literary_work	seed_exact_title_clue_hit:160	accepted_likely_work	160	148	29	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_remains_of_the_day_e5ac29b0	The Remains of the Day	the remains of the day	seeded_literary_work	seed_exact_title_clue_hit:145;seed_alias_clue_hit:16	accepted_likely_work	161	146	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_my_antonia_96abb903	My Antonia	my antonia	seeded_literary_work	seed_exact_title_clue_hit:153	accepted_likely_work	153	133	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_house_of_the_spirits_c683733b	The House of the Spirits	the house of the spirits	seeded_literary_work	seed_exact_title_clue_hit:152;seed_alias_clue_hit:10	accepted_likely_work	162	146	31	Generated from quizbowl clue_text only; threshold=4.
qb_lit_ghosts_8fbb2ebf	Ghosts	ghosts	seeded_literary_work	seed_alias_clue_hit:81;seed_exact_title_clue_hit:74	needs_review_common_or_short_title	155	140	32	Generated from quizbowl clue_text only; threshold=4.
qb_lit_dulce_et_decorum_est_4229224d	Dulce et Decorum Est	dulce et decorum est	seeded_literary_work	seed_exact_title_clue_hit:156	accepted_likely_work	156	137	35	Generated from quizbowl clue_text only; threshold=4.
qb_lit_mending_wall_918321de	Mending Wall	mending wall	seeded_literary_work	seed_exact_title_clue_hit:144;seed_alias_clue_hit:8	accepted_likely_work	152	142	31	Generated from quizbowl clue_text only; threshold=4.
qb_lit_far_from_the_madding_crowd_372be98b	Far From the Madding Crowd	far from the madding crowd	seeded_literary_work	seed_exact_title_clue_hit:159	accepted_likely_work	159	139	36	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_song_of_hiawatha_f7fea2b7	The Song of Hiawatha	the song of hiawatha	seeded_literary_work	seed_exact_title_clue_hit:142;seed_alias_clue_hit:15;quoted_lit_context:1	accepted_likely_work	158	146	28	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_necklace_fb0e4a83	The Necklace	the necklace	seeded_literary_work	seed_exact_title_clue_hit:147;seed_alias_clue_hit:3	accepted_likely_work	150	144	32	Generated from quizbowl clue_text only; threshold=4.
qb_lit_my_last_duchess_e06bfb79	My Last Duchess	my last duchess	seeded_literary_work	seed_exact_title_clue_hit:152	accepted_likely_work	152	139	29	Generated from quizbowl clue_text only; threshold=4.
qb_lit_gravitys_rainbow_0662d6a8	Gravity's Rainbow	gravitys rainbow	seeded_literary_work	seed_exact_title_clue_hit:150	accepted_likely_work	150	136	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_portrait_of_a_lady_ba508b55	The Portrait of a Lady	the portrait of a lady	seeded_literary_work	seed_exact_title_clue_hit:95;seed_alias_clue_hit:58	accepted_likely_work	153	135	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_lord_jim_7fb718f2	Lord Jim	lord jim	seeded_literary_work	seed_exact_title_clue_hit:146	accepted_likely_work	146	128	34	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_call_of_the_wild_71584092	The Call of the Wild	the call of the wild	seeded_literary_work	seed_alias_clue_hit:135;seed_exact_title_clue_hit:8	accepted_likely_work	143	131	35	Generated from quizbowl clue_text only; threshold=4.
qb_lit_go_tell_it_on_the_mountain_68ed57d8	Go Tell It on the Mountain	go tell it on the mountain	seeded_literary_work	seed_exact_title_clue_hit:147	accepted_likely_work	147	130	35	Generated from quizbowl clue_text only; threshold=4.
qb_lit_song_of_solomon_8d77d0eb	Song of Solomon	song of solomon	seeded_literary_work	seed_exact_title_clue_hit:123;seed_alias_clue_hit:18	accepted_likely_work	141	127	38	Generated from quizbowl clue_text only; threshold=4.
qb_lit_whos_afraid_of_virginia_woolf_892c8247	Who’s Afraid of Virginia Woolf	whos afraid of virginia woolf	seeded_literary_work	seed_exact_title_clue_hit:146	accepted_likely_work	146	135	34	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_awakening_e21130c5	The Awakening	the awakening	seeded_literary_work	seed_exact_title_clue_hit:146	accepted_likely_work	146	132	30	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_aeneid_c666e238	The Aeneid	the aeneid	seeded_literary_work	seed_exact_title_clue_hit:143	accepted_likely_work	143	132	32	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_alchemist_72d514c4	The Alchemist	the alchemist	seeded_literary_work	seed_exact_title_clue_hit:146	accepted_likely_work	146	132	35	Generated from quizbowl clue_text only; threshold=4.
qb_lit_snow_country_04d5d592	Snow Country	snow country	seeded_literary_work	seed_exact_title_clue_hit:150;seed_alias_clue_hit:2	accepted_likely_work	152	139	32	Generated from quizbowl clue_text only; threshold=4.
qb_lit_siddhartha_b1182bfa	Siddhartha	siddhartha	seeded_literary_work	seed_exact_title_clue_hit:152	accepted_likely_work	152	137	29	Generated from quizbowl clue_text only; threshold=4.
qb_lit_dubliners_24835475	Dubliners	dubliners	seeded_literary_work	seed_exact_title_clue_hit:141;seed_alias_clue_hit:9	accepted_likely_work	150	128	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_moll_flanders_b02db20f	Moll Flanders	moll flanders	seeded_literary_work	seed_exact_title_clue_hit:143	accepted_likely_work	143	121	34	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_temple_of_the_golden_pavilion_6d99cb15	The Temple of the Golden Pavilion	the temple of the golden pavilion	seeded_literary_work	seed_exact_title_clue_hit:132;seed_alias_clue_hit:15	accepted_likely_work	147	139	29	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_rape_of_the_lock_480693aa	The Rape of the Lock	the rape of the lock	seeded_literary_work	seed_exact_title_clue_hit:134;seed_alias_clue_hit:5	accepted_likely_work	139	130	35	Generated from quizbowl clue_text only; threshold=4.
qb_lit_kubla_khan_49db992d	Kubla Khan	kubla khan	seeded_literary_work	seed_exact_title_clue_hit:143	accepted_likely_work	143	131	30	Generated from quizbowl clue_text only; threshold=4.
qb_lit_sailing_to_byzantium_d4f49e28	Sailing to Byzantium	sailing to byzantium	seeded_literary_work	seed_exact_title_clue_hit:141	accepted_likely_work	141	129	34	Generated from quizbowl clue_text only; threshold=4.
qb_lit_ozymandias_903afb59	Ozymandias	ozymandias	seeded_literary_work	seed_exact_title_clue_hit:120;seed_alias_clue_hit:19	accepted_likely_work	139	130	32	Generated from quizbowl clue_text only; threshold=4.
qb_lit_a_passage_to_india_bafbb118	A Passage to India	a passage to india	seeded_literary_work	seed_exact_title_clue_hit:144;seed_alias_clue_hit:8	accepted_likely_work	152	131	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_lolita_dc1af77d	Lolita	lolita	seeded_literary_work	seed_exact_title_clue_hit:139;quoted_lit_context:2	accepted_likely_work	141	127	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_bluest_eye_2c38d223	The Bluest Eye	the bluest eye	seeded_literary_work	seed_exact_title_clue_hit:142;seed_alias_clue_hit:1	accepted_likely_work	143	127	35	Generated from quizbowl clue_text only; threshold=4.
qb_lit_elegy_written_in_a_country_churchyard_cda99f96	Elegy Written in a Country Churchyard	elegy written in a country churchyard	seeded_literary_work	seed_exact_title_clue_hit:113;seed_alias_clue_hit:30	accepted_likely_work	143	130	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_war_and_peace_6b1525ce	War and Peace	war and peace	seeded_literary_work	seed_exact_title_clue_hit:135;seed_alias_clue_hit:3	accepted_likely_work	138	130	32	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_old_man_and_the_sea_898c9f5b	The Old Man and the Sea	the old man and the sea	seeded_literary_work	seed_exact_title_clue_hit:133;seed_alias_clue_hit:3	accepted_likely_work	136	125	31	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_plague_51c80863	The Plague	the plague	seeded_literary_work	seed_exact_title_clue_hit:135	accepted_likely_work	135	131	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_uncle_vanya_2d2c6470	Uncle Vanya	uncle vanya	seeded_literary_work	seed_exact_title_clue_hit:134;seed_alias_clue_hit:2	accepted_likely_work	136	126	32	Generated from quizbowl clue_text only; threshold=4.
qb_lit_beowulf_495d3f08	Beowulf	beowulf	seeded_literary_work	seed_exact_title_clue_hit:143	accepted_likely_work	143	130	31	Generated from quizbowl clue_text only; threshold=4.
qb_lit_miss_julie_518f3d14	Miss Julie	miss julie	seeded_literary_work	seed_exact_title_clue_hit:145	accepted_likely_work	145	134	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_turn_of_the_screw_2bfdd565	The Turn of the Screw	the turn of the screw	seeded_literary_work	seed_exact_title_clue_hit:136;seed_alias_clue_hit:5	accepted_likely_work	141	129	32	Generated from quizbowl clue_text only; threshold=4.
qb_lit_master_harold_and_the_boys_9d63fa6f	Master Harold… and the Boys	master harold and the boys	seeded_literary_work	seed_exact_title_clue_hit:139	accepted_likely_work	139	130	32	Generated from quizbowl clue_text only; threshold=4.
qb_lit_jude_the_obscure_2e5db8f2	Jude the Obscure	jude the obscure	seeded_literary_work	seed_exact_title_clue_hit:139	accepted_likely_work	139	129	33	Generated from quizbowl clue_text only; threshold=4.
qb_lit_uncle_toms_cabin_cfc53e2e	Uncle Tom’s Cabin	uncle toms cabin	seeded_literary_work	seed_exact_title_clue_hit:109;seed_alias_clue_hit:30	accepted_likely_work	139	115	36	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_age_of_innocence_61530ccf	The Age of Innocence	the age of innocence	seeded_literary_work	seed_exact_title_clue_hit:140	accepted_likely_work	140	122	35	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_sun_also_rises_0819ef32	The Sun Also Rises	the sun also rises	seeded_literary_work	seed_exact_title_clue_hit:134	accepted_likely_work	134	123	31	Generated from quizbowl clue_text only; threshold=4.
qb_lit_crime_and_punishment_4ab5b8ab	Crime and Punishment	crime and punishment	seeded_literary_work	seed_exact_title_clue_hit:132	accepted_likely_work	132	123	31	Generated from quizbowl clue_text only; threshold=4.
qb_lit_middlemarch_f04abd19	Middlemarch	middlemarch	seeded_literary_work	seed_exact_title_clue_hit:137;author_verb_title:1	accepted_likely_work	138	132	31	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_bald_soprano_32e9d7a4	The Bald Soprano	the bald soprano	seeded_literary_work	seed_exact_title_clue_hit:131;seed_alias_clue_hit:1	accepted_likely_work	132	119	32	Generated from quizbowl clue_text only; threshold=4.
qb_lit_the_iceman_cometh_76d2a90e	The Iceman Cometh	the iceman cometh	seeded_literary_work	seed_exact_title_clue_hit:137	accepted_likely_work	137	120	32	Generated from quizbowl clue_text only; threshold=4.
qb_lit_anna_karenina_1e1d429c	Anna Karenina	anna karenina	seeded_literary_work	seed_exact_title_clue_hit:126	accepted_likely_work	126	118	31	Generated from quizbowl clue_text only; threshold=4.
qb_lit_if_on_a_winters_night_a_traveler_9e0a84b9	If on a Winter's Night a Traveler	if on a winters night a traveler	seeded_literary_work	seed_exact_title_clue_hit:142	accepted_likely_work	142	132	28	Generated from quizbowl clue_text only; threshold=4.
qb_lit_sense_and_sensibility_7f0502a3	Sense and Sensibility	sense and sensibility	seeded_literary_work	seed_exact_title_clue_hit:84;seed_alias_clue_hit:49	accepted_likely_work	133	116	32	Generated from quizbowl clue_text only; threshold=4.
