candidate_id	canonical_title	rejection_reason	base_rejection_reason	total_question_count	answerline_question_count	clue_mention_question_count	distinct_set_count	source_counts_json	form_counts_json	answerline_form_counts_json	track_counts_json	literary_signal_count	non_literary_signal_count	adjudication_decision	adjudication_reason	example_snippet
qb_lit_the_first_person_9d418edb	The First Person	rejected_philosophy_lecture_not_literature	rejected_non_literary_context	2099	0	2099	950	"{""clue_derived_seed_clue_mention"":2099,""quoted_lit_context"":6}"	"{""book"":2,""clue_derived_seed"":2099,""essay"":3,""work"":1}"	{}	"{""fine_arts"":14,""geography"":28,""history"":48,""literature"":80,""mythology"":10,""other_academic"":1136,""philosophy"":13,""pop_culture"":305,""religion"":25,""science"":65,""social_science"":9}"	734	141	reject	philosophy_lecture_not_literature	"r discusses the nature of the self and is based on a lecture he gave entitled, ""The First Person."" Other important unpublished works by him include a work on the theory of R.G. Collingwood as well as an algebraic proof o"
qb_lit_the_new_world_b0750de5	The New World	rejected_non_literary_context	rejected_non_literary_context	2058	0	2058	922	"{""clue_derived_seed_clue_mention"":2058,""quoted_lit_context"":2,""typed_title"":1}"	"{""clue_derived_seed"":2058,""drama"":1,""novel"":2}"	{}	"{""fine_arts"":138,""geography"":63,""history"":124,""literature"":193,""mythology"":12,""other_academic"":988,""philosophy"":4,""pop_culture"":53,""religion"":12,""science"":16,""social_science"":4}"	524	905	""	""	"s. In a better-known novel by this man, which is divided into “The Old World,” “The New World,” and “The Next World,"" El Señor attempts to freeze Hispanic tradition but fails. This author of Terra Nostra may be better-k"
qb_lit_the_star_spangled_banner_a1ecf3a2	The Star-Spangled Banner	rejected_song_anthem_not_literature_product	accepted_likely_work	376	8	368	258	"{""author_verb_title"":3,""quoted_lit_context"":20,""raw_answerline_seed_clue_mention"":368,""raw_answerline_work_prompt"":8}"	"{""answerline_seed"":368,""lyric"":1,""novel"":1,""poem"":15,""story"":3,""unknown"":8,""work"":3}"	"{""poem"":8}"	"{""fine_arts"":16,""geography"":23,""history"":32,""literature"":7,""other_academic"":214,""pop_culture"":29}"	150	110	reject	song_anthem_not_literature_product	"16. This work gained its official status after members of the city council in Erie, Pennsylvania started singing ""The Internationale"" in 1931. For 10 points each: [10] Identify this poem, whose third verse controversiall"
qb_lit_citric_acid_cycle_f9d5f100	citric acid cycle	rejected_science_not_literature	accepted_likely_work	296	13	283	195	"{""raw_answerline_seed_clue_mention"":283,""raw_answerline_work_prompt"":13}"	"{""answerline_seed"":283,""cycle"":13}"	"{""cycle"":13}"	"{""other_academic"":147,""pop_culture"":3,""science"":77}"	1	4	reject	science_not_literature	4. In its first step, acetyl co-A and oxaloacetate combine to form CoA-SH and its namesake compound. For 10 points each: [10] Name this cycle that occurs in the mitochondrial matrix and produces one ATP and three NADH pe
qb_lit_symphonie_fantastique_2e46cfe8	Symphonie Fantastique	rejected_non_literary_context	rejected_non_literary_context	422	7	415	275	"{""author_verb_title"":15,""quoted_lit_context"":2,""raw_answerline_seed_clue_mention"":415,""raw_answerline_work_prompt"":7}"	"{""answerline_seed"":415,""unknown"":15,""work"":9}"	"{""work"":7}"	"{""fine_arts"":205,""geography"":2,""literature"":1,""mythology"":1,""other_academic"":112,""pop_culture"":3}"	88	842	""	""	17) This work’s sequel, Lélio, uses a narrator to explain the events depicted by the program music, and opens and closes with the idée fixe from its better known prequel. Subtitled An Episode in the Life of an Artist, it
qb_lit_the_school_of_athens_4a9333e2	The School of Athens	rejected_non_literary_context	rejected_non_literary_context	479	5	474	336	"{""byline_title"":1,""raw_answerline_seed_clue_mention"":474,""raw_answerline_work_prompt"":5}"	"{""answerline_seed"":474,""unknown"":1,""work"":5}"	"{""work"":5}"	"{""fine_arts"":155,""geography"":2,""history"":5,""other_academic"":177,""philosophy"":12,""pop_culture"":4,""religion"":1,""science"":3}"	62	190	""	""	BONUSES: Round 1 1: Name these philosophers who appear in the painting The School of Athens by Raphael, for ten points each: a) This author of The Republic is the one of two major figures in the center pointing at the sk
qb_lit_west_side_story_30e8d457	West Side Story	rejected_non_literary_musical	rejected_non_literary_context	529	4	525	335	"{""author_verb_title"":12,""quoted_lit_context"":39,""raw_answerline_seed_clue_mention"":525,""raw_answerline_work_prompt"":4,""typed_title"":2}"	"{""answerline_seed"":525,""book"":2,""lyric"":12,""play"":4,""story"":27,""work"":12}"	"{""work"":4}"	"{""fine_arts"":189,""geography"":4,""history"":1,""literature"":12,""other_academic"":195,""pop_culture"":61}"	433	458	reject	non_literary_musical	During the second act of this work, several characters make fun of Officer Krupke while naming Action their leader. One song from this work is sung to Rosalia and Consuelo shortly after Bernardo is killed at the end of a
qb_lit_christopher_marlowe_96ab229d	Christopher Marlowe	rejected_person_or_author	accepted_likely_work	447	5	442	287	"{""byline_title"":1,""raw_answerline_seed_clue_mention"":442,""raw_answerline_work_prompt"":5,""typed_title"":1}"	"{""answerline_seed"":442,""play"":6,""story"":1}"	"{""play"":5}"	"{""fine_arts"":3,""geography"":1,""history"":19,""literature"":95,""mythology"":5,""other_academic"":224,""pop_culture"":5,""religion"":1}"	477	10	reject	author_name_not_work	Q: This English poet and dramatist developed the use of dramatic free verse. In 1593, he was stabbed to death in a tavern brawl. FTP, name this play wright who penned Dr. Faustus, Tamburlaine, and Edward II?
qb_lit_the_golden_bough_368b5346	The Golden Bough	rejected_social_science_anthropology	accepted_likely_work	314	10	304	195	"{""author_verb_title"":33,""byline_title"":1,""quoted_lit_context"":1,""raw_answerline_seed_clue_mention"":304,""raw_answerline_work_prompt"":10,""typed_title"":7}"	"{""answerline_seed"":304,""book"":7,""myth"":1,""novel"":1,""unknown"":25,""work"":18}"	"{""work"":10}"	"{""fine_arts"":1,""geography"":2,""literature"":26,""mythology"":7,""other_academic"":206,""pop_culture"":3,""religion"":6,""social_science"":14}"	155	115	reject	social_science_anthropology	tament. Name this Scottish social anthropologist who in 1890 completed the book The Golden Bough.
qb_lit_the_ring_cycle_79583052	The Ring Cycle	rejected_non_literary_opera_cycle	accepted_likely_work	549	4	545	340	"{""author_verb_title"":2,""raw_answerline_seed_clue_mention"":545,""raw_answerline_work_prompt"":4}"	"{""answerline_seed"":545,""cycle"":6}"	"{""cycle"":4}"	"{""fine_arts"":139,""geography"":3,""history"":1,""literature"":3,""mythology"":12,""other_academic"":252,""philosophy"":1,""pop_culture"":8}"	194	561	reject	non_literary_opera_cycle	1. Recurring characters in this opera cycle include the dragon Fafnir and the hero Siegfried. For 10 points each: [10] Name this cycle of four operas that begins when Alberich steals the title object and ends with the de
qb_lit_all_star_474aed1e	All-Star	rejected_descriptor_fragment	rejected_non_literary_context	1938	0	1938	636	"{""clue_derived_seed_clue_mention"":1938,""quoted_lit_context"":4}"	"{""clue_derived_seed"":1938,""play"":3,""tale"":1}"	{}	"{""current_events"":1,""fine_arts"":8,""geography"":22,""history"":3,""literature"":1,""mythology"":1,""other_academic"":653,""pop_culture"":1084,""science"":1}"	195	18	reject	descriptor_fragment	11. This man brought Satchel Paige into his country to play on his “All-Star” baseball team. This man was the only leader to take in refugee Jews at the Evian conference. His secret police, led by Johnny Abbes, was likel
qb_lit_also_sprach_zarathustra_216f1ac3	Also Sprach Zarathustra	rejected_non_literary_context	rejected_non_literary_context	376	7	369	235	"{""author_verb_title"":9,""raw_answerline_seed_clue_mention"":369,""raw_answerline_work_prompt"":7,""typed_title"":20}"	"{""answerline_seed"":369,""book"":4,""poem"":15,""unknown"":7,""work"":10}"	"{""book"":2,""work"":5}"	"{""fine_arts"":150,""other_academic"":122,""philosophy"":14,""pop_culture"":3,""religion"":3,""social_science"":1}"	180	556	""	""	18. One chapter in this work suggests that there is mastery to dying at the right time. Another chapter accuses priests of seeing life as a torment, and therefore wanting to make others suffer as well. Advocates of democ
qb_lit_an_enquiry_concerning_human_understanding_e8078b57	An Enquiry Concerning Human Understanding	rejected_non_literary_context	rejected_non_literary_context	487	4	483	326	"{""author_verb_title"":103,""raw_answerline_seed_clue_mention"":483,""raw_answerline_work_prompt"":4,""typed_title"":1}"	"{""answerline_seed"":483,""essay"":2,""tragedy"":2,""unknown"":88,""work"":16}"	"{""work"":4}"	"{""geography"":3,""other_academic"":99,""philosophy"":339}"	72	318	""	""	om his dogmatic slumber. For 10 points, name this Scottish empiricist who wrote An Enquiry Concerning Human Understanding.
qb_lit_being_and_time_e41b4ab0	Being and Time	rejected_non_literary_context	rejected_non_literary_context	480	4	476	327	"{""author_verb_title"":115,""quoted_lit_context"":2,""raw_answerline_seed_clue_mention"":476,""raw_answerline_work_prompt"":4,""typed_title"":6}"	"{""answerline_seed"":476,""book"":8,""cycle"":2,""epic"":1,""essay"":6,""short_story"":2,""story"":1,""unknown"":85,""work"":22}"	"{""book"":1,""work"":3}"	"{""geography"":1,""literature"":2,""other_academic"":101,""philosophy"":375,""pop_culture"":5}"	98	263	""	""	"in” to posit his ""question of being."" For 10 points, name this German author of Being and Time, a fervent Nazi supporter."
qb_lit_the_afternoon_of_a_faun_fc97c78f	The Afternoon of a Faun	rejected_non_literary_or_insufficient_literary_work_evidence	rejected_non_literary_context	563	3	560	369	"{""author_verb_title"":3,""quoted_lit_context"":25,""raw_answerline_seed_clue_mention"":560,""raw_answerline_work_prompt"":3}"	"{""answerline_seed"":560,""drama"":1,""ode"":1,""play"":1,""poem"":21,""unknown"":2,""work"":5}"	"{""poem"":3}"	"{""fine_arts"":240,""geography"":6,""literature"":5,""other_academic"":185,""pop_culture"":1}"	226	584	reject	non_literary_or_insufficient_literary_work_evidence	ow of the Dice Will Never Abolish Chance” and inspired a Debussy work with his “The Afternoon of a Faun.”
qb_lit_afternoon_of_a_faun_7ee2d327	Afternoon of a Faun	rejected_non_literary_or_insufficient_literary_work_evidence	rejected_non_literary_context	563	3	560	368	"{""quoted_lit_context"":6,""raw_answerline_seed_clue_mention"":560,""raw_answerline_work_prompt"":3,""typed_title"":1}"	"{""answerline_seed"":560,""poem"":9,""work"":1}"	"{""poem"":2,""work"":1}"	"{""fine_arts"":238,""geography"":6,""literature"":4,""other_academic"":171,""pop_culture"":1}"	200	579	reject	non_literary_or_insufficient_literary_work_evidence	le creature encountering several nymphs that he “would perpetuate” in his poem “Afternoon of a Faun.”
qb_lit_john_milton_3febab08	John Milton	rejected_person_or_author	accepted_likely_work	528	3	525	348	"{""quoted_lit_context"":2,""raw_answerline_seed_clue_mention"":525,""raw_answerline_work_prompt"":3,""typed_title"":3}"	"{""answerline_seed"":525,""epic"":6,""unknown"":2}"	"{""epic"":3}"	"{""fine_arts"":3,""geography"":4,""history"":10,""literature"":156,""mythology"":1,""other_academic"":236,""pop_culture"":12,""religion"":5,""science"":3}"	548	11	reject	author_name_not_work	"T1. Ezra Pound despised him, but this English poet was praised by Samuel Johnson, who said ""his great works were performed under discountenance and blindness but difficulties vanished at his touch."" In 1802, William Wor"
qb_lit_new_york_times_617bde89	New York Times	rejected_newspaper_not_work	rejected_non_literary_context	1523	0	1523	723	"{""author_verb_title"":16,""clue_derived_seed_clue_mention"":1523}"	"{""book"":2,""clue_derived_seed"":1523,""collection"":1,""memoir"":1,""myth"":2,""novel"":2,""play"":2,""unknown"":6}"	{}	"{""current_events"":1,""fine_arts"":13,""geography"":23,""history"":29,""literature"":51,""mythology"":4,""other_academic"":879,""philosophy"":1,""pop_culture"":270,""religion"":1,""science"":8}"	505	113	reject	newspaper_not_work	[10] Judt wrote a New York Times op-ed response to the mid-2000s publication of Stephen Walt and John Mearsheimer’s piece about the role of this country’s lobby “and U.S. foreign policy.”
qb_lit_the_gates_of_hell_3ed9b41b	The Gates of Hell	rejected_visual_art_not_literature	rejected_non_literary_context	526	3	523	327	"{""raw_answerline_seed_clue_mention"":523,""raw_answerline_work_prompt"":3,""typed_title"":7}"	"{""answerline_seed"":523,""collection"":3,""work"":7}"	"{""work"":3}"	"{""fine_arts"":182,""geography"":16,""literature"":16,""mythology"":5,""other_academic"":161,""pop_culture"":8,""religion"":3}"	69	208	reject	visual_art_not_literature	wealthy figures from a French town facing imminent death. His unfinished work The Gates of Hell features such sculptures as The Kiss and one of a seated figure with his chin on his hand. For 10 points, name this French
qb_lit_english_language_82f59791	English-language	rejected_descriptor_fragment	accepted_likely_work	1438	0	1438	707	"{""author_verb_title"":8,""clue_derived_seed_clue_mention"":1438}"	"{""book"":4,""clue_derived_seed"":1438,""collection"":1,""poem"":1,""unknown"":2}"	{}	"{""current_events"":1,""fine_arts"":9,""geography"":24,""history"":13,""literature"":273,""mythology"":3,""other_academic"":696,""philosophy"":5,""pop_culture"":120,""religion"":6,""science"":5,""social_science"":2}"	936	86	reject	descriptor_fragment	3. An organization affiliated with this group published an English-language magazine called Inspire, though its writer was recently killed. Peter Bergen, who interviewed the leader of this organization in 1997, now claim
qb_lit_the_interpretation_of_dreams_2f735d75	The Interpretation of Dreams	rejected_social_science_psychoanalysis	rejected_non_literary_context	299	7	292	204	"{""author_verb_title"":76,""quoted_lit_context"":1,""raw_answerline_seed_clue_mention"":292,""raw_answerline_work_prompt"":11,""typed_title"":10}"	"{""answerline_seed"":292,""book"":11,""essay"":1,""ode"":1,""unknown"":71,""work"":14}"	"{""book"":6,""work"":5}"	"{""geography"":2,""literature"":7,""mythology"":1,""other_academic"":83,""science"":9,""social_science"":183}"	80	5	reject	social_science_psychoanalysis	"ns a certain form of ""wish fulfillment."" For 10 points, identify this author of The Interpretation of Dreams, an Austrian psychoanalyst who invented the ego and id."
qb_lit_tale_of_genji_3056862e	Tale of Genji	rejected_duplicate_title_variant	rejected_non_literary_context	359	6	353	232	"{""author_verb_title"":12,""quoted_lit_context"":3,""raw_answerline_seed_clue_mention"":353,""raw_answerline_work_prompt"":6}"	"{""answerline_seed"":353,""book"":4,""novel"":4,""story"":3,""tale"":6,""work"":4}"	"{""novel"":2,""work"":4}"	"{""geography"":29,""history"":36,""literature"":6,""other_academic"":202,""pop_culture"":7,""science"":1}"	511	6	reject	duplicate_title_variant	After listening to three young men gossip about their love lives, the protagonist sleeps with the Heir Apparent's aunt, and he flees to Suma, where he meets the Akashi Novice. Its closing chapters follow the son of the c
qb_lit_the_book_of_mormon_d7f4fae8	The Book of Mormon	rejected_religion_scripture_domain	rejected_non_literary_context	275	9	266	170	"{""quoted_lit_context"":1,""raw_answerline_seed_clue_mention"":266,""raw_answerline_work_prompt"":9}"	"{""answerline_seed"":266,""book"":5,""collection"":1,""work"":4}"	"{""book"":4,""collection"":1,""work"":4}"	"{""geography"":4,""literature"":1,""other_academic"":145,""pop_culture"":28,""religion"":30,""science"":1}"	59	19	reject	religion_scripture_domain	15. One character in this work sees the river of filth and the great and spacious building, part of his vision of the Tree of Life. That character is the namesake of another character who is later accused of being a co
qb_lit_30_point_bonus_8ee31f54	30 POINT BONUS	rejected_parser_artifact	accepted_likely_work	886	7	879	93	"{""raw_answerline_seed_clue_mention"":879,""raw_answerline_work_prompt"":7}"	"{""answerline_seed"":879,""collection"":1,""novel"":1,""play"":2,""short_story"":1,""work"":2}"	"{""collection"":1,""novel"":1,""play"":2,""short_story"":1,""work"":2}"	"{""fine_arts"":8,""geography"":17,""history"":7,""literature"":22,""mythology"":4,""other_academic"":679,""philosophy"":2,""pop_culture"":80,""religion"":4,""science"":11,""social_science"":1}"	110	46	reject	parser_artifact	"23. This ""existential Shakespeare parody"" begins with a series of coin flips, all resulting in ""heads."" FTP, name this play. ANSWER: ROSENCRANTZ AND GUILDENSTERN ARE DEAD FTP more, name the author of Rosencrantz and Guil"
qb_lit_the_phenomenology_of_spirit_f58c946e	The Phenomenology of Spirit	rejected_non_literary_context	rejected_non_literary_context	380	4	376	252	"{""author_verb_title"":82,""raw_answerline_seed_clue_mention"":376,""raw_answerline_work_prompt"":4}"	"{""answerline_seed"":376,""book"":1,""story"":8,""unknown"":67,""work"":10}"	"{""work"":4}"	"{""geography"":2,""history"":1,""literature"":2,""other_academic"":131,""philosophy"":201}"	28	264	""	""	a “right” member of the school named for this other philosopher, the author of The Phenomenology of Spirit.
qb_lit_pomp_and_circumstance_9216d0e5	Pomp and Circumstance	rejected_non_literary_context	rejected_non_literary_context	363	4	359	253	"{""author_verb_title"":11,""quoted_lit_context"":8,""raw_answerline_seed_clue_mention"":359,""raw_answerline_work_prompt"":4}"	"{""answerline_seed"":359,""epic"":3,""novel"":1,""play"":4,""poem"":1,""unknown"":9,""work"":5}"	"{""work"":4}"	"{""fine_arts"":123,""geography"":8,""literature"":4,""other_academic"":146,""pop_culture"":10}"	89	498	""	""	ntify this composer who depicted his friends in his Enigma Variations and wrote Pomp and Circumstance.
qb_lit_i_do_84861195	I do	rejected_common_phrase_not_work	accepted_likely_work	1151	0	1151	655	"{""clue_derived_seed_clue_mention"":1151,""quoted_lit_context"":3}"	"{""book"":1,""clue_derived_seed"":1151,""story"":1,""unknown"":1}"	{}	"{""fine_arts"":10,""geography"":17,""history"":30,""literature"":124,""mythology"":6,""other_academic"":488,""philosophy"":9,""pop_culture"":222,""religion"":11,""science"":7}"	908	98	reject	common_phrase_not_literary_work	ory on the video sees the singer chase her fiancé who is waffling about saying “I do.” In the chorus, the singer says “we fight, we break up, we kiss, we make up.” For 10 points, name this 2008 Katy Perry song where she
qb_lit_how_to_make_our_ideas_clear_e929c09d	How to Make Our Ideas Clear	rejected_non_literary_context	rejected_non_literary_context	229	9	220	162	"{""author_verb_title"":1,""byline_title"":1,""quoted_lit_context"":41,""raw_answerline_seed_clue_mention"":220,""raw_answerline_work_prompt"":9,""typed_title"":4}"	"{""answerline_seed"":220,""book"":1,""essay"":42,""unknown"":5,""work"":8}"	"{""essay"":9}"	"{""other_academic"":44,""philosophy"":173,""pop_culture"":1}"	98	102	""	""	ame this school of thought that was espoused in Charles Sanders Peirce's essay “How to Make Our Ideas Clear.” Its namesake maxim considers the practical effects of an idea.
qb_lit_an_essay_concerning_human_understanding_b3fe6942	An Essay Concerning Human Understanding	rejected_philosophy_domain	rejected_non_literary_context	413	3	410	278	"{""author_verb_title"":44,""quoted_lit_context"":4,""raw_answerline_seed_clue_mention"":410,""raw_answerline_work_prompt"":3,""typed_title"":7}"	"{""answerline_seed"":410,""book"":7,""essay"":39,""ode"":4,""work"":8}"	"{""essay"":1,""work"":2}"	"{""literature"":4,""other_academic"":72,""philosophy"":268,""pop_culture"":1}"	326	189	reject	philosophy_domain	eory of the tabula rasa. For 10 points, name this English philosopher who wrote An Essay Concerning Human Understanding.
qb_lit_the_book_of_daniel_20815e30	The Book of Daniel	rejected_duplicate_title_variant	rejected_non_literary_context	238	8	230	165	"{""raw_answerline_seed_clue_mention"":230,""raw_answerline_work_prompt"":8,""typed_title"":6}"	"{""answerline_seed"":230,""book"":5,""novel"":9}"	"{""book"":5,""novel"":3}"	"{""fine_arts"":5,""history"":2,""mythology"":2,""other_academic"":179,""pop_culture"":4,""religion"":8}"	152	47	reject	duplicate_title_variant	Gabriel explains a prophecy of Jeremiah to this work's title character, who is accompanied by Ananias, Misael, and Azarias. One character in this work dreams that the world is being filled up with pieces of a statue made
qb_lit_calvin_cycle_496311f2	Calvin cycle	rejected_science_not_literature	accepted_likely_work	379	4	375	233	"{""raw_answerline_seed_clue_mention"":375,""raw_answerline_work_prompt"":4}"	"{""answerline_seed"":375,""cycle"":4}"	"{""cycle"":4}"	"{""other_academic"":169,""pop_culture"":3,""science"":125}"	0	5	reject	science_not_literature	9. SBP-ase regenerates a molecule in this pathway. Aspartate (uh-SPAR-tate) or malate (MAY-late) is shuttled to bundle sheath cells to provide a reactant for this process in C4 organisms. When stomata close, an enzyme in
qb_lit_beyond_good_and_evil_956d58ae	Beyond Good and Evil	rejected_non_literary_context	rejected_non_literary_context	304	5	299	206	"{""author_verb_title"":19,""byline_title"":1,""raw_answerline_seed_clue_mention"":299,""raw_answerline_work_prompt"":5}"	"{""answerline_seed"":299,""book"":1,""collection"":1,""essay"":1,""novel"":2,""play"":2,""unknown"":11,""work"":7}"	"{""book"":1,""collection"":1,""work"":3}"	"{""fine_arts"":3,""other_academic"":99,""philosophy"":126,""pop_culture"":9,""religion"":2,""science"":2}"	97	116	""	""	ints, name this German philosopher, who famously stated “God is Dead” and wrote Beyond Good and Evil.
qb_lit_the_well_tempered_clavier_0db19f40	The Well-Tempered Clavier	rejected_non_literary_music	rejected_non_literary_context	496	2	494	319	"{""author_verb_title"":2,""byline_title"":2,""clue_derived_seed_clue_mention"":494,""raw_answerline_work_prompt"":2,""typed_title"":5}"	"{""clue_derived_seed"":494,""collection"":7,""unknown"":4}"	"{""collection"":2}"	"{""fine_arts"":198,""other_academic"":170,""pop_culture"":3}"	37	586	reject	non_literary_music	voice. For 10 points, identify this type of composition paired with preludes in The Well-Tempered Clavier by Bach, who also wrote a piece called The Art of them.
