candidate_id	canonical_title	review_reason	base_review_reason	total_question_count	answerline_question_count	clue_mention_question_count	distinct_set_count	source_counts_json	form_counts_json	answerline_form_counts_json	track_counts_json	literary_signal_count	non_literary_signal_count	adjudication_decision	adjudication_reason	example_snippet
qb_lit_invisible_man_4f63617d	Invisible Man	accepted_likely_work	accepted_likely_work	489	110	379	300	"{""author_verb_title"":38,""quoted_lit_context"":5,""raw_answerline_seed_clue_mention"":379,""raw_answerline_work_prompt"":110,""typed_title"":20}"	"{""answerline_seed"":379,""book"":5,""collection"":1,""essay"":3,""novel"":125,""poem"":1,""story"":1,""tale"":1,""unknown"":28,""work"":8}"	"{""book"":3,""novel"":101,""tale"":1,""work"":5}"	"{""geography"":4,""history"":4,""literature"":220,""other_academic"":157,""pop_culture"":32}"	672	14	accept	distinct_work_not_duplicate	21. Later in this novel, the narrator sees one of his former coworkers killed by the police after being found selling dolls. This work’s title character takes one of those dolls belonging to Tod Clifton and adds it to hi
qb_lit_our_town_71cc0bbd	Our Town	accepted_likely_work	accepted_likely_work	466	103	363	299	"{""author_verb_title"":28,""quoted_lit_context"":8,""raw_answerline_seed_clue_mention"":363,""raw_answerline_work_prompt"":103,""typed_title"":37}"	"{""answerline_seed"":363,""drama"":3,""novel"":6,""play"":150,""unknown"":15,""work"":2}"	"{""play"":101,""work"":2}"	"{""fine_arts"":20,""geography"":2,""literature"":213,""other_academic"":167,""pop_culture"":5,""science"":1}"	654	29	accept	accepted_after_sanity_audit	11. It is set in Grover's Corners, New Hampshire and includes three acts: “Daily Life,” “Love and Marriage,” and “Death.” FTPE: A) Name this play in which George Gibbs falls in love with Emily Webb, who travels back to h
qb_lit_wuthering_heights_2db8565f	Wuthering Heights	accepted_likely_work	accepted_likely_work	470	94	376	299	"{""author_verb_title"":34,""quoted_lit_context"":4,""raw_answerline_seed_clue_mention"":376,""raw_answerline_work_prompt"":94,""typed_title"":18}"	"{""answerline_seed"":376,""book"":6,""essay"":1,""novel"":114,""romance"":1,""short_story"":1,""story"":2,""unknown"":22,""work"":3}"	"{""book"":4,""novel"":89,""work"":1}"	"{""geography"":1,""literature"":76,""other_academic"":302,""pop_culture"":27}"	523	4	accept	accepted_after_sanity_audit	19. Following the death of one character in this novel, Mr. Green tries to have the body buried in a chapel, though his will states that he'd rather be buried next to his wife, Frances, who dies shortly after giving birt
qb_lit_great_expectations_c9e0f8f8	Great Expectations	accepted_likely_work	accepted_likely_work	465	84	381	291	"{""author_verb_title"":13,""raw_answerline_seed_clue_mention"":381,""raw_answerline_work_prompt"":84,""typed_title"":7}"	"{""answerline_seed"":381,""novel"":80,""tale"":2,""unknown"":8,""work"":14}"	"{""novel"":70,""work"":14}"	"{""geography"":7,""history"":5,""literature"":136,""mythology"":1,""other_academic"":193,""philosophy"":1,""pop_culture"":20}"	584	5	""	""	"12. One character in this novel realizes another's parentage when he notices that the housekeeper Molly and that character make the same knitting motions with their hands. Characters in this novel include ""the Aged P,"" W"
qb_lit_julius_caesar_5a4b0c56	Julius Caesar	accepted_likely_work	accepted_likely_work	1782	9	1773	847	"{""quoted_lit_context"":6,""raw_answerline_seed_clue_mention"":1773,""raw_answerline_work_prompt"":9,""typed_title"":6}"	"{""answerline_seed"":1773,""essay"":1,""play"":19,""work"":1}"	"{""play"":8,""work"":1}"	"{""fine_arts"":21,""geography"":29,""history"":176,""literature"":90,""mythology"":2,""other_academic"":1080,""philosophy"":4,""pop_culture"":53,""religion"":1,""science"":1}"	491	55	accept	accepted_after_sanity_audit	"B11. Your clues to these Shakespeare plays will be lines taken from them. FTP each identify the play with the following lines: � ""O , coward that I am, to live so long, To see my best friend taken before my face!"""
qb_lit_miss_julie_518f3d14	Miss Julie	accepted_likely_work	accepted_likely_work	420	79	341	258	"{""author_verb_title"":60,""quoted_lit_context"":6,""raw_answerline_seed_clue_mention"":341,""raw_answerline_work_prompt"":79,""title_context"":4,""typed_title"":27}"	"{""answerline_seed"":341,""drama"":8,""novel"":2,""ode"":1,""play"":137,""short_story"":1,""tale"":2,""tragedy"":1,""trilogy"":1,""unknown"":19,""work"":4}"	"{""drama"":4,""play"":72,""tale"":2,""work"":1}"	"{""geography"":9,""history"":11,""literature"":243,""other_academic"":113,""pop_culture"":2}"	666	122	accept	accepted_after_sanity_audit	[10] Another Scandinavian author is this Swedish playwright of Miss Julie who wrote of Arvid Falk’s time spent among artists in the title café in the novel The Red Room.
qb_lit_dover_beach_23ed00ae	Dover Beach	accepted_likely_work	accepted_likely_work	387	87	321	223	"{""author_verb_title"":2,""quoted_lit_context"":127,""raw_answerline_seed_clue_mention"":316,""raw_answerline_work_prompt"":87}"	"{""answerline_seed"":316,""book"":11,""collection"":3,""elegy"":1,""essay"":1,""lyric"":2,""novel"":23,""play"":1,""poem"":144,""short_story"":1,""story"":4,""tragedy"":1,""unknown"":4,""work"":20}"	"{""lyric"":1,""poem"":77,""work"":9}"	"{""fine_arts"":8,""literature"":297,""other_academic"":85,""pop_culture"":3,""religion"":1}"	802	12	""	""	"19. In one response to this poem by Anthony Hecht, a character is addressed as a ""sort of mournful cosmic last resort."" One section of this work describes retreating towards the ""naked shingles of the world,"" while in an"
qb_lit_dead_souls_ad558171	Dead Souls	accepted_likely_work	accepted_likely_work	484	52	432	287	"{""author_verb_title"":26,""quoted_lit_context"":5,""raw_answerline_seed_clue_mention"":432,""raw_answerline_work_prompt"":62,""typed_title"":41}"	"{""answerline_seed"":432,""book"":2,""epic"":1,""novel"":94,""short_story"":4,""story"":4,""unknown"":19,""work"":10}"	"{""book"":2,""novel"":53,""work"":7}"	"{""fine_arts"":14,""geography"":1,""history"":1,""literature"":186,""mythology"":11,""other_academic"":192,""philosophy"":1,""pop_culture"":12,""religion"":3,""science"":1}"	456	6	""	""	20. Nastasya Petrovna Korobotchkina sells eighteen of her titular entities for fifteen rubles each in this novel. For 10 points each: [10] Name this novel detailing the adventures of Pavel Ivanovitch Tchitchikov and depi
qb_lit_hedda_gabler_fd306213	Hedda Gabler	accepted_likely_work	accepted_likely_work	356	70	286	228	"{""author_verb_title"":33,""quoted_lit_context"":2,""raw_answerline_seed_clue_mention"":286,""raw_answerline_work_prompt"":70,""title_context"":2}"	"{""answerline_seed"":286,""drama"":2,""play"":93,""unknown"":12}"	"{""drama"":2,""play"":68}"	"{""fine_arts"":2,""geography"":7,""literature"":185,""other_academic"":90,""pop_culture"":4}"	491	4	""	""	This work’s title character tells Ejlert Lovborg to die a beautiful death and burns his manuscript. For 10 points each: [10] Name this play about the wife of Jürgen Tesman who plays the piano offstage before shooting her
qb_lit_robinson_crusoe_f5995b79	Robinson Crusoe	accepted_likely_work	accepted_likely_work	487	37	450	315	"{""author_verb_title"":41,""quoted_lit_context"":7,""raw_answerline_seed_clue_mention"":450,""raw_answerline_work_prompt"":37,""title_context"":2,""typed_title"":11}"	"{""answerline_seed"":450,""book"":7,""novel"":61,""ode"":1,""unknown"":21,""work"":8}"	"{""novel"":34,""work"":3}"	"{""fine_arts"":4,""geography"":8,""literature"":224,""other_academic"":171,""philosophy"":2,""pop_culture"":11,""religion"":3}"	397	20	accept	accepted_after_sanity_audit	plex that he built after he was shipwrecked. For 10 points, name this author of Robinson Crusoe.
qb_lit_my_antonia_96abb903	My Antonia	accepted_likely_work	accepted_likely_work	379	58	321	244	"{""author_verb_title"":18,""raw_answerline_seed_clue_mention"":321,""raw_answerline_work_prompt"":58,""typed_title"":11}"	"{""answerline_seed"":321,""book"":5,""novel"":63,""tale"":2,""unknown"":13,""work"":4}"	"{""book"":2,""novel"":51,""tale"":2,""work"":3}"	"{""fine_arts"":1,""geography"":10,""literature"":186,""other_academic"":100,""pop_culture"":1}"	358	15	""	""	9. Lena Lingard manipulates Jim Burden, the narrator of this final novel of the “prairie trilogy.” For 10 points each: [10] Name this novel that sees the eldest Shimerda daughter move to Black Hawk from Bohemia, where sh
qb_lit_lord_of_the_flies_f4c78ba3	Lord of the Flies	accepted_likely_work	accepted_likely_work	293	100	193	182	"{""author_verb_title"":45,""quoted_lit_context"":9,""raw_answerline_seed_clue_mention"":193,""raw_answerline_work_prompt"":100}"	"{""answerline_seed"":193,""book"":14,""novel"":85,""story"":1,""tale"":1,""trilogy"":6,""unknown"":32,""work"":15}"	"{""book"":9,""novel"":79,""tale"":1,""work"":11}"	"{""history"":1,""literature"":175,""other_academic"":69,""pop_culture"":2}"	296	6	""	""	2. Roger acts as the executioner in this novel. For 10 points each: [10] Name this novel which depicts a conflict between Jack Merridew and Ralph which ends up becoming savagely violent.
qb_lit_divine_comedy_a61fe56f	Divine Comedy	accepted_likely_work	accepted_likely_work	793	17	776	486	"{""author_verb_title"":15,""byline_title"":2,""quoted_lit_context"":5,""raw_answerline_seed_clue_mention"":776,""raw_answerline_work_prompt"":17}"	"{""answerline_seed"":776,""book"":1,""comedy"":11,""epic"":12,""poem"":4,""story"":1,""work"":10}"	"{""epic"":11,""work"":6}"	"{""fine_arts"":34,""geography"":6,""history"":3,""literature"":272,""mythology"":4,""other_academic"":284,""pop_culture"":16,""religion"":5,""social_science"":1}"	1220	52	accept	accepted_after_sanity_audit	15) Written in the early 14th century, this Italian epic is broken into three parts entitled Inferno, Purgatorio, and Paradiso. For ten points each: A) Identify this work involving the Christian after-life by Dante Aligh
qb_lit_eugene_onegin_f76a99f9	Eugene Onegin	accepted_likely_work	accepted_likely_work	481	34	447	314	"{""author_verb_title"":44,""byline_title"":2,""quoted_lit_context"":5,""raw_answerline_seed_clue_mention"":447,""raw_answerline_work_prompt"":37,""typed_title"":63}"	"{""answerline_seed"":447,""drama"":5,""novel"":81,""ode"":1,""play"":1,""poem"":15,""story"":2,""tale"":2,""tragedy"":2,""unknown"":27,""work"":15}"	"{""novel"":24,""poem"":3,""work"":10}"	"{""fine_arts"":16,""geography"":8,""history"":1,""literature"":183,""other_academic"":245,""pop_culture"":5,""science"":1}"	615	85	accept	accepted_after_sanity_audit	15. Nabokov published a famous translation of this work in response to Arndt's translation. For 10 points each: [10] Name this novel in which the title character rebuffs the love of Tatiana in a famous speech and kills L
qb_lit_little_women_d046f6bd	Little Women	accepted_likely_work	accepted_likely_work	394	51	343	240	"{""author_verb_title"":23,""quoted_lit_context"":5,""raw_answerline_seed_clue_mention"":343,""raw_answerline_work_prompt"":51,""typed_title"":21}"	"{""answerline_seed"":343,""book"":1,""novel"":65,""poem"":1,""trilogy"":2,""unknown"":21,""work"":10}"	"{""book"":1,""novel"":44,""work"":6}"	"{""fine_arts"":2,""history"":1,""literature"":141,""other_academic"":162,""pop_culture"":29,""science"":1}"	353	7	""	""	TB1. In this novel, Jenny Snow comments about some persons whose noses were not too flat to smell other people’s limes, and she helps Mr. Davis discover pickled limes in another girl’s desk. Earlier on, that girl is warn
qb_lit_vanity_fair_fe50c1a3	Vanity Fair	accepted_likely_work	accepted_likely_work	340	57	283	212	"{""author_verb_title"":31,""quoted_lit_context"":3,""raw_answerline_seed_clue_mention"":283,""raw_answerline_work_prompt"":57,""typed_title"":14}"	"{""answerline_seed"":283,""book"":7,""novel"":68,""story"":2,""unknown"":20,""work"":8}"	"{""novel"":49,""work"":8}"	"{""fine_arts"":1,""geography"":1,""history"":4,""literature"":165,""other_academic"":108,""pop_culture"":7}"	368	2	""	""	5) It takes its title from a place in Bunyan's The Pilgrim's Progress and opens at Miss Pinkerton's Academy for Young Ladies. FTPE: A) Identify this novel in which Becky Sharp manipulates her way into securing a comforta
qb_lit_snow_country_04d5d592	Snow Country	accepted_likely_work	accepted_likely_work	412	39	373	269	"{""author_verb_title"":36,""quoted_lit_context"":2,""raw_answerline_seed_clue_mention"":373,""raw_answerline_work_prompt"":39,""typed_title"":19}"	"{""answerline_seed"":373,""book"":2,""essay"":2,""novel"":58,""play"":3,""unknown"":27,""work"":4}"	"{""novel"":37,""work"":2}"	"{""geography"":12,""literature"":204,""other_academic"":142,""pop_culture"":1}"	224	1	""	""	One character in this novel is repeatedly described as having eyelashes that are so thick that they make her eyes look half open even when they are closed. That character is so frustrated with how sluggishly her arm move
qb_lit_no_exit_dcf4d132	No Exit	accepted_likely_work	accepted_likely_work	336	55	281	220	"{""author_verb_title"":34,""quoted_lit_context"":5,""raw_answerline_seed_clue_mention"":281,""raw_answerline_work_prompt"":55,""typed_title"":73}"	"{""answerline_seed"":281,""book"":3,""collection"":1,""drama"":4,""novel"":2,""play"":128,""poem"":2,""unknown"":22,""work"":5}"	"{""drama"":2,""play"":49,""work"":4}"	"{""geography"":2,""literature"":40,""other_academic"":80,""philosophy"":200,""pop_culture"":8}"	453	37	accept	accepted_after_sanity_audit	"Being and Nothingness and penned the phrase ""Hell is other people"" in his play No Exit."
qb_lit_main_street_25fbe9ca	Main Street	accepted_likely_work	accepted_likely_work	422	31	391	284	"{""author_verb_title"":11,""quoted_lit_context"":5,""raw_answerline_seed_clue_mention"":391,""raw_answerline_work_prompt"":31,""typed_title"":23}"	"{""answerline_seed"":391,""book"":1,""novel"":57,""poem"":2,""story"":2,""unknown"":4,""work"":4}"	"{""book"":1,""novel"":28,""story"":2}"	"{""fine_arts"":6,""geography"":16,""history"":1,""literature"":159,""other_academic"":166,""pop_culture"":25}"	231	18	""	""	10. The protagonist of this novel joins the Jolly Seventeen, a women's social club, but does not fit in. For 10 points each: [10] Identify this novel in which Carol Kennicott feels stifled by the small town of Gopher Pra
qb_lit_treasure_island_54ab652a	Treasure Island	accepted_likely_work	accepted_likely_work	428	31	397	278	"{""author_verb_title"":16,""raw_answerline_seed_clue_mention"":397,""raw_answerline_work_prompt"":32,""typed_title"":14}"	"{""answerline_seed"":397,""book"":2,""collection"":1,""novel"":48,""unknown"":10,""work"":1}"	"{""book"":1,""novel"":30,""work"":1}"	"{""fine_arts"":1,""geography"":11,""literature"":129,""mythology"":1,""other_academic"":179,""pop_culture"":30,""science"":1}"	210	12	""	""	Tiebreaker Billy Bones receives the black spot, prompting this novel’s protagonist to steal his map that leads to Captain Flint’s buried gold. For 10 points each: [10] Name this novel by Robert Louis Stevenson in which C
qb_lit_the_dead_b5c9db83	The Dead	accepted_likely_work	accepted_likely_work	304	61	243	196	"{""author_verb_title"":2,""byline_title"":1,""quoted_lit_context"":238,""raw_answerline_work_prompt"":61,""typed_title"":2}"	"{""book"":15,""collection"":81,""memoir"":2,""novel"":17,""novella"":2,""ode"":3,""play"":1,""poem"":7,""short_story"":72,""story"":90,""tale"":2,""unknown"":4,""work"":8}"	"{""short_story"":30,""story"":30,""work"":1}"	"{""geography"":16,""literature"":165,""other_academic"":42,""pop_culture"":2}"	352	4	""	""	rey to Gabriel Conroy in another story by this man. This author of “Araby” and “The Dead” also wrote a work set on June 16th which features characters such as Blazes Boylan, who manages Molly’s singing career. That work
qb_lit_henry_v_7f8af9e4	Henry V	accepted_likely_work	accepted_likely_work	658	16	642	401	"{""raw_answerline_seed_clue_mention"":642,""raw_answerline_work_prompt"":16,""typed_title"":5}"	"{""answerline_seed"":642,""drama"":1,""play"":20}"	"{""drama"":1,""play"":15}"	"{""geography"":2,""history"":109,""literature"":29,""mythology"":2,""other_academic"":371,""pop_culture"":18,""religion"":11,""science"":1}"	169	4	accept	accepted_after_sanity_audit	8.FTPE, it is described in the play Henry V. [10] Name this battle in 1415 near Calais in which the cramped French troops were butchered by the English, with the help of longbowmen.
qb_lit_peer_gynt_3dab251e	Peer Gynt	accepted_likely_work	accepted_likely_work	600	19	582	359	"{""author_verb_title"":17,""quoted_lit_context"":5,""raw_answerline_seed_clue_mention"":582,""raw_answerline_work_prompt"":19,""typed_title"":26}"	"{""answerline_seed"":582,""collection"":1,""drama"":8,""epic"":2,""play"":43,""poem"":1,""trilogy"":1,""unknown"":5,""work"":6}"	"{""collection"":1,""drama"":1,""epic"":2,""play"":12,""work"":3}"	"{""fine_arts"":223,""geography"":13,""literature"":73,""other_academic"":157,""pop_culture"":11,""science"":1}"	341	635	accept	accepted_after_sanity_audit	r. This man also wrote the famous In the Hall of the Mountain King for the play Peer Gynt.
qb_lit_finnegans_wake_7126761d	Finnegans Wake	accepted_likely_work	accepted_likely_work	419	32	387	257	"{""author_verb_title"":21,""raw_answerline_seed_clue_mention"":387,""raw_answerline_work_prompt"":32,""typed_title"":9}"	"{""answerline_seed"":387,""book"":3,""novel"":42,""story"":4,""unknown"":8,""work"":5}"	"{""book"":3,""novel"":23,""story"":4,""work"":2}"	"{""fine_arts"":3,""geography"":2,""literature"":136,""other_academic"":168,""pop_culture"":10,""religion"":5,""science"":25}"	296	45	accept	accepted_after_sanity_audit	[10] Pomes Penyeach and Exiles were both written by this author, who also wrote Finnegans Wake.
qb_lit_kubla_khan_49db992d	Kubla Khan	accepted_likely_work	accepted_likely_work	355	39	316	240	"{""author_verb_title"":3,""byline_title"":1,""quoted_lit_context"":75,""raw_answerline_seed_clue_mention"":316,""raw_answerline_work_prompt"":39,""typed_title"":2}"	"{""answerline_seed"":316,""collection"":11,""myth"":3,""novel"":2,""ode"":3,""poem"":90,""story"":2,""unknown"":7,""work"":2}"	"{""poem"":39}"	"{""fine_arts"":2,""geography"":2,""history"":10,""literature"":203,""other_academic"":110,""pop_culture"":5,""science"":1}"	441	5	""	""	nadu. For 10 points, name this British poet who, while addicted to opium, wrote Kubla Khan.
qb_lit_blood_wedding_a48e6ddf	Blood Wedding	accepted_likely_work	accepted_likely_work	405	31	374	261	"{""author_verb_title"":25,""quoted_lit_context"":7,""raw_answerline_seed_clue_mention"":374,""raw_answerline_work_prompt"":31,""typed_title"":25}"	"{""answerline_seed"":374,""ballad"":2,""collection"":2,""drama"":1,""novel"":1,""play"":52,""poem"":2,""tragedy"":4,""trilogy"":8,""unknown"":11,""work"":5}"	"{""drama"":1,""play"":26,""work"":4}"	"{""geography"":20,""literature"":138,""other_academic"":187,""pop_culture"":1}"	388	0	""	""	5. In Act II of this play, a conversation between one character and her maid leads the former to throw her garland of orange blossoms to the ground, shortly before a former suitor arrives on horseback. For 10 points ea
qb_lit_mrs_dalloway_5b55c0d5	Mrs. Dalloway	accepted_likely_work	accepted_likely_work	367	35	332	245	"{""author_verb_title"":4,""quoted_lit_context"":4,""raw_answerline_seed_clue_mention"":332,""raw_answerline_work_prompt"":35,""typed_title"":1}"	"{""answerline_seed"":332,""novel"":41,""story"":1,""work"":2}"	"{""novel"":35}"	"{""geography"":1,""history"":2,""literature"":223,""other_academic"":66,""pop_culture"":1}"	274	2	""	""	18. Septimus commits suicide by jumping out of a window shortly before he is to be taken to an asylum in this work, and Peter Walsh is haunted by his rejection at the hands of the title character. For 10 points each: [10
qb_lit_silas_marner_872dd099	Silas Marner	accepted_likely_work	accepted_likely_work	258	54	231	177	"{""author_verb_title"":18,""quoted_lit_context"":32,""raw_answerline_seed_clue_mention"":231,""raw_answerline_work_prompt"":54,""typed_title"":3}"	"{""answerline_seed"":231,""book"":1,""novel"":83,""tale"":2,""unknown"":11,""work"":10}"	"{""book"":1,""novel"":46,""tale"":2,""work"":5}"	"{""literature"":185,""other_academic"":72,""pop_culture"":1}"	408	1	""	""	5. In this novel, one character is falsely accused of theft by William Dane, who eventually marries Sarah. Another character is told to sell the horse Wildfire, later killed in an accident. Another character in this nove
qb_lit_howl_c3f51c20	Howl	accepted_likely_work	accepted_likely_work	242	91	151	155	"{""author_verb_title"":4,""quoted_lit_context"":127,""raw_answerline_work_prompt"":91,""typed_title"":20}"	"{""book"":12,""collection"":9,""elegy"":1,""epic"":1,""essay"":1,""novel"":3,""ode"":2,""play"":1,""poem"":182,""story"":1,""unknown"":7,""work"":22}"	"{""epic"":1,""poem"":86,""work"":4}"	"{""geography"":3,""literature"":117,""mythology"":1,""other_academic"":47,""pop_culture"":1,""religion"":1}"	340	15	""	""	[10] This Beat poet’s company City Light Books published Ginsberg’s “Howl”. The most well-known collection of his own poetry is A Coney Island of the Mind.
