applied_id	write_plan_id	evidence_id	work_id	source_id	source_item_id	evidence_action	source_item_action	evidence_type	evidence_strength	reviewer_status	next_action
x058_cut_evidence_apply_0011	x057_cut_evidence_write_0011	x057_ev_longman2e_vole_031_giacomo_leopardi_the_infinite	work_candidate_bloom_leopardi_poems	longman_world_lit_2e_2009	longman2e_vole_031_giacomo_leopardi_the_infinite	evidence_present_after_apply	represented_by_selection_after_apply	representative_selection	moderate	accepted	regenerate_source_debt_scoring_and_cut_review_tables
x058_cut_evidence_apply_0012	x057_cut_evidence_write_0012	x057_ev_longman2e_vola_244_horace_from_odes_1_24_why_should_our_grief_for_a_man_so_loved	work_candidate_bloom_horace_odes	longman_world_lit_2e_2009	longman2e_vola_244_horace_from_odes_1_24_why_should_our_grief_for_a_man_so_loved	evidence_present_after_apply	represented_by_selection_after_apply	representative_selection	moderate	accepted	regenerate_source_debt_scoring_and_cut_review_tables
x058_cut_evidence_apply_0013	x057_cut_evidence_write_0013	x057_ev_longman2e_vola_277_horace_ode_1_25_the_young_bloods_are_not_so_eager_now	work_candidate_bloom_horace_odes	longman_world_lit_2e_2009	longman2e_vola_277_horace_ode_1_25_the_young_bloods_are_not_so_eager_now	evidence_present_after_apply	represented_by_selection_after_apply	representative_selection	moderate	accepted	regenerate_source_debt_scoring_and_cut_review_tables
x058_cut_evidence_apply_0014	x057_cut_evidence_write_0014	x057_ev_longman2e_vola_278_horace_ode_1_9_soracte_standing_white_and_deep	work_candidate_bloom_horace_odes	longman_world_lit_2e_2009	longman2e_vola_278_horace_ode_1_9_soracte_standing_white_and_deep	evidence_present_after_apply	represented_by_selection_after_apply	representative_selection	moderate	accepted	regenerate_source_debt_scoring_and_cut_review_tables
x058_cut_evidence_apply_0015	x057_cut_evidence_write_0015	x057_ev_longman2e_vola_279_horace_ode_2_13_not_only_did_he_plant_you_on_an_unholy_day	work_candidate_bloom_horace_odes	longman_world_lit_2e_2009	longman2e_vola_279_horace_ode_2_13_not_only_did_he_plant_you_on_an_unholy_day	evidence_present_after_apply	represented_by_selection_after_apply	representative_selection	moderate	accepted	regenerate_source_debt_scoring_and_cut_review_tables
x058_cut_evidence_apply_0016	x057_cut_evidence_write_0016	x057_ev_longman2e_vola_280_horace_ode_2_14_ah_how_quickly_postumus_postumus	work_candidate_bloom_horace_odes	longman_world_lit_2e_2009	longman2e_vola_280_horace_ode_2_14_ah_how_quickly_postumus_postumus	evidence_present_after_apply	represented_by_selection_after_apply	representative_selection	moderate	accepted	regenerate_source_debt_scoring_and_cut_review_tables
x058_cut_evidence_apply_0017	x057_cut_evidence_write_0017	x057_ev_nawol5e_vola_139_horace_two_odes	work_candidate_bloom_horace_odes	norton_world_lit_5e_full_pre1650	nawol5e_vola_139_horace_two_odes	evidence_present_after_apply	represented_by_selection_after_apply	representative_selection	moderate	accepted	regenerate_source_debt_scoring_and_cut_review_tables
x058_cut_evidence_apply_0018	x057_cut_evidence_write_0018	x057_ev_longman2e_volf_261_mahmoud_darwish_a_poem_which_is_not_green_from_my_country	work_candidate_bloom_darwish_selected_poems	longman_world_lit_2e_2009	longman2e_volf_261_mahmoud_darwish_a_poem_which_is_not_green_from_my_country	evidence_present_after_apply	represented_by_selection_after_apply	representative_selection	moderate	accepted	regenerate_source_debt_scoring_and_cut_review_tables
x058_cut_evidence_apply_0019	x057_cut_evidence_write_0019	x057_ev_longman2e_volf_262_mahmoud_darwish_diary_of_a_palestinian_wound	work_candidate_bloom_darwish_selected_poems	longman_world_lit_2e_2009	longman2e_volf_262_mahmoud_darwish_diary_of_a_palestinian_wound	evidence_present_after_apply	represented_by_selection_after_apply	representative_selection	moderate	accepted	regenerate_source_debt_scoring_and_cut_review_tables
x058_cut_evidence_apply_0020	x057_cut_evidence_write_0020	x057_ev_longman2e_volf_081_osip_mandelstam_to_a_a_a_akhmatova	work_candidate_bloom_mandelstam_poems	longman_world_lit_2e_2009	longman2e_volf_081_osip_mandelstam_to_a_a_a_akhmatova	evidence_present_after_apply	represented_by_selection_after_apply	representative_selection	moderate	accepted	regenerate_source_debt_scoring_and_cut_review_tables
x058_cut_evidence_apply_0021	x057_cut_evidence_write_0021	x057_ev_longman2e_volf_137_paul_celan_death_fugue	work_candidate_bloom_celan_poems	longman_world_lit_2e_2009	longman2e_volf_137_paul_celan_death_fugue	evidence_present_after_apply	represented_by_selection_after_apply	representative_selection	moderate	accepted	regenerate_source_debt_scoring_and_cut_review_tables
