triage_id	queue_id	diagnostic_id	severity	priority_score	subject	diagnostic_type	triage_class	confidence	source_item_count	source_ids	matched_work_ids	possible_work_ids	representative_titles	representative_creators	rationale	recommended_action
x029_triage_0012	x028_red_0012	x028_source_cluster_martyr	high	93	A Martyr | The Martyr	source_backed_unmatched_cluster	source_backed_omission_candidate	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	""	""	A Martyr; The Martyr	""	Repeated unmatched title has source support and no exact current candidate.	manual_match_or_create_candidate_review
x029_triage_0013	x028_red_0013	x028_source_cluster_agamemnon	high	93	Agamemnon | AGAMEMNON	source_backed_unmatched_cluster	source_backed_omission_candidate	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	""	""	Agamemnon; AGAMEMNON	AESCHYLUS	Repeated unmatched title has source support and no exact current candidate.	manual_match_or_create_candidate_review
x029_triage_0014	x028_red_0014	x028_source_cluster_akashi	high	93	Akashi	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	e017_columbia_traditional_japanese_lit_2007;longman_world_lit_2e_2009	""	""	Akashi	Man'OShu, Collection Of Ten Thousand Leaves	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0015	x028_red_0015	x028_source_cluster_autumn_excursion	high	93	An Autumn Excursion	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	e017_columbia_traditional_japanese_lit_2007;longman_world_lit_2e_2009	""	""	An Autumn Excursion	Man'OShu, Collection Of Ten Thousand Leaves	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0016	x028_red_0016	x028_source_cluster_old_and_established_name	high	93	An Old and Established Name	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	columbia_modern_chinese_lit_2e_2007;norton_world_lit_5e_full_post1650	""	""	An Old and Established Name	Lao She	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0017	x028_red_0017	x028_source_cluster_atsumori	high	93	Atsumori	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	e017_columbia_traditional_japanese_lit_2007;norton_world_lit_5e_full_post1650	""	""	Atsumori	""	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0018	x028_red_0018	x028_source_cluster_autumn_night	high	93	Autumn Night | The autumn night	source_backed_unmatched_cluster	homonymous_title_collision_review	medium	2	columbia_modern_chinese_lit_2e_2007;longman_world_lit_2e_2009	""	""	Autumn Night; The autumn night	Lu Xun; Ono No Komachi	Repeated bare title has multiple source creators and must be split before any omission claim.	split_by_creator_before_candidate_creation
x029_triage_0019	x028_red_0019	x028_source_cluster_begging_for_food	high	93	Begging for Food	source_backed_unmatched_cluster	source_backed_omission_candidate	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	""	""	Begging for Food	""	Repeated unmatched title has source support and no exact current candidate.	manual_match_or_create_candidate_review
x029_triage_0020	x028_red_0020	x028_source_cluster_bells_of_gion_monastery	high	93	Bells of Gion Monastery | The Bells of Gion Monastery	source_backed_unmatched_cluster	source_backed_omission_candidate	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	""	""	Bells of Gion Monastery; The Bells of Gion Monastery	""	Repeated unmatched title has source support and no exact current candidate.	manual_match_or_create_candidate_review
x029_triage_0021	x028_red_0021	x028_source_cluster_bring_in_wine	high	93	Bring in the Wine	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	""	""	Bring in the Wine	Tli Bo	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0022	x028_red_0022	x028_source_cluster_byzantium	high	93	Byzantium	source_backed_unmatched_cluster	source_backed_omission_candidate	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	""	""	Byzantium	""	Repeated unmatched title has source support and no exact current candidate.	manual_match_or_create_candidate_review
x029_triage_0023	x028_red_0023	x028_source_cluster_central_park	high	93	Central Park	source_backed_unmatched_cluster	source_backed_omission_candidate	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	""	""	Central Park	Octavio Paz	Repeated unmatched title has source support and no exact current candidate.	manual_match_or_create_candidate_review
x029_triage_0024	x028_red_0024	x028_source_cluster_correspondences	high	93	Correspondences	source_backed_unmatched_cluster	source_backed_omission_candidate	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	""	""	Correspondences	""	Repeated unmatched title has source support and no exact current candidate.	manual_match_or_create_candidate_review
x029_triage_0025	x028_red_0025	x028_source_cluster_delicious_poison	high	93	Delicious Poison	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	e017_columbia_traditional_japanese_lit_2007;longman_world_lit_2e_2009	""	""	Delicious Poison	Kyogen, Comic Interludes	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0026	x028_red_0026	x028_source_cluster_elegy	high	93	Elegy	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	e014_penguin_modern_african_poetry_4e_2007;norton_world_lit_5e_full_pre1650	""	""	Elegy	Mazisi Kunene	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0027	x028_red_0027	x028_source_cluster_emperor_jomei	high	93	Emperor Jomei	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	e017_columbia_traditional_japanese_lit_2007;norton_world_lit_5e_full_pre1650	""	""	Emperor Jomei	""	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0028	x028_red_0028	x028_source_cluster_escape	high	93	Escape	source_backed_unmatched_cluster	homonymous_title_collision_review	medium	2	columbia_modern_chinese_lit_2e_2007;e017_columbia_modern_japanese_lit_v2_2007	""	""	Escape	Su Tong; Ishihara Yoshiro	Repeated bare title has multiple source creators and must be split before any omission claim.	split_by_creator_before_candidate_creation
x029_triage_0029	x028_red_0029	x028_source_cluster_evening	high	93	Evening	source_backed_unmatched_cluster	source_backed_omission_candidate	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	""	""	Evening	""	Repeated unmatched title has source support and no exact current candidate.	manual_match_or_create_candidate_review
x029_triage_0030	x028_red_0030	x028_source_cluster_exile	high	93	Exile	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	e014_penguin_modern_african_poetry_4e_2007;e017_columbia_traditional_japanese_lit_2007	""	""	Exile	Mbella Sonne Dipoko	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0031	x028_red_0031	x028_source_cluster_farewell	high	93	Farewell	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	""	""	Farewell	""	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0032	x028_red_0032	x028_source_cluster_finding_fault_with_my_sons	high	93	Finding Fault with My Sons	source_backed_unmatched_cluster	source_backed_omission_candidate	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	""	""	Finding Fault with My Sons	""	Repeated unmatched title has source support and no exact current candidate.	manual_match_or_create_candidate_review
x029_triage_0033	x028_red_0033	x028_source_cluster_fire	high	93	Fire	source_backed_unmatched_cluster	homonymous_title_collision_review	medium	2	norton_world_lit_5e_full_pre1650;oxford_modern_indian_poetry_1998	""	""	Fire	Amiya Chakravarty (Bengali); In the Sixth Month of 408	Repeated bare title has multiple source creators and must be split before any omission claim.	split_by_creator_before_candidate_creation
x029_triage_0034	x028_red_0034	x028_source_cluster_from_on_reading_seas_and_mountains_classic	high	93	From On Reading the Seas and Mountains Classic	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	""	""	From On Reading the Seas and Mountains Classic	""	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0035	x028_red_0035	x028_source_cluster_fuenteovejuna	high	93	Fuenteovejuna	source_backed_unmatched_cluster	source_backed_omission_candidate	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	""	""	Fuenteovejuna	Lope De Vega Carpio	Repeated unmatched title has source support and no exact current candidate.	manual_match_or_create_candidate_review
x029_triage_0036	x028_red_0036	x028_source_cluster_gentle_now_doves	high	93	Gentle now, doves | [GENTLE NOW, DOVES]	source_backed_unmatched_cluster	homonymous_title_collision_review	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	""	""	Gentle now, doves; [GENTLE NOW, DOVES]	Ibn al-Arabi; IBN 'ARABI	Repeated bare title has multiple source creators and must be split before any omission claim.	split_by_creator_before_candidate_creation
x029_triage_0037	x028_red_0037	x028_source_cluster_harvest	high	93	Harvest | The Harvest	source_backed_unmatched_cluster	source_backed_omission_candidate	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	""	""	Harvest; The Harvest	Hafiz	Repeated unmatched title has source support and no exact current candidate.	manual_match_or_create_candidate_review
x029_triage_0038	x028_red_0038	x028_source_cluster_heartvine	high	93	Heartvine	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	e017_columbia_traditional_japanese_lit_2007;longman_world_lit_2e_2009	""	""	Heartvine	Man'OShu, Collection Of Ten Thousand Leaves	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0039	x028_red_0039	x028_source_cluster_holy_sonnets	high	93	Holy Sonnets | HOLY SONNETS	source_backed_unmatched_cluster	source_backed_omission_candidate	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	""	""	Holy Sonnets; HOLY SONNETS	John Donne; JOHN DONNE	Repeated unmatched title has source support and no exact current candidate.	manual_match_or_create_candidate_review
x029_triage_0040	x028_red_0040	x028_source_cluster_homecoming	high	93	Homecoming	source_backed_unmatched_cluster	homonymous_title_collision_review	medium	2	e014_penguin_modern_african_poetry_4e_2007;e017_columbia_modern_japanese_lit_v2_2007	work_candidate_completion_lit_homecoming_pinter	""	Homecoming	Lenrie Peters; Kanai Mieko	Exact title exists, but source creators do not match the existing candidate creators.	split_by_creator_before_alias_or_candidate_creation
x029_triage_0041	x028_red_0041	x028_source_cluster_in_response_to_vice_magistrate_zhang	high	93	In Response to Vice-Magistrate Zhang | In Response to Vice- Magistrate Zhang	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	""	""	In Response to Vice-Magistrate Zhang; In Response to Vice- Magistrate Zhang	""	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0042	x028_red_0042	x028_source_cluster_in_quiet_night	high	93	In the Quiet Night	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	""	""	In the Quiet Night	Tli Bo	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0043	x028_red_0043	x028_source_cluster_ithaka	high	93	Ithaka	source_backed_unmatched_cluster	source_backed_omission_candidate	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	""	""	Ithaka	Constantine Cavafy	Repeated unmatched title has source support and no exact current candidate.	manual_match_or_create_candidate_review
x029_triage_0044	x028_red_0044	x028_source_cluster_kakinomoto_no_hitomaro	high	93	Kakinomoto no Hitomaro	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	e017_columbia_traditional_japanese_lit_2007;norton_world_lit_5e_full_pre1650	""	""	Kakinomoto no Hitomaro	""	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0045	x028_red_0045	x028_source_cluster_kinaxixi	high	93	Kinaxixi | Kinaxixi.	source_backed_unmatched_cluster	homonymous_title_collision_review	medium	2	e014_penguin_modern_african_poetry_4e_2007;e014_rienner_anthology_african_lit_2007	""	""	Kinaxixi; Kinaxixi.	Augustinbo Neto; Agostinho Neto	Repeated bare title has multiple source creators and must be split before any omission claim.	split_by_creator_before_candidate_creation
x029_triage_0046	x028_red_0046	x028_source_cluster_lavender	high	93	Lavender	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	e017_columbia_traditional_japanese_lit_2007;longman_world_lit_2e_2009	""	""	Lavender	Man'OShu, Collection Of Ten Thousand Leaves	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0047	x028_red_0047	x028_source_cluster_lessons_for_women	high	93	Lessons for Women	source_backed_unmatched_cluster	homonymous_title_collision_review	medium	2	longman_world_lit_2e_2009;shorter_columbia_traditional_chinese_lit_2000	""	""	Lessons for Women	Pan Chao; Ban Zhao	Repeated bare title has multiple source creators and must be split before any omission claim.	split_by_creator_before_candidate_creation
x029_triage_0048	x028_red_0048	x028_source_cluster_men_ask_way_to_cold_mountain	high	93	Men ask the way to Cold Mountain | [Men ask the way to Cold Mountain]	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	""	""	Men ask the way to Cold Mountain; [Men ask the way to Cold Mountain]	Han Shan	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0049	x028_red_0049	x028_source_cluster_moth	high	93	Moth	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	columbia_modern_chinese_lit_2e_2007;norton_world_lit_5e_full_pre1650	""	""	Moth	Bai Qiu	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0050	x028_red_0050	x028_source_cluster_my_innocent_uncle	high	93	My Innocent Uncle	source_backed_unmatched_cluster	source_backed_omission_candidate	medium	2	e018_columbia_modern_korean_fiction_2005;norton_world_lit_5e_full_post1650	""	""	My Innocent Uncle	Ch'ae Manshik	Repeated unmatched title has source support and no exact current candidate.	manual_match_or_create_candidate_review
x029_triage_0051	x028_red_0051	x028_source_cluster_my_mind_is_like_autumn_moon	high	93	My mind is like the autumn moon | [My mind is like the autumn moon]	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	""	""	My mind is like the autumn moon; [My mind is like the autumn moon]	Han Shan	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0052	x028_red_0052	x028_source_cluster_o_captain_my_captain	high	93	O Captain! My Captain!	source_backed_unmatched_cluster	source_backed_omission_candidate	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	""	""	O Captain! My Captain!	Walt Whitman	Repeated unmatched title has source support and no exact current candidate.	manual_match_or_create_candidate_review
x029_triage_0053	x028_red_0053	x028_source_cluster_ode_on_grecian_urn	high	93	Ode on a Grecian Urn	source_backed_unmatched_cluster	source_backed_omission_candidate	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	""	""	Ode on a Grecian Urn	John Keats	Repeated unmatched title has source support and no exact current candidate.	manual_match_or_create_candidate_review
x029_triage_0054	x028_red_0054	x028_source_cluster_ode_to_nightingale	high	93	Ode to a Nightingale	source_backed_unmatched_cluster	source_backed_omission_candidate	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	""	""	Ode to a Nightingale	John Keats	Repeated unmatched title has source support and no exact current candidate.	manual_match_or_create_candidate_review
x029_triage_0055	x028_red_0055	x028_source_cluster_of_cannibals	high	93	Of Cannibals	source_backed_unmatched_cluster	source_backed_omission_candidate	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	""	""	Of Cannibals	Michel De Montaigne	Repeated unmatched title has source support and no exact current candidate.	manual_match_or_create_candidate_review
x029_triage_0056	x028_red_0056	x028_source_cluster_of_power_of_imagination	high	93	Of the Power of the Imagination	source_backed_unmatched_cluster	source_backed_omission_candidate	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	""	""	Of the Power of the Imagination	Michel De Montaigne	Repeated unmatched title has source support and no exact current candidate.	manual_match_or_create_candidate_review
x029_triage_0057	x028_red_0057	x028_source_cluster_on_spring_and_autumn	high	93	On Spring and Autumn | On spring and autumn	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	e017_columbia_traditional_japanese_lit_2007;longman_world_lit_2e_2009	""	""	On Spring and Autumn; On spring and autumn	Princess Nukata	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0058	x028_red_0058	x028_source_cluster_otomo_no_tabito	high	93	Otomo no Tabito	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	e017_columbia_traditional_japanese_lit_2007;norton_world_lit_5e_full_pre1650	""	""	Otomo no Tabito	""	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0059	x028_red_0059	x028_source_cluster_patriotism	high	93	Patriotism	source_backed_unmatched_cluster	homonymous_title_collision_review	medium	2	e017_columbia_modern_japanese_lit_v2_2007;longman_world_lit_2e_2009	""	""	Patriotism	Mishima Yukio; Yukio Mishima	Repeated bare title has multiple source creators and must be split before any omission claim.	split_by_creator_before_candidate_creation
x029_triage_0060	x028_red_0060	x028_source_cluster_pining_wind	high	93	Pining Wind	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	e017_columbia_traditional_japanese_lit_2007;longman_world_lit_2e_2009	""	""	Pining Wind	Zeami	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0061	x028_red_0061	x028_source_cluster_prologue_in_heaven	high	93	Prologue in Heaven	source_backed_unmatched_cluster	source_backed_omission_candidate	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_post1650	""	""	Prologue in Heaven	""	Repeated unmatched title has source support and no exact current candidate.	manual_match_or_create_candidate_review
x029_triage_0062	x028_red_0062	x028_source_cluster_question_and_answer_in_mountains	high	93	Question and Answer in the Mountains	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	""	""	Question and Answer in the Mountains	Tli Bo	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0063	x028_red_0063	x028_source_cluster_returning_to_farm_to_dwell	high	93	Returning to the Farm to Dwell	source_backed_unmatched_cluster	source_backed_omission_candidate	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	""	""	Returning to the Farm to Dwell	""	Repeated unmatched title has source support and no exact current candidate.	manual_match_or_create_candidate_review
x029_triage_0064	x028_red_0064	x028_source_cluster_sealed_off	high	93	Sealed Off	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	columbia_modern_chinese_lit_2e_2007;norton_world_lit_5e_full_post1650	""	""	Sealed Off	Zhang Ailing	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0065	x028_red_0065	x028_source_cluster_seeing_plum_blossoms_when_sentenced_to_exile	high	93	Seeing the Plum Blossoms When Sentenced to Exile	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	e017_columbia_traditional_japanese_lit_2007;norton_world_lit_5e_full_pre1650	""	""	Seeing the Plum Blossoms When Sentenced to Exile	""	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0066	x028_red_0066	x028_source_cluster_sitting_alone_by_jingting_mountain	high	93	Sitting Alone by Jingting Mountain	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	""	""	Sitting Alone by Jingting Mountain	Tli Bo	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0067	x028_red_0067	x028_source_cluster_sometimes_when_it_rains	high	93	Sometimes When It Rains | Sometimes When it Rains.	source_backed_unmatched_cluster	homonymous_title_collision_review	medium	2	e014_penguin_modern_african_poetry_4e_2007;e014_rienner_anthology_african_lit_2007	""	""	Sometimes When It Rains; Sometimes When it Rains.	Gcina Mhlophe; Gcina Mhlope	Repeated bare title has multiple source creators and must be split before any omission claim.	split_by_creator_before_candidate_creation
x029_triage_0068	x028_red_0068	x028_source_cluster_songs_of_sorrow	high	93	Songs of Sorrow | Songs of Sorrow.	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	e014_penguin_modern_african_poetry_4e_2007;e014_rienner_anthology_african_lit_2007	""	""	Songs of Sorrow; Songs of Sorrow.	Kofi Awoonor	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0069	x028_red_0069	x028_source_cluster_sugawara_no_michizane	high	93	Sugawara no Michizane | SUGAWARA NO MICHIZANE	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	e017_columbia_traditional_japanese_lit_2007;norton_world_lit_5e_full_pre1650	""	""	Sugawara no Michizane; SUGAWARA NO MICHIZANE	""	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0070	x028_red_0070	x028_source_cluster_suma	high	93	Suma	source_backed_unmatched_cluster	subwork_or_selection_scope_review	medium	2	e017_columbia_traditional_japanese_lit_2007;longman_world_lit_2e_2009	""	""	Suma	Man'OShu, Collection Of Ten Thousand Leaves	Repeated source title may be an individual poem, excerpt, or anthology sub-selection rather than a full work.	review_scope_before_candidate_creation
x029_triage_0071	x028_red_0071	x028_source_cluster_tales_of_heike	high	93	Tales Of Heike | THE TALES OF THE HEIKE	source_backed_unmatched_cluster	source_backed_omission_candidate	medium	2	longman_world_lit_2e_2009;norton_world_lit_5e_full_pre1650	""	""	Tales Of Heike; THE TALES OF THE HEIKE	""	Repeated unmatched title has source support and no exact current candidate.	manual_match_or_create_candidate_review
