creator_id	creator_display	normalized_name	name_variants	life_dates	culture_or_tradition	notes
creator_00037	Alcman	alcman	""	""	""	Bootstrapped from incumbent path
creator_00038	Sanskrit epic tradition	sanskrit epic tradition	""	""	""	Bootstrapped from incumbent path
creator_00039	Akkadian wisdom-dialogue tradition	akkadian wisdom dialogue tradition	""	""	""	Bootstrapped from incumbent path
creator_00040	Akkadian wisdom-literary tradition	akkadian wisdom literary tradition	""	""	""	Bootstrapped from incumbent path
creator_00041	Akkadian wisdom-poetic tradition	akkadian wisdom poetic tradition	""	""	""	Bootstrapped from incumbent path
creator_00042	Confucius and early Confucian tradition	confucius and early confucian tradition	""	""	""	Bootstrapped from incumbent path
creator_00043	Aeschylus	aeschylus	""	""	""	Bootstrapped from incumbent path
creator_00044	Sophocles	sophocles	""	""	""	Bootstrapped from incumbent path
creator_00045	Euripides	euripides	""	""	""	Bootstrapped from incumbent path
creator_00046	Pindar	pindar	""	""	""	Bootstrapped from incumbent path
creator_00047	Thucydides	thucydides	""	""	""	Bootstrapped from incumbent path
creator_00048	Herodotus	herodotus	""	""	""	Bootstrapped from incumbent path
creator_00049	Aristophanes	aristophanes	""	""	""	Bootstrapped from incumbent path
creator_00050	Plato	plato	""	""	""	Bootstrapped from incumbent path
creator_00051	Daoist textual tradition	daoist textual tradition	""	""	""	Bootstrapped from incumbent path
creator_00052	Menander	menander	""	""	""	Bootstrapped from incumbent path
creator_00053	Aristotle	aristotle	""	""	""	Bootstrapped from incumbent path
creator_00054	Zhuangzi and Daoist textual tradition	zhuangzi and daoist textual tradition	""	""	""	Bootstrapped from incumbent path
creator_00055	Confucian textual tradition	confucian textual tradition	""	""	""	Bootstrapped from incumbent path
creator_00056	Theravada Buddhist canonical tradition	theravada buddhist canonical tradition	""	""	""	Bootstrapped from incumbent path
creator_00057	Jain canonical tradition	jain canonical tradition	""	""	""	Bootstrapped from incumbent path
creator_00058	Jain canonical and ritual tradition	jain canonical and ritual tradition	""	""	""	Bootstrapped from incumbent path
creator_00059	Kundakunda; Digambara Jain tradition	kundakunda digambara jain tradition	""	""	""	Bootstrapped from incumbent path
creator_00060	Jain Prakrit tradition	jain prakrit tradition	""	""	""	Bootstrapped from incumbent path
creator_00061	Pali Buddhist narrative tradition	pali buddhist narrative tradition	""	""	""	Bootstrapped from incumbent path
creator_00062	Classical Chinese historical prose tradition	classical chinese historical prose tradition	""	""	""	Bootstrapped from incumbent path
creator_00063	Early Chinese mythographic tradition	early chinese mythographic tradition	""	""	""	Bootstrapped from incumbent path
creator_00064	Sanskrit fable tradition	sanskrit fable tradition	""	""	""	Bootstrapped from incumbent path
creator_00065	Apollonius of Rhodes	apollonius of rhodes	""	""	""	Bootstrapped from incumbent path
creator_00066	Callimachus	callimachus	""	""	""	Bootstrapped from incumbent path
creator_00067	Theocritus	theocritus	""	""	""	Bootstrapped from incumbent path
creator_00068	Early Buddhist women poets	early buddhist women poets	""	""	""	Bootstrapped from incumbent path
creator_00069	Mahabharata and Hindu philosophical tradition	mahabharata and hindu philosophical tradition	""	""	""	Bootstrapped from incumbent path
creator_00070	Greek epigram anthology tradition	greek epigram anthology tradition	""	""	""	Bootstrapped from incumbent path
creator_00071	Early Buddhist monk-poets	early buddhist monk poets	""	""	""	Bootstrapped from incumbent path
creator_00072	Plautus	plautus	""	""	""	Bootstrapped from incumbent path
creator_00073	Terence	terence	""	""	""	Bootstrapped from incumbent path
creator_00074	Qu Yuan and the Classical Chinese poetic tradition	qu yuan and classical chinese poetic tradition	""	""	""	Bootstrapped from incumbent path
creator_00075	Jesus ben Sira	jesus ben sira	""	""	""	Bootstrapped from incumbent path
creator_00076	Jewish apocalyptic and court-tale tradition	jewish apocalyptic and court tale tradition	""	""	""	Bootstrapped from incumbent path
creator_00077	Han and post-Han poetic tradition	han and post han poetic tradition	""	""	""	Bootstrapped from incumbent path
creator_00078	Bharata and Sanskrit dramaturgical tradition	bharata and sanskrit dramaturgical tradition	""	""	""	Bootstrapped from incumbent path
creator_00079	Marcus Tullius Cicero	marcus tullius cicero	""	""	""	Bootstrapped from incumbent path
creator_00080	Titus Lucretius Carus	titus lucretius carus	""	""	""	Bootstrapped from incumbent path
creator_00081	Sima Qian	sima qian	""	""	""	Bootstrapped from incumbent path
creator_00082	Tiruvalluvar	tiruvalluvar	""	""	""	Bootstrapped from incumbent path
creator_00083	Jewish apocalyptic literary tradition	jewish apocalyptic literary tradition	""	""	""	Bootstrapped from incumbent path
creator_00084	Horace	horace	""	""	""	Bootstrapped from incumbent path
creator_00085	Catullus	catullus	""	""	""	Bootstrapped from incumbent path
creator_00086	Hellenistic Jewish literary tradition	hellenistic jewish literary tradition	""	""	""	Bootstrapped from incumbent path
creator_00087	Virgil	virgil	""	""	""	Bootstrapped from incumbent path
creator_00088	Ovid	ovid	""	""	""	Bootstrapped from incumbent path
creator_00089	Old Norse poetic and manuscript tradition	old norse poetic and manuscript tradition	""	""	""	Bootstrapped from incumbent path
creator_00090	Early Christian textual tradition	early christian textual tradition	""	""	""	Bootstrapped from incumbent path
creator_00091	Martial	martial	""	""	""	Bootstrapped from incumbent path
creator_00092	Lucius Annaeus Seneca	lucius annaeus seneca	""	""	""	Bootstrapped from incumbent path
creator_00093	Lucan	lucan	""	""	""	Bootstrapped from incumbent path
creator_00094	Persius	persius	""	""	""	Bootstrapped from incumbent path
creator_00095	Petronius	petronius	""	""	""	Bootstrapped from incumbent path
creator_00096	Statius	statius	""	""	""	Bootstrapped from incumbent path
creator_00097	Early Christian sayings tradition	early christian sayings tradition	""	""	""	Bootstrapped from incumbent path
creator_00098	Aramaic and Syriac wisdom-story tradition	aramaic and syriac wisdom story tradition	""	""	""	Bootstrapped from incumbent path
creator_00099	Buddhist Sanskrit narrative tradition	buddhist sanskrit narrative tradition	""	""	""	Bootstrapped from incumbent path
creator_00100	Ashvaghosha	ashvaghosha	""	""	""	Bootstrapped from incumbent path
creator_00101	Prakrit lyric tradition	prakrit lyric tradition	""	""	""	Bootstrapped from incumbent path
creator_00102	Mahayana Buddhist textual tradition	mahayana buddhist textual tradition	""	""	""	Bootstrapped from incumbent path
creator_00103	Han poetic tradition	han poetic tradition	""	""	""	Bootstrapped from incumbent path
creator_00104	Early Syriac Christian poetic tradition	early syriac christian poetic tradition	""	""	""	Bootstrapped from incumbent path
creator_00105	Juvenal	juvenal	""	""	""	Bootstrapped from incumbent path
creator_00106	Apuleius	apuleius	""	""	""	Bootstrapped from incumbent path
creator_00107	Longus	longus	""	""	""	Bootstrapped from incumbent path
creator_00108	Classical Tamil Sangam poets	classical tamil sangam poets	""	""	""	Bootstrapped from incumbent path
creator_00109	Syriac Christian poetic tradition	syriac christian poetic tradition	""	""	""	Bootstrapped from incumbent path
creator_00110	Buddhist Sanskrit tradition	buddhist sanskrit tradition	""	""	""	Bootstrapped from incumbent path
creator_00111	Rabbinic tradition	rabbinic tradition	""	""	""	Bootstrapped from incumbent path
creator_00112	Cao Cao	cao cao	""	""	""	Bootstrapped from incumbent path
creator_00113	Cao Zhi	cao zhi	""	""	""	Bootstrapped from incumbent path
creator_00114	Ruan Ji	ruan ji	""	""	""	Bootstrapped from incumbent path
creator_00115	Sudraka	sudraka	""	""	""	Bootstrapped from incumbent path
creator_00116	Bhasa	bhasa	""	""	""	Bootstrapped from incumbent path
creator_00117	Heliodorus of Emesa	heliodorus of emesa	""	""	""	Bootstrapped from incumbent path
creator_00118	Ephrem the Syrian	ephrem syrian	""	""	""	Bootstrapped from incumbent path
creator_00119	Gan Bao; Chinese anomaly-tale tradition	gan bao chinese anomaly tale tradition	""	""	""	Bootstrapped from incumbent path
creator_00120	Arya Shura	arya shura	""	""	""	Bootstrapped from incumbent path
creator_00121	Augustine of Hippo	augustine of hippo	""	""	""	Bootstrapped from incumbent path
creator_00122	Kalidasa	kalidasa	""	""	""	Bootstrapped from incumbent path
creator_00123	Prudentius	prudentius	""	""	""	Bootstrapped from incumbent path
creator_00124	Tao Yuanming	tao yuanming	""	""	""	Bootstrapped from incumbent path
creator_00125	Rabbinic aggadic tradition	rabbinic aggadic tradition	""	""	""	Bootstrapped from incumbent path
creator_00126	Tamil didactic poetic tradition	tamil didactic poetic tradition	""	""	""	Bootstrapped from incumbent path
creator_00127	Classical Tamil poets	classical tamil poets	""	""	""	Bootstrapped from incumbent path
creator_00128	Vimalasuri	vimalasuri	""	""	""	Bootstrapped from incumbent path
creator_00129	Bao Zhao	bao zhao	""	""	""	Bootstrapped from incumbent path
creator_00130	Xie Lingyun	xie lingyun	""	""	""	Bootstrapped from incumbent path
creator_00131	Pravarasena II	pravarasena ii	""	""	""	Bootstrapped from incumbent path
creator_00132	Nonnus	nonnus	""	""	""	Bootstrapped from incumbent path
creator_00133	Syriac Christian literary tradition	syriac christian literary tradition	""	""	""	Bootstrapped from incumbent path
creator_00134	Boethius	boethius	""	""	""	Bootstrapped from incumbent path
creator_00135	Bharavi	bharavi	""	""	""	Bootstrapped from incumbent path
creator_00136	Sattanar; Tamil literary tradition	sattanar tamil literary tradition	""	""	""	Bootstrapped from incumbent path
creator_00137	Xu Ling and Six Dynasties anthology tradition	xu ling and six dynasties anthology tradition	""	""	""	Bootstrapped from incumbent path
creator_00138	Imru' al-Qays	imru al qays	""	""	""	Bootstrapped from incumbent path
creator_00139	Yu Xin	yu xin	""	""	""	Bootstrapped from incumbent path
creator_00140	Ilango Adigal; Tamil literary tradition	ilango adigal tamil literary tradition	""	""	""	Bootstrapped from incumbent path
creator_00141	Xiao Tong and Liang anthology tradition	xiao tong and liang anthology tradition	""	""	""	Bootstrapped from incumbent path
creator_00142	Islamic scripture	islamic scripture	""	""	""	Bootstrapped from incumbent path
creator_00143	Pre-Islamic Arabic poetic tradition	pre islamic arabic poetic tradition	""	""	""	Bootstrapped from incumbent path
creator_00144	Amaru	amaru	""	""	""	Bootstrapped from incumbent path
creator_00145	Banabhatta	banabhatta	""	""	""	Bootstrapped from incumbent path
creator_00146	Harsha	harsha	""	""	""	Bootstrapped from incumbent path
creator_00147	Bhartrihari	bhartrihari	""	""	""	Bootstrapped from incumbent path
creator_00148	Magha	magha	""	""	""	Bootstrapped from incumbent path
creator_00149	Bhatti	bhatti	""	""	""	Bootstrapped from incumbent path
creator_00150	Subandhu	subandhu	""	""	""	Bootstrapped from incumbent path
creator_00151	Shakta Hindu tradition	shakta hindu tradition	""	""	""	Bootstrapped from incumbent path
creator_00152	Mahayana Buddhist Prajnaparamita tradition	mahayana buddhist prajnaparamita tradition	""	""	""	Bootstrapped from incumbent path
creator_00153	Mahayana Buddhist tradition	mahayana buddhist tradition	""	""	""	Bootstrapped from incumbent path
creator_00154	Tamil poetic tradition	tamil poetic tradition	""	""	""	Bootstrapped from incumbent path
creator_00155	Japanese mythic and literary tradition	japanese mythic and literary tradition	""	""	""	Bootstrapped from incumbent path
creator_00156	Japanese court historiographic and mythological tradition	japanese court historiographic and mythological tradition	""	""	""	Bootstrapped from incumbent path
creator_00157	al-Mufaddal al-Dabbi and Arabic anthology tradition	al mufaddal al dabbi and arabic anthology tradition	""	""	""	Bootstrapped from incumbent path
creator_00158	Hanshan	hanshan	""	""	""	Bootstrapped from incumbent path
creator_00159	Dandin	dandin	""	""	""	Bootstrapped from incumbent path
creator_00160	Ibn al-Muqaffa and fable tradition	ibn al muqaffa and fable tradition	""	""	""	Bootstrapped from incumbent path
creator_00161	Bhavabhuti	bhavabhuti	""	""	""	Bootstrapped from incumbent path
creator_00162	Vishakhadatta	vishakhadatta	""	""	""	Bootstrapped from incumbent path
creator_00163	Wang Wei	wang wei	""	""	""	Bootstrapped from incumbent path
creator_00164	Du Fu	du fu	""	""	""	Bootstrapped from incumbent path
creator_00165	Li Bai	li bai	""	""	""	Bootstrapped from incumbent path
creator_00166	Tamil Shaiva bhakti poets	tamil shaiva bhakti poets	""	""	""	Bootstrapped from incumbent path
creator_00167	Kouhala	kouhala	""	""	""	Bootstrapped from incumbent path
creator_00168	Shantideva	shantideva	""	""	""	Bootstrapped from incumbent path
creator_00169	Classical Japanese poetic tradition	classical japanese poetic tradition	""	""	""	Bootstrapped from incumbent path
creator_00170	Old English poetic tradition	old english poetic tradition	""	""	""	Bootstrapped from incumbent path
creator_00171	Old English Christian poetic tradition	old english christian poetic tradition	""	""	""	Bootstrapped from incumbent path
creator_00172	Bai Juyi	bai juyi	""	""	""	Bootstrapped from incumbent path
creator_00173	Kyokai	kyokai	""	""	""	Bootstrapped from incumbent path
creator_00174	Muhammad ibn Isma'il al-Bukhari; Sunni hadith tradition	muhammad ibn ismail al bukhari sunni hadith tradition	""	""	""	Bootstrapped from incumbent path
creator_00175	Abu Tammam and Arabic anthology tradition	abu tammam and arabic anthology tradition	""	""	""	Bootstrapped from incumbent path
creator_00176	Tamil Alvar poets	tamil alvar poets	""	""	""	Bootstrapped from incumbent path
creator_00177	Muslim ibn al-Hajjaj; Sunni hadith tradition	muslim ibn al hajjaj sunni hadith tradition	""	""	""	Bootstrapped from incumbent path
creator_00178	Andal	andal	""	""	""	Bootstrapped from incumbent path
creator_00179	Abu Nuwas	abu nuwas	""	""	""	Bootstrapped from incumbent path
creator_00180	al-Khansa	al khansa	""	""	""	Bootstrapped from incumbent path
creator_00181	Abu Tammam	abu tammam	""	""	""	Bootstrapped from incumbent path
creator_00182	Classical Tamil grammatical and poetic tradition	classical tamil grammatical and poetic tradition	""	""	""	Bootstrapped from incumbent path
creator_00183	Du Mu	du mu	""	""	""	Bootstrapped from incumbent path
creator_00184	Li Shangyin	li shangyin	""	""	""	Bootstrapped from incumbent path
creator_00185	Tang chuanqi tradition	tang chuanqi tradition	""	""	""	Bootstrapped from incumbent path
creator_00186	al-Jahiz	al jahiz	""	""	""	Bootstrapped from incumbent path
creator_00187	Yuan Zhen	yuan zhen	""	""	""	Bootstrapped from incumbent path
creator_00188	Bai Xingjian	bai xingjian	""	""	""	Bootstrapped from incumbent path
creator_00189	Manikkavacakar; Tamil Shaiva devotional tradition	manikkavacakar tamil shaiva devotional tradition	""	""	""	Bootstrapped from incumbent path
creator_00190	Amoghavarsha and Srivijaya	amoghavarsha and srivijaya	""	""	""	Bootstrapped from incumbent path
creator_00191	Ki no Tsurayuki and Japanese court compilers	ki no tsurayuki and japanese court compilers	""	""	""	Bootstrapped from incumbent path
creator_00192	Ki no Tsurayuki	ki no tsurayuki	""	""	""	Bootstrapped from incumbent path
creator_00193	Pampa	pampa	""	""	""	Bootstrapped from incumbent path
creator_00194	al-Mutanabbi	al mutanabbi	""	""	""	Bootstrapped from incumbent path
creator_00195	Anonymous	anonymous	""	""	""	Bootstrapped from incumbent path
creator_00196	Sanskrit Puranic tradition	sanskrit puranic tradition	""	""	""	Bootstrapped from incumbent path
creator_00197	Old Javanese literary tradition	old javanese literary tradition	""	""	""	Bootstrapped from incumbent path
creator_00198	Badi' al-Zaman al-Hamadhani	badi al zaman al hamadhani	""	""	""	Bootstrapped from incumbent path
creator_00199	Rudaki	rudaki	""	""	""	Bootstrapped from incumbent path
creator_00200	Michitsuna's Mother	michitsunas mother	""	""	""	Bootstrapped from incumbent path
creator_00201	Heian court narrative tradition	heian court narrative tradition	""	""	""	Bootstrapped from incumbent path
creator_00202	Shivakotiacharya	shivakotiacharya	""	""	""	Bootstrapped from incumbent path
creator_00203	Daqiqi	daqiqi	""	""	""	Bootstrapped from incumbent path
creator_00204	Abu al-Faraj al-Isfahani	abu al faraj al isfahani	""	""	""	Bootstrapped from incumbent path
creator_00205	Sei Shonagon	sei shonagon	""	""	""	Bootstrapped from incumbent path
creator_00206	Gregory of Narek	gregory of narek	""	""	""	Bootstrapped from incumbent path
creator_00207	Murasaki Shikibu	murasaki shikibu	""	""	""	Bootstrapped from incumbent path
creator_00208	Ferdowsi	ferdowsi	""	""	""	Bootstrapped from incumbent path
creator_00209	Ibn Hazm	ibn hazm	""	""	""	Bootstrapped from incumbent path
creator_00210	Old French epic tradition	old french epic tradition	""	""	""	Bootstrapped from incumbent path
creator_00211	Asadi Tusi	asadi tusi	""	""	""	Bootstrapped from incumbent path
creator_00212	Somadeva	somadeva	""	""	""	Bootstrapped from incumbent path
creator_00213	Solomon ibn Gabirol	solomon ibn gabirol	""	""	""	Bootstrapped from incumbent path
creator_00214	al-Ma'arri	al maarri	""	""	""	Bootstrapped from incumbent path
creator_00215	Baba Taher	baba taher	""	""	""	Bootstrapped from incumbent path
creator_00216	Abu al-Ala al-Maarri	abu al ala al maarri	""	""	""	Bootstrapped from incumbent path
creator_00217	Nasir Khusraw	nasir khusraw	""	""	""	Bootstrapped from incumbent path
creator_00218	Su Shi	su shi	""	""	""	Bootstrapped from incumbent path
creator_00219	Ibn Zaydun	ibn zaydun	""	""	""	Bootstrapped from incumbent path
creator_00220	Samuel ha-Nagid	samuel ha nagid	""	""	""	Bootstrapped from incumbent path
creator_00221	Fakhr al-Din Gurgani	fakhr al din gurgani	""	""	""	Bootstrapped from incumbent path
creator_00222	Bilhana	bilhana	""	""	""	Bootstrapped from incumbent path
creator_00223	Izumi Shikibu	izumi shikibu	""	""	""	Bootstrapped from incumbent path
creator_00224	Sugawara no Takasue's Daughter	sugawara no takasues daughter	""	""	""	Bootstrapped from incumbent path
creator_00225	Yusuf Khass Hajib	yusuf khass hajib	""	""	""	Bootstrapped from incumbent path
creator_00226	Byzantine Greek epic tradition	byzantine greek epic tradition	""	""	""	Bootstrapped from incumbent path
creator_00227	Nizami Ganjavi	nizami ganjavi	""	""	""	Bootstrapped from incumbent path
creator_00228	Farid ud-Din Attar	farid ud din attar	""	""	""	Bootstrapped from incumbent path
creator_00229	Shota Rustaveli	shota rustaveli	""	""	""	Bootstrapped from incumbent path
creator_00230	Buddhist tantric poets	buddhist tantric poets	""	""	""	Bootstrapped from incumbent path
creator_00231	Jayadeva	jayadeva	""	""	""	Bootstrapped from incumbent path
creator_00232	Ibn Tufayl	ibn tufayl	""	""	""	Bootstrapped from incumbent path
creator_00233	Abu Hayyan al-Tawhidi	abu hayyan al tawhidi	""	""	""	Bootstrapped from incumbent path
creator_00234	Japanese setsuwa compilation tradition	japanese setsuwa compilation tradition	""	""	""	Bootstrapped from incumbent path
creator_00235	Marie de France	marie de france	""	""	""	Bootstrapped from incumbent path
creator_00236	al-Hariri of Basra	al hariri of basra	""	""	""	Bootstrapped from incumbent path
creator_00237	Sriharsha	sriharsha	""	""	""	Bootstrapped from incumbent path
creator_00238	Sekkizhar	sekkizhar	""	""	""	Bootstrapped from incumbent path
creator_00239	Kalhana	kalhana	""	""	""	Bootstrapped from incumbent path
creator_00240	Kamban	kamban	""	""	""	Bootstrapped from incumbent path
creator_00241	Omar Khayyam	omar khayyam	""	""	""	Bootstrapped from incumbent path
creator_00242	Xin Qiji	xin qiji	""	""	""	Bootstrapped from incumbent path
creator_00243	Li Qingzhao	li qingzhao	""	""	""	Bootstrapped from incumbent path
creator_00244	Lu You	lu you	""	""	""	Bootstrapped from incumbent path
creator_00245	Yehuda Halevi	yehuda halevi	""	""	""	Bootstrapped from incumbent path
creator_00246	Usama ibn Munqidh	usama ibn munqidh	""	""	""	Bootstrapped from incumbent path
creator_00247	Ibn Jubayr	ibn jubayr	""	""	""	Bootstrapped from incumbent path
creator_00248	Sanai	sanai	""	""	""	Bootstrapped from incumbent path
creator_00249	Heian court tale tradition	heian court tale tradition	""	""	""	Bootstrapped from incumbent path
creator_00250	Basavanna, Akka Mahadevi, Allama Prabhu, and Virashaiva poets	basavanna akka mahadevi allama prabhu and virashaiva poets	""	""	""	Bootstrapped from incumbent path
creator_00251	Old French beast-epic tradition	old french beast epic tradition	""	""	""	Bootstrapped from incumbent path
creator_00252	Chretien de Troyes	chretien de troyes	""	""	""	Bootstrapped from incumbent path
creator_00253	East Slavic epic tradition	east slavic epic tradition	""	""	""	Bootstrapped from incumbent path
creator_00254	Tibetan oral epic tradition	tibetan oral epic tradition	""	""	""	Bootstrapped from incumbent path
creator_00255	Medieval Welsh narrative tradition	medieval welsh narrative tradition	""	""	""	Bootstrapped from incumbent path
creator_00256	Medieval Irish heroic narrative tradition	medieval irish heroic narrative tradition	""	""	""	Bootstrapped from incumbent path
creator_00257	Arabic and transregional story-cycle tradition	arabic and transregional story cycle tradition	""	""	""	Bootstrapped from incumbent path
creator_00258	Turkic oral epic tradition	turkic oral epic tradition	""	""	""	Bootstrapped from incumbent path
creator_00259	Oghuz Turkic oral and manuscript tradition	oghuz turkic oral and manuscript tradition	""	""	""	Bootstrapped from incumbent path
creator_00260	Armenian oral epic tradition	armenian oral epic tradition	""	""	""	Bootstrapped from incumbent path
creator_00261	Oirat oral epic tradition	oirat oral epic tradition	""	""	""	Bootstrapped from incumbent path
creator_00262	Buddhist narrative tradition	buddhist narrative tradition	""	""	""	Bootstrapped from incumbent path
creator_00263	Wolfram von Eschenbach	wolfram von eschenbach	""	""	""	Bootstrapped from incumbent path
creator_00264	Arabic popular epic tradition	arabic popular epic tradition	""	""	""	Bootstrapped from incumbent path
creator_00265	Arabic oral epic tradition	arabic oral epic tradition	""	""	""	Bootstrapped from incumbent path
creator_00266	Milarepa tradition	milarepa tradition	""	""	""	Bootstrapped from incumbent path
creator_00267	Sanskrit story-cycle tradition	sanskrit story cycle tradition	""	""	""	Bootstrapped from incumbent path
creator_00268	Japanese imperial anthology tradition	japanese imperial anthology tradition	""	""	""	Bootstrapped from incumbent path
creator_00269	Gottfried von Strassburg and Tristan tradition	gottfried von strassburg and tristan tradition	""	""	""	Bootstrapped from incumbent path
creator_00270	Kamo no Chomei	kamo no chomei	""	""	""	Bootstrapped from incumbent path
creator_00271	Ibn Arabi	ibn arabi	""	""	""	Bootstrapped from incumbent path
creator_00272	Snorri Sturluson	snorri sturluson	""	""	""	Bootstrapped from incumbent path
creator_00273	Medieval Latin and Goliardic lyric tradition	medieval latin and goliardic lyric tradition	""	""	""	Bootstrapped from incumbent path
creator_00274	Jalal al-Din Rumi	jalal al din rumi	""	""	""	Bootstrapped from incumbent path
creator_00275	Icelandic saga tradition	icelandic saga tradition	""	""	""	Bootstrapped from incumbent path
creator_00276	Mande oral epic tradition	mande oral epic tradition	""	""	""	Bootstrapped from incumbent path
creator_00277	Mongolian court literary tradition	mongolian court literary tradition	""	""	""	Bootstrapped from incumbent path
creator_00278	Snorri Sturluson; Old Norse historiographic tradition	snorri sturluson old norse historiographic tradition	""	""	""	Bootstrapped from incumbent path
creator_00279	Fujiwara no Teika and waka anthology tradition	fujiwara no teika and waka anthology tradition	""	""	""	Bootstrapped from incumbent path
creator_00280	Parakramabahu II attribution	parakramabahu ii attribution	""	""	""	Bootstrapped from incumbent path
creator_00281	Guillaume de Lorris and Jean de Meun	guillaume de lorris and jean de meun	""	""	""	Bootstrapped from incumbent path
creator_00282	Wang Shifu	wang shifu	""	""	""	Bootstrapped from incumbent path
creator_00283	Ibn al-Farid	ibn al farid	""	""	""	Bootstrapped from incumbent path
creator_00284	Guan Hanqing	guan hanqing	""	""	""	Bootstrapped from incumbent path
creator_00285	Ji Junxiang	ji junxiang	""	""	""	Bootstrapped from incumbent path
creator_00286	Old French Arthurian prose tradition	old french arthurian prose tradition	""	""	""	Bootstrapped from incumbent path
creator_00287	Occitan troubadour poets	occitan troubadour poets	""	""	""	Bootstrapped from incumbent path
creator_00288	Old Norse legendary saga tradition	old norse legendary saga tradition	""	""	""	Bootstrapped from incumbent path
creator_00289	Medieval Jewish mystical-literary tradition	medieval jewish mystical literary tradition	""	""	""	Bootstrapped from incumbent path
creator_00290	Saadi	saadi	""	""	""	Bootstrapped from incumbent path
creator_00291	Korean prose, myth, and legend tradition	korean prose myth and legend tradition	""	""	""	Bootstrapped from incumbent path
creator_00292	Jnaneshwar	jnaneshwar	""	""	""	Bootstrapped from incumbent path
creator_00293	Dante Alighieri	dante alighieri	""	""	""	Bootstrapped from incumbent path
