work_id	candidate_status	incumbent_path_id	incumbent_rank	canonical_title	sort_title	original_title	creator_display	date_label	sort_year	date_precision	macro_region	subregion	original_language	language_family	literary_tradition	period_bucket	form_bucket	unit_type	boundary_flags	included_as_literature	boundary_policy_id	boundary_note	selection_basis	edition_basis	completion_unit	source_status	review_status	confidence	provisional_until	notes
work_candidate_lugalbanda_mountain_cave	incumbent_current_path	candidate:lugalbanda_mountain_cave	22	Lugalbanda in the Mountain Cave	lugalbanda in mountain cave	""	Sumerian literary tradition	early 2nd millennium BCE	-1500	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	1500_1000_bce	taxonomy_pending	epic_tale	""	""	""	""	""	""	Read the story, tale, story collection, or documented assigned selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=sumerian_literature; current group=literature
work_candidate_me_lit_curse_agade	incumbent_current_path	candidate:me_lit_curse_agade	23	The Curse of Agade	curse of agade	""	Sumerian literary tradition	early 2nd millennium BCE	-1500	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	1500_1000_bce	taxonomy_pending	mythic_historical_poem	""	""	""	""	""	""	Read the poem, poetry collection, or assigned poetic selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=sumerian_literature; current group=literature
work_candidate_descent_of_inanna	incumbent_current_path	candidate:descent_of_inanna	24	The Descent of Inanna	descent of inanna	""	Sumerian scribal tradition	c. 2nd millennium BCE	-1500	approximate_year	taxonomy_pending	""	""	""	taxonomy_pending	1500_1000_bce	taxonomy_pending	mythic_poem	""	""	""	""	""	""	Read the poem, poetry collection, or assigned poetic selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=mesopotamian_mythology; current group=mythology_folklore_oral_traditions
work_candidate_me_lit_sheep_grain	incumbent_current_path	candidate:me_lit_sheep_grain	25	Debate Between Sheep and Grain	debate between sheep and grain	""	Sumerian disputation tradition	early 2nd millennium BCE	-1500	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	1500_1000_bce	taxonomy_pending	debate_poem	""	""	""	""	""	""	Read the poem, poetry collection, or assigned poetic selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=sumerian_literature; current group=literature
work_candidate_egyptian_book_of_the_dead	incumbent_current_path	candidate:egyptian_book_of_the_dead	26	Egyptian Book of the Dead	egyptian book of dead	""	Ancient Egyptian funerary and scribal tradition	New Kingdom Egypt and later	-1300	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	1500_1000_bce	taxonomy_pending	funerary_text_corpus	""	""	""	""	""	""	Read the complete literary work or a documented assigned selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=ancient_egyptian_religion; current group=religion_scripture_theology
work_candidate_scale4_lit_baal_cycle	incumbent_current_path	candidate:scale4_lit_baal_cycle	27	Baal Cycle	baal cycle	""	Ugaritic literary tradition	c. 14th-13th century BCE	-1250	century	taxonomy_pending	""	""	""	taxonomy_pending	1500_1000_bce	taxonomy_pending	mythic_cycle	""	""	""	""	""	""	Read the complete literary work or a documented assigned selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=ugaritic_literature; current group=literature
work_candidate_me_lit_kirta	incumbent_current_path	candidate:me_lit_kirta	28	Kirta Epic	kirta epic	""	Ugaritic literary tradition	c. 14th-13th century BCE	-1250	century	taxonomy_pending	""	""	""	taxonomy_pending	1500_1000_bce	taxonomy_pending	epic_poem	""	""	""	""	""	""	Read the poem, poetry collection, or assigned poetic selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=ugaritic_literature; current group=literature
work_candidate_aqhat_epic	incumbent_current_path	candidate:aqhat_epic	29	The Epic of Aqhat	epic of aqhat	""	Ugaritic literary tradition	c. 14th-13th century BCE	-1250	century	taxonomy_pending	""	""	""	taxonomy_pending	1500_1000_bce	taxonomy_pending	epic_fragment	""	""	""	""	""	""	Read the epic, saga, myth cycle, or assigned oral-literary selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=ugaritic_literature; current group=literature
work_candidate_scale4_lit_amenemope	incumbent_current_path	candidate:scale4_lit_amenemope	30	Instruction of Amenemope	instruction of amenemope	""	Ancient Egyptian wisdom tradition	late New Kingdom	-1100	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	1500_1000_bce	taxonomy_pending	wisdom_text	""	""	""	""	""	""	Read the complete literary work or a documented assigned selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=ancient_egyptian_literature; current group=literature
work_candidate_scale4_lit_wenamun	incumbent_current_path	candidate:scale4_lit_wenamun	31	The Report of Wenamun	report of wenamun	""	Ancient Egyptian literary tradition	c. 11th century BCE	-1050	century	taxonomy_pending	""	""	""	taxonomy_pending	1500_1000_bce	taxonomy_pending	travel_tale	""	""	""	""	""	""	Read the story, tale, story collection, or documented assigned selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=ancient_egyptian_literature; current group=literature
work_candidate_avesta	incumbent_current_path	candidate:avesta	32	Avesta	avesta	""	Zoroastrian priestly and liturgical tradition	ancient Iranian; transmitted in later manuscripts	-1000	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	1000_500_bce	taxonomy_pending	scripture_collection	""	""	""	""	""	""	Read the scripture, sutra, gospel, hadith, or assigned sacred-literary selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=zoroastrian_texts; current group=religion_scripture_theology
work_candidate_gathas_zarathustra	incumbent_current_path	candidate:gathas_zarathustra	33	Gathas	gathas	""	Zarathustra; Zoroastrian liturgical tradition	ancient Iranian	-1000	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	1000_500_bce	taxonomy_pending	liturgical_hymn_cycle	""	""	""	""	""	""	Read the poem, poetry collection, or assigned poetic selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=zoroastrian_texts; current group=religion_scripture_theology
work_canon_upanishads	incumbent_current_path	canon:upanishads	34	Upanishads	upanishads	""	Vedic and early Hindu philosophical traditions	c. 800-300 BCE	-800	range	taxonomy_pending	""	""	""	taxonomy_pending	1000_500_bce	taxonomy_pending	corpus	""	""	""	""	""	""	Read the complete literary work or a documented assigned selection.	accepted	accepted_with_caveat	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=sanskrit; current group=religion
work_canon_iliad	incumbent_current_path	canon:iliad	35	Iliad	iliad	""	Homeric epic tradition	c. 8th century BCE	-750	century	taxonomy_pending	""	""	""	taxonomy_pending	1000_500_bce	taxonomy_pending	poem	""	""	""	""	""	""	Read the poem, poetry collection, or assigned poetic selection.	accepted	accepted_with_caveat	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=ancient-greek; current group=literature
work_canon_odyssey	incumbent_current_path	canon:odyssey	36	Odyssey	odyssey	""	Homeric epic tradition	c. 8th century BCE	-725	century	taxonomy_pending	""	""	""	taxonomy_pending	1000_500_bce	taxonomy_pending	poem	""	""	""	""	""	""	Read the poem, poetry collection, or assigned poetic selection.	accepted	accepted_with_caveat	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=ancient-greek; current group=literature
work_candidate_book_of_isaiah	incumbent_current_path	candidate:book_of_isaiah	37	Book of Isaiah	book of isaiah	""	Hebrew Bible / Tanakh prophetic tradition	ancient Israelite; composite text	-700	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	1000_500_bce	taxonomy_pending	prophetic_book	""	""	""	""	""	""	Read the complete literary work or a documented assigned selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=hebrew_bible_and_tanakh; current group=religion_scripture_theology
work_candidate_me_lit_book_job	incumbent_current_path	candidate:me_lit_book_job	38	Book of Job	book of job	""	Hebrew Bible / Tanakh wisdom-poetic tradition	ancient Israelite; final form debated	-700	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	1000_500_bce	taxonomy_pending	wisdom_poetry	""	""	""	""	""	""	Read the poem, poetry collection, or assigned poetic selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=hebrew_bible_and_tanakh; current group=literature
work_candidate_book_of_ruth	incumbent_current_path	candidate:book_of_ruth	39	Book of Ruth	book of ruth	""	Hebrew Bible / Tanakh narrative tradition	ancient Israelite; final form debated	-700	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	1000_500_bce	taxonomy_pending	narrative_scripture	""	""	""	""	""	""	Read the scripture, sutra, gospel, hadith, or assigned sacred-literary selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=hebrew_bible_and_tanakh; current group=religion_scripture_theology
work_candidate_me_lit_ecclesiastes	incumbent_current_path	candidate:me_lit_ecclesiastes	40	Ecclesiastes	ecclesiastes	""	Hebrew Bible / Tanakh wisdom tradition	ancient Israelite; final form debated	-700	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	1000_500_bce	taxonomy_pending	wisdom_text	""	""	""	""	""	""	Read the complete literary work or a documented assigned selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=hebrew_bible_and_tanakh; current group=literature
work_candidate_me_lit_exodus	incumbent_current_path	candidate:me_lit_exodus	41	Exodus	exodus	""	Hebrew Bible / Tanakh narrative tradition	ancient Israelite; composite text	-700	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	1000_500_bce	taxonomy_pending	sacred_narrative	""	""	""	""	""	""	Read the complete literary work or a documented assigned selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=hebrew_bible_and_tanakh; current group=literature
work_candidate_me_lit_genesis	incumbent_current_path	candidate:me_lit_genesis	42	Genesis	genesis	""	Hebrew Bible / Tanakh narrative tradition	ancient Israelite; composite text	-700	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	1000_500_bce	taxonomy_pending	sacred_narrative	""	""	""	""	""	""	Read the complete literary work or a documented assigned selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=hebrew_bible_and_tanakh; current group=literature
work_candidate_me_lit_psalms	incumbent_current_path	candidate:me_lit_psalms	43	Psalms	psalms	""	Hebrew Bible / Tanakh poetic tradition	ancient Israelite; anthology formation	-700	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	1000_500_bce	taxonomy_pending	poetry_anthology	""	""	""	""	""	""	Read the poem, poetry collection, or assigned poetic selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=hebrew_bible_and_tanakh; current group=literature
work_candidate_me_lit_song_songs	incumbent_current_path	candidate:me_lit_song_songs	44	Song of Songs	song of songs	""	Hebrew Bible / Tanakh poetic tradition	ancient Israelite; final form debated	-700	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	1000_500_bce	taxonomy_pending	biblical_poetry	""	""	""	""	""	""	Read the poem, poetry collection, or assigned poetic selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=hebrew_bible_and_tanakh; current group=literature
work_canon_theogony	incumbent_current_path	canon:theogony	45	Theogony	theogony	""	Hesiod	c. 700 BCE	-700	approximate_year	taxonomy_pending	""	""	""	taxonomy_pending	1000_500_bce	taxonomy_pending	poem	""	""	""	""	""	""	Read the poem, poetry collection, or assigned poetic selection.	accepted	accepted_with_caveat	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=ancient-greek; current group=literature
work_candidate_bloom_works_and_days	incumbent_current_path	candidate:bloom_works_and_days	46	Works and Days	works and days	""	Hesiod	c. 700 BCE	-700	approximate_year	taxonomy_pending	""	""	""	taxonomy_pending	1000_500_bce	taxonomy_pending	didactic_poem	""	""	""	""	""	""	Read the poem, poetry collection, or assigned poetic selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=greek_literature; current group=literature
work_candidate_book_of_songs	incumbent_current_path	candidate:book_of_songs	47	Book of Songs / Shijing	book of songs shijing	""	Classical Chinese poetic tradition	c. 11th-7th century BCE	-650	century	taxonomy_pending	""	""	""	taxonomy_pending	1000_500_bce	taxonomy_pending	poetry_collection	""	""	""	""	""	""	Read the poem, poetry collection, or assigned poetic selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=classical_chinese_literature; current group=literature
work_candidate_scale_lit_archilochus_poems	incumbent_current_path	candidate:scale_lit_archilochus_poems	48	Selected Poems	selected poems	""	Archilochus	7th century BCE	-650	century	taxonomy_pending	""	""	""	taxonomy_pending	1000_500_bce	taxonomy_pending	lyric_poetry_selection	""	""	""	""	""	""	Read the poem, poetry collection, or assigned poetic selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=greek_literature; current group=literature
work_candidate_mandatory_homeric_hymns	incumbent_current_path	candidate:mandatory_homeric_hymns	49	Homeric Hymns	homeric hymns	""	Archaic Greek hymn tradition	7th-6th century BCE	-650	century	taxonomy_pending	""	""	""	taxonomy_pending	1000_500_bce	taxonomy_pending	poetry_collection	""	""	""	""	""	""	Read the complete literary work or a documented assigned selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=ancient_greek_literature; current group=literature
work_canon_aesop_fables_selected	incumbent_current_path	canon:aesop-fables-selected	50	Aesop's Fables: Selected Fables	aesops fables selected fables	""	Aesopic beast-fable tradition	ancient Greek and later transmission	-600	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	1000_500_bce	taxonomy_pending	corpus	""	""	""	""	""	""	Read the complete literary work or a documented assigned selection.	accepted	accepted_with_caveat	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=ancient-greek; current group=literature
work_candidate_scale_lit_sappho_poems	incumbent_current_path	candidate:scale_lit_sappho_poems	51	Selected Poems	selected poems	""	Sappho	late 7th-early 6th century BCE	-550	century	taxonomy_pending	""	""	""	taxonomy_pending	1000_500_bce	taxonomy_pending	lyric_poetry_selection	""	""	""	""	""	""	Read the poem, poetry collection, or assigned poetic selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=greek_literature; current group=literature
work_candidate_sappho_fragments	incumbent_current_path	candidate:sappho_fragments	52	Sappho: Fragments	sappho fragments	""	Sappho	c. 7th-6th century BCE	-550	century	taxonomy_pending	""	""	""	taxonomy_pending	1000_500_bce	taxonomy_pending	fragmentary_poetry	""	""	""	""	""	""	Read the poem, poetry collection, or assigned poetic selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=greek_literature; current group=literature
work_candidate_bloom_gap_031_0015_poems	incumbent_current_path	candidate:bloom_gap_031_0015_poems	53	Poems	poems	""	Alcman	6th-5th century BCE	-525	century	taxonomy_pending	""	""	""	taxonomy_pending	1000_500_bce	taxonomy_pending	poetry_selection	""	""	""	""	""	""	Read the poem, poetry collection, or assigned poetic selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=greek_literature; current group=literature
work_canon_ramayana	incumbent_current_path	canon:ramayana	54	Ramayana	ramayana	""	Sanskrit epic tradition	c. 500 BCE-100 BCE, with later recensions	-500	approximate_year	taxonomy_pending	""	""	""	taxonomy_pending	500_300_bce	taxonomy_pending	corpus	""	""	""	""	""	""	Read the complete literary work or a documented assigned selection.	accepted	accepted_with_caveat	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=sanskrit; current group=literature
work_candidate_me_lit_babylonian_theodicy	incumbent_current_path	candidate:me_lit_babylonian_theodicy	55	Babylonian Theodicy	babylonian theodicy	""	Akkadian wisdom-dialogue tradition	first millennium BCE	-500	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	500_300_bce	taxonomy_pending	dialogue_poem	""	""	""	""	""	""	Read the poem, poetry collection, or assigned poetic selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=akkadian_literature; current group=literature
work_candidate_me_lit_dialogue_pessimism	incumbent_current_path	candidate:me_lit_dialogue_pessimism	56	Dialogue of Pessimism	dialogue of pessimism	""	Akkadian wisdom-literary tradition	first millennium BCE	-500	exact_year	taxonomy_pending	""	""	""	taxonomy_pending	500_300_bce	taxonomy_pending	dialogue_text	""	""	""	""	""	""	Read the complete literary work or a documented assigned selection.	manual_only	needs_sources	incumbent_unscored	source_crosswalk_review	Bootstrapped from incumbent path; current topic=akkadian_literature; current group=literature
