axis	cell_key	selected_count	candidate_count	source_item_unmatched_count	evidence_count	no_evidence_selected_count	provisional_external_selected_count	risk_level	diagnostic_reason	next_action
form_bucket	graphic_visual_narrative	17	17	21	0	17	0	ok	selected=17; unmatched_source_pressure=21; no_evidence_selected=17	no_manual_audit_unless_sentinel_fails
period	1000_500_bce	22	22	0	24	11	4	ok	selected=22; unmatched_source_pressure=0; no_evidence_selected=11	no_manual_audit_unless_sentinel_fails
period	1500_1000_bce	19	19	0	2	17	1	ok	selected=19; unmatched_source_pressure=0; no_evidence_selected=17	no_manual_audit_unless_sentinel_fails
period	2020_present	20	20	0	1	19	1	ok	selected=20; unmatched_source_pressure=0; no_evidence_selected=19	no_manual_audit_unless_sentinel_fails
period	2500_1500_bce	12	12	0	4	10	2	ok	selected=12; unmatched_source_pressure=0; no_evidence_selected=10	no_manual_audit_unless_sentinel_fails
region_form	africa|drama_performance	17	17	1	0	17	0	ok	selected=17; unmatched_source_pressure=1; no_evidence_selected=17	no_manual_audit_unless_sentinel_fails
region_form	africa|epic_oral_folk	16	16	3	1	15	1	ok	selected=16; unmatched_source_pressure=3; no_evidence_selected=15	no_manual_audit_unless_sentinel_fails
region_form	africa|essays_memoir_testimony	8	8	2	0	8	0	ok	selected=8; unmatched_source_pressure=2; no_evidence_selected=8	no_manual_audit_unless_sentinel_fails
region_form	africa|poetry	16	16	234	0	16	0	ok	selected=16; unmatched_source_pressure=234; no_evidence_selected=16	no_manual_audit_unless_sentinel_fails
region_form	africa|sacred_myth_ritual	3	3	1	1	2	1	ok	selected=3; unmatched_source_pressure=1; no_evidence_selected=2	no_manual_audit_unless_sentinel_fails
region_form	africa|speculative_genre	1	1	1	0	1	0	ok	selected=1; unmatched_source_pressure=1; no_evidence_selected=1	no_manual_audit_unless_sentinel_fails
region_form	americas|children_young_adult	1	1	0	0	1	0	ok	selected=1; unmatched_source_pressure=0; no_evidence_selected=1	no_manual_audit_unless_sentinel_fails
region_form	americas|epic_oral_folk	7	7	1	4	4	1	ok	selected=7; unmatched_source_pressure=1; no_evidence_selected=4	no_manual_audit_unless_sentinel_fails
region_form	americas|graphic_visual_narrative	1	1	0	0	1	0	ok	selected=1; unmatched_source_pressure=0; no_evidence_selected=1	no_manual_audit_unless_sentinel_fails
region_form	americas|sacred_myth_ritual	2	2	1	1	1	0	ok	selected=2; unmatched_source_pressure=1; no_evidence_selected=1	no_manual_audit_unless_sentinel_fails
region_form	east_asia|drama_performance	19	19	41	18	7	0	ok	selected=19; unmatched_source_pressure=41; no_evidence_selected=7	no_manual_audit_unless_sentinel_fails
region_form	east_asia|epic_oral_folk	2	2	9	0	2	0	ok	selected=2; unmatched_source_pressure=9; no_evidence_selected=2	no_manual_audit_unless_sentinel_fails
region_form	east_asia|essays_memoir_testimony	23	23	113	17	10	0	ok	selected=23; unmatched_source_pressure=113; no_evidence_selected=10	no_manual_audit_unless_sentinel_fails
region_form	east_asia|sacred_myth_ritual	9	9	14	14	5	0	ok	selected=9; unmatched_source_pressure=14; no_evidence_selected=5	no_manual_audit_unless_sentinel_fails
region_form	europe|children_young_adult	2	2	0	1	1	1	ok	selected=2; unmatched_source_pressure=0; no_evidence_selected=1	no_manual_audit_unless_sentinel_fails
region_form	europe|sacred_myth_ritual	5	5	0	1	4	0	ok	selected=5; unmatched_source_pressure=0; no_evidence_selected=4	no_manual_audit_unless_sentinel_fails
region_form	europe|speculative_genre	8	8	0	0	8	0	ok	selected=8; unmatched_source_pressure=0; no_evidence_selected=8	no_manual_audit_unless_sentinel_fails
region_form	middle_east_central_asia|children_young_adult	1	1	0	0	1	0	ok	selected=1; unmatched_source_pressure=0; no_evidence_selected=1	no_manual_audit_unless_sentinel_fails
region_form	middle_east_central_asia|drama_performance	2	2	0	0	2	0	ok	selected=2; unmatched_source_pressure=0; no_evidence_selected=2	no_manual_audit_unless_sentinel_fails
region_form	middle_east_central_asia|epic_oral_folk	20	20	0	5	17	2	ok	selected=20; unmatched_source_pressure=0; no_evidence_selected=17	no_manual_audit_unless_sentinel_fails
region_form	oceania_arctic|drama_performance	5	5	0	0	5	0	ok	selected=5; unmatched_source_pressure=0; no_evidence_selected=5	no_manual_audit_unless_sentinel_fails
region_form	oceania_arctic|epic_oral_folk	2	2	0	0	2	0	ok	selected=2; unmatched_source_pressure=0; no_evidence_selected=2	no_manual_audit_unless_sentinel_fails
region_form	oceania_arctic|essays_memoir_testimony	4	4	0	0	4	0	ok	selected=4; unmatched_source_pressure=0; no_evidence_selected=4	no_manual_audit_unless_sentinel_fails
region_form	oceania_arctic|poetry	17	17	1	1	16	1	ok	selected=17; unmatched_source_pressure=1; no_evidence_selected=16	no_manual_audit_unless_sentinel_fails
region_form	oceania_arctic|sacred_myth_ritual	2	2	0	0	2	0	ok	selected=2; unmatched_source_pressure=0; no_evidence_selected=2	no_manual_audit_unless_sentinel_fails
region_form	oceania_arctic|speculative_genre	1	1	0	0	1	0	ok	selected=1; unmatched_source_pressure=0; no_evidence_selected=1	no_manual_audit_unless_sentinel_fails
region_form	south_asia|children_young_adult	1	1	0	0	1	0	ok	selected=1; unmatched_source_pressure=0; no_evidence_selected=1	no_manual_audit_unless_sentinel_fails
region_form	south_asia|drama_performance	12	12	0	1	11	0	ok	selected=12; unmatched_source_pressure=0; no_evidence_selected=11	no_manual_audit_unless_sentinel_fails
region_form	south_asia|epic_oral_folk	18	18	0	2	16	0	ok	selected=18; unmatched_source_pressure=0; no_evidence_selected=16	no_manual_audit_unless_sentinel_fails
region_form	south_asia|essays_memoir_testimony	11	11	0	0	11	0	ok	selected=11; unmatched_source_pressure=0; no_evidence_selected=11	no_manual_audit_unless_sentinel_fails
region_form	south_asia|speculative_genre	1	1	0	0	1	0	ok	selected=1; unmatched_source_pressure=0; no_evidence_selected=1	no_manual_audit_unless_sentinel_fails
region_form	southeast_asia|drama_performance	1	1	0	0	1	0	ok	selected=1; unmatched_source_pressure=0; no_evidence_selected=1	no_manual_audit_unless_sentinel_fails
region_form	southeast_asia|epic_oral_folk	4	4	0	0	4	0	ok	selected=4; unmatched_source_pressure=0; no_evidence_selected=4	no_manual_audit_unless_sentinel_fails
region_form	southeast_asia|essays_memoir_testimony	5	5	0	0	5	0	ok	selected=5; unmatched_source_pressure=0; no_evidence_selected=5	no_manual_audit_unless_sentinel_fails
region_form	southeast_asia|poetry	7	7	0	2	6	0	ok	selected=7; unmatched_source_pressure=0; no_evidence_selected=6	no_manual_audit_unless_sentinel_fails
region_form	southeast_asia|sacred_myth_ritual	1	1	0	0	1	0	ok	selected=1; unmatched_source_pressure=0; no_evidence_selected=1	no_manual_audit_unless_sentinel_fails
region_form	southeast_asia|speculative_genre	1	1	0	0	1	0	ok	selected=1; unmatched_source_pressure=0; no_evidence_selected=1	no_manual_audit_unless_sentinel_fails
region_form	unknown|drama_performance	22	23	11	9	17	4	ok	selected=22; unmatched_source_pressure=11; no_evidence_selected=17	no_manual_audit_unless_sentinel_fails
region_form	unknown|epic_oral_folk	5	5	5	0	5	0	ok	selected=5; unmatched_source_pressure=5; no_evidence_selected=5	no_manual_audit_unless_sentinel_fails
region_form	unknown|essays_memoir_testimony	22	23	67	11	18	4	ok	selected=22; unmatched_source_pressure=67; no_evidence_selected=18	no_manual_audit_unless_sentinel_fails
region_form	unknown|graphic_visual_narrative	16	16	1	0	16	0	ok	selected=16; unmatched_source_pressure=1; no_evidence_selected=16	no_manual_audit_unless_sentinel_fails
region_form	unknown|sacred_myth_ritual	17	17	6	4	13	0	ok	selected=17; unmatched_source_pressure=6; no_evidence_selected=13	no_manual_audit_unless_sentinel_fails
