sentinel_id	title	creator_hint	category	severity	present_in_current_path	present_as_candidate	matched_work_ids	source_item_count	evidence_count	source_ids	risk_level	diagnosis	next_action
sent_british_spenser_faerie	The Faerie Queene	Edmund Spenser	renaissance_british_epic	high	true	true	work_candidate_bloom_faerie_queene	0	0	""	ok	sentinel_present_in_current_path	no_action
sent_french_montaigne_essays	Essays	Michel de Montaigne	renaissance_essay	critical	true	true	work_candidate_essays_montaigne	2	3	longman_world_lit_2e_2009	ok	sentinel_present_in_current_path	no_action
sent_classical_virgil_aeneid	Aeneid	Virgil	roman_epic	critical	true	true	work_canon_aeneid	1	4	e001_local_accepted_canon_records	ok	sentinel_present_in_current_path	no_action
sent_classical_ovid_metamorphoses	Metamorphoses	Ovid	roman_poetry	critical	true	true	work_candidate_metamorphoses_ovid	1	1	e008_phi_classical_latin_texts	ok	sentinel_present_in_current_path	no_action
sent_russian_gogol_dead_souls	Dead Souls	Nikolai Gogol	russian_novel	high	true	true	work_canon_dead_souls	1	1	e001_local_accepted_canon_records	ok	sentinel_present_in_current_path	no_action
sent_russian_dostoevsky_brothers	The Brothers Karamazov	Fyodor Dostoevsky	russian_novel	critical	true	true	work_canon_brothers_karamazov	1	1	e001_local_accepted_canon_records	ok	sentinel_present_in_current_path	no_action
sent_russian_tolstoy_war_peace	War and Peace	Leo Tolstoy	russian_novel	critical	true	true	work_canon_war_and_peace	1	1	e001_local_accepted_canon_records	ok	sentinel_present_in_current_path	no_action
sent_russian_pushkin_onegin	Eugene Onegin	Alexander Pushkin	russian_poetry_novel	critical	true	true	work_canon_eugene_onegin	1	2	e001_local_accepted_canon_records	ok	sentinel_present_in_current_path	no_action
sent_india_shakuntala	Kalidasa: The Recognition of Shakuntala	Kalidasa	sanskrit_drama	critical	true	true	work_canon_recognition_of_shakuntala	2	1	clay_sanskrit_library_56vol;e001_local_accepted_canon_records	ok	sentinel_present_in_current_path	no_action
sent_india_mahabharata	Mahabharata	Sanskrit epic tradition	sanskrit_epic	critical	true	true	work_canon_mahabharata	1	1	e001_local_accepted_canon_records	ok	sentinel_present_in_current_path	no_action
sent_india_ramayana	Ramayana	Sanskrit epic tradition	sanskrit_epic	critical	true	true	work_canon_ramayana	1	1	e001_local_accepted_canon_records	ok	sentinel_present_in_current_path	no_action
sent_india_bhagavad_gita	Bhagavad Gita	Mahabharata and Hindu philosophical tradition	sanskrit_scripture_literature	critical	true	true	work_canon_bhagavad_gita	1	2	e001_local_accepted_canon_records	ok	sentinel_present_in_current_path	no_action
sent_spanish_cervantes_don_quixote	Don Quixote	Miguel de Cervantes	spanish_novel	critical	true	true	work_canon_don_quixote	2	3	e001_local_accepted_canon_records;longman_world_lit_2e_2009	ok	sentinel_present_in_current_path	no_action
sent_british_dickens_bleak_house	Bleak House	Charles Dickens	victorian_novel	high	true	true	work_candidate_bloom_dickens_bleak_house	0	0	""	ok	sentinel_present_in_current_path	no_action
sent_british_eliot_middlemarch	Middlemarch	George Eliot	victorian_novel	critical	true	true	work_canon_middlemarch	1	1	e001_local_accepted_canon_records	ok	sentinel_present_in_current_path	no_action
sent_africa_sunjata	Sunjata Epic	Mande oral epic tradition	west_african_oral_epic	critical	true	true	work_candidate_sunjata_epic	1	1	e014_rienner_anthology_african_lit_2007	ok	sentinel_present_in_current_path	no_action
