write_plan_id	item_decision_id	target_action	proposed_evidence_id	existing_evidence_id	work_id	source_id	source_item_id	evidence_type	evidence_strength	reviewer_status	page_or_section	packet_id	write_gate	write_rationale	next_action
x057_cut_evidence_write_0011	x056_cut_item_decision_0024	create_new_evidence_after_review	x057_ev_longman2e_vole_031_giacomo_leopardi_the_infinite	""	work_candidate_bloom_leopardi_poems	longman_world_lit_2e_2009	longman2e_vole_031_giacomo_leopardi_the_infinite	representative_selection	moderate	needs_manual_acceptance	source item: The Infinite	X057	review_required_before_evidence_table_update	X056 item decision marked source item ready for representative-selection evidence review.	accept_or_reject_write_plan_row_before_evidence_ledger_update
x057_cut_evidence_write_0012	x056_cut_item_decision_0026	create_new_evidence_after_review	x057_ev_longman2e_vola_244_horace_from_odes_1_24_why_should_our_grief_for_a_man_so_loved	""	work_candidate_bloom_horace_odes	longman_world_lit_2e_2009	longman2e_vola_244_horace_from_odes_1_24_why_should_our_grief_for_a_man_so_loved	representative_selection	moderate	needs_manual_acceptance	source item: from Odes: 1.24: Why should our grief for a man so loved	X057	review_required_before_evidence_table_update	X056 item decision marked source item ready for representative-selection evidence review.	accept_or_reject_write_plan_row_before_evidence_ledger_update
x057_cut_evidence_write_0013	x056_cut_item_decision_0029	create_new_evidence_after_review	x057_ev_longman2e_vola_277_horace_ode_1_25_the_young_bloods_are_not_so_eager_now	""	work_candidate_bloom_horace_odes	longman_world_lit_2e_2009	longman2e_vola_277_horace_ode_1_25_the_young_bloods_are_not_so_eager_now	representative_selection	moderate	needs_manual_acceptance	"source item: Ode 1.25 ""The young bloods are not so eager now"""	X057	review_required_before_evidence_table_update	X056 item decision marked source item ready for representative-selection evidence review.	accept_or_reject_write_plan_row_before_evidence_ledger_update
x057_cut_evidence_write_0014	x056_cut_item_decision_0030	create_new_evidence_after_review	x057_ev_longman2e_vola_278_horace_ode_1_9_soracte_standing_white_and_deep	""	work_candidate_bloom_horace_odes	longman_world_lit_2e_2009	longman2e_vola_278_horace_ode_1_9_soracte_standing_white_and_deep	representative_selection	moderate	needs_manual_acceptance	"source item: Ode 1.9 ""Soracte standing white and deep"""	X057	review_required_before_evidence_table_update	X056 item decision marked source item ready for representative-selection evidence review.	accept_or_reject_write_plan_row_before_evidence_ledger_update
x057_cut_evidence_write_0015	x056_cut_item_decision_0031	create_new_evidence_after_review	x057_ev_longman2e_vola_279_horace_ode_2_13_not_only_did_he_plant_you_on_an_unholy_day	""	work_candidate_bloom_horace_odes	longman_world_lit_2e_2009	longman2e_vola_279_horace_ode_2_13_not_only_did_he_plant_you_on_an_unholy_day	representative_selection	moderate	needs_manual_acceptance	"source item: Ode 2.13 ""Not only did he plant you on an unholy day"""	X057	review_required_before_evidence_table_update	X056 item decision marked source item ready for representative-selection evidence review.	accept_or_reject_write_plan_row_before_evidence_ledger_update
x057_cut_evidence_write_0016	x056_cut_item_decision_0032	create_new_evidence_after_review	x057_ev_longman2e_vola_280_horace_ode_2_14_ah_how_quickly_postumus_postumus	""	work_candidate_bloom_horace_odes	longman_world_lit_2e_2009	longman2e_vola_280_horace_ode_2_14_ah_how_quickly_postumus_postumus	representative_selection	moderate	needs_manual_acceptance	"source item: Ode 2.14 ""Ah how quickly, Postumus, Postumus"""	X057	review_required_before_evidence_table_update	X056 item decision marked source item ready for representative-selection evidence review.	accept_or_reject_write_plan_row_before_evidence_ledger_update
x057_cut_evidence_write_0017	x056_cut_item_decision_0033	create_new_evidence_after_review	x057_ev_nawol5e_vola_139_horace_two_odes	""	work_candidate_bloom_horace_odes	norton_world_lit_5e_full_pre1650	nawol5e_vola_139_horace_two_odes	representative_selection	moderate	needs_manual_acceptance	source item: TWO ODES	X057	review_required_before_evidence_table_update	X056 item decision marked source item ready for representative-selection evidence review.	accept_or_reject_write_plan_row_before_evidence_ledger_update
x057_cut_evidence_write_0018	x056_cut_item_decision_0043	create_new_evidence_after_review	x057_ev_longman2e_volf_261_mahmoud_darwish_a_poem_which_is_not_green_from_my_country	""	work_candidate_bloom_darwish_selected_poems	longman_world_lit_2e_2009	longman2e_volf_261_mahmoud_darwish_a_poem_which_is_not_green_from_my_country	representative_selection	moderate	needs_manual_acceptance	source item: A Poem Which Is Not Green, from My Country	X057	review_required_before_evidence_table_update	X056 item decision marked source item ready for representative-selection evidence review.	accept_or_reject_write_plan_row_before_evidence_ledger_update
x057_cut_evidence_write_0019	x056_cut_item_decision_0044	create_new_evidence_after_review	x057_ev_longman2e_volf_262_mahmoud_darwish_diary_of_a_palestinian_wound	""	work_candidate_bloom_darwish_selected_poems	longman_world_lit_2e_2009	longman2e_volf_262_mahmoud_darwish_diary_of_a_palestinian_wound	representative_selection	moderate	needs_manual_acceptance	source item: Diary of a Palestinian Wound	X057	review_required_before_evidence_table_update	X056 item decision marked source item ready for representative-selection evidence review.	accept_or_reject_write_plan_row_before_evidence_ledger_update
x057_cut_evidence_write_0020	x056_cut_item_decision_0046	create_new_evidence_after_review	x057_ev_longman2e_volf_081_osip_mandelstam_to_a_a_a_akhmatova	""	work_candidate_bloom_mandelstam_poems	longman_world_lit_2e_2009	longman2e_volf_081_osip_mandelstam_to_a_a_a_akhmatova	representative_selection	moderate	needs_manual_acceptance	source item: To A.A.A. (Akhmatova)	X057	review_required_before_evidence_table_update	X056 item decision marked source item ready for representative-selection evidence review.	accept_or_reject_write_plan_row_before_evidence_ledger_update
x057_cut_evidence_write_0021	x056_cut_item_decision_0047	create_new_evidence_after_review	x057_ev_longman2e_volf_137_paul_celan_death_fugue	""	work_candidate_bloom_celan_poems	longman_world_lit_2e_2009	longman2e_volf_137_paul_celan_death_fugue	representative_selection	moderate	needs_manual_acceptance	source item: Death Fugue	X057	review_required_before_evidence_table_update	X056 item decision marked source item ready for representative-selection evidence review.	accept_or_reject_write_plan_row_before_evidence_ledger_update
