resolution_id	review_id	work_order_id	cut_work_id	cut_title	cut_creator	cut_rank	selection_basis_status	rescue_candidate_count	rescue_source_ids	rescue_source_item_ids	rescue_match_rules	resolution_lane	lane_priority	recommended_action	external_search_query	next_action
x053_cut_resolution_0011	x051_selection_basis_0025	x050_cut_review_0025	work_candidate_wave002_dunbar_lyrics_lowly_life	Lyrics of Lowly Life	Paul Laurence Dunbar	892	generic_title_source_items_need_evidence_review	1	e012_loa_african_american_poetry_2020	e012_aap_dunbar_we_wear_mask	source_item_already_linked_to_cut	existing_source_item_rescue_review	100.911	review_rescue_source_items_for_match_scope_and_cut_side_evidence	""	process_rescue_rows_before_external_search
x053_cut_resolution_0012	x051_selection_basis_0035	x050_cut_review_0035	work_candidate_bloom_late_033_literature_bloom_chaotic_age_reviewed_0835_collected_poems	Collected Poems	Primo Levi	1185	generic_title_unresolved_no_source_support	1	longman_world_lit_2e_2009	longman2e_volf_135_primo_levi_the_two_flags	creator_exact_unmatched_source_item	existing_source_item_rescue_review	100.882	review_rescue_source_items_for_match_scope_and_cut_side_evidence	""	process_rescue_rows_before_external_search
x053_cut_resolution_0013	x051_selection_basis_0024	x050_cut_review_0024	work_candidate_bloom_mandelstam_poems	Poems	Osip Mandelstam	1732	generic_title_unresolved_no_source_support	1	longman_world_lit_2e_2009	longman2e_volf_081_osip_mandelstam_to_a_a_a_akhmatova	creator_exact_unmatched_source_item	existing_source_item_rescue_review	100.827	review_rescue_source_items_for_match_scope_and_cut_side_evidence	""	process_rescue_rows_before_external_search
x053_cut_resolution_0014	x051_selection_basis_0038	x050_cut_review_0038	work_candidate_bloom_celan_poems	Poems	Paul Celan	1733	generic_title_unresolved_no_source_support	1	longman_world_lit_2e_2009	longman2e_volf_137_paul_celan_death_fugue	creator_exact_unmatched_source_item	existing_source_item_rescue_review	100.827	review_rescue_source_items_for_match_scope_and_cut_side_evidence	""	process_rescue_rows_before_external_search
x053_cut_resolution_0015	x051_selection_basis_0012	x050_cut_review_0012	work_candidate_bloom_reviewed_hughes_poems	The Weary Blues and Selected Poems	Langston Hughes	1745	generic_title_source_items_need_evidence_review	1	e012_loa_african_american_poetry_2020	e012_aap_hughes_negro_speaks_rivers	source_item_already_linked_to_cut	existing_source_item_rescue_review	100.826	review_rescue_source_items_for_match_scope_and_cut_side_evidence	""	process_rescue_rows_before_external_search
x053_cut_resolution_0016	x051_selection_basis_0004	x050_cut_review_0004	work_candidate_global_lit_nazim_hikmet_poems	Selected Poems	Nazim Hikmet	1766	generic_title_unresolved_no_source_support	1	longman_world_lit_2e_2009	longman2e_volf_113_nazim_hikmet_regarding_art	creator_exact_unmatched_source_item	existing_source_item_rescue_review	100.823	review_rescue_source_items_for_match_scope_and_cut_side_evidence	""	process_rescue_rows_before_external_search
x053_cut_resolution_0017	x051_selection_basis_0014	x050_cut_review_0014	work_candidate_latcarib_lit_felisberto_stories	Selected Stories	Felisberto Hernandez	1778	generic_title_unresolved_no_source_support	1	e013_oxford_latin_american_short_stories_1997	e013_oblass_024_felisberto_hernandez_the_daisy_dolls	creator_exact_unmatched_source_item	existing_source_item_rescue_review	100.822	review_rescue_source_items_for_match_scope_and_cut_side_evidence	""	process_rescue_rows_before_external_search
x053_cut_resolution_0018	x051_selection_basis_0020	x050_cut_review_0020	work_candidate_bloom_gap_031_0015_poems	Poems	Alcman	53	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.995	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Alcman"" ""Poems"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0019	x051_selection_basis_0031	x050_cut_review_0031	work_candidate_bloom_pindar_odes	Odes	Pindar	66	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.993	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Pindar"" ""Odes"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0020	x051_selection_basis_0040	x050_cut_review_0040	work_candidate_eastasia_lit_han_shan_poems	Cold Mountain Poems	Hanshan	233	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.977	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Hanshan"" ""Cold Mountain Poems"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0021	x051_selection_basis_0036	x050_cut_review_0036	work_candidate_eastasia_lit_xin_qiji_ci	Selected Ci Poems	Xin Qiji	329	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.967	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Xin Qiji"" ""Selected Ci Poems"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0022	x051_selection_basis_0037	x050_cut_review_0037	work_candidate_eastasia_lit_li_qingzhao_ci	Selected Ci Poems	Li Qingzhao	330	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.967	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Li Qingzhao"" ""Selected Ci Poems"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0023	x051_selection_basis_0001	x050_cut_review_0001	work_candidate_global_lit_ibn_al_farid_poems	Selected Poems	Ibn al-Farid	382	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.962	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Ibn al-Farid"" ""Selected Poems"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0024	x051_selection_basis_0041	x050_cut_review_0041	work_candidate_completion_lit_count_lucanor	Count Lucanor	Don Juan Manuel	398	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.960	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Don Juan Manuel"" ""Count Lucanor"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0025	x051_selection_basis_0033	x050_cut_review_0033	work_candidate_me_lit_navai_ghazals	Selected Ghazals	Ali-Shir Nava'i	434	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.957	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Ali-Shir Nava'i"" ""Selected Ghazals"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0026	x051_selection_basis_0022	x050_cut_review_0022	work_candidate_bloom_marvell_poems	Poems	Andrew Marvell	575	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.942	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Andrew Marvell"" ""Poems"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0027	x051_selection_basis_0034	x050_cut_review_0034	work_candidate_mandatory_saib_tabrizi_ghazals	Selected Ghazals	Saib Tabrizi	589	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.941	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Saib Tabrizi"" ""Selected Ghazals"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0028	x051_selection_basis_0027	x050_cut_review_0027	work_candidate_eastasia_lit_buson_haiku	Selected Haiku	Yosa Buson	660	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.934	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Yosa Buson"" ""Selected Haiku"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0029	x051_selection_basis_0002	x050_cut_review_0002	work_candidate_mandatory_burns_poems_chiefly	Poems, Chiefly in the Scottish Dialect	Robert Burns	712	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.929	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Robert Burns"" ""Poems, Chiefly in the Scottish Dialect"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0030	x051_selection_basis_0030	x050_cut_review_0030	work_candidate_bloom_late_032_literature_bloom_democratic_age_reviewed_0364_odes	"""Odes"""	Ugo Foscolo	752	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.925	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Ugo Foscolo"" """"Odes"""" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0031	x051_selection_basis_0042	x050_cut_review_0042	work_candidate_wave003_arnold_dover_beach	Dover Beach and Selected Poems	Matthew Arnold	858	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.914	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Matthew Arnold"" ""Dover Beach and Selected Poems"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0032	x051_selection_basis_0028	x050_cut_review_0028	work_candidate_eastasia_lit_issa_haiku	Selected Haiku	Kobayashi Issa	907	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.909	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Kobayashi Issa"" ""Selected Haiku"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0033	x051_selection_basis_0029	x050_cut_review_0029	work_candidate_eastasia_lit_shiki_haiku	Selected Haiku	Masaoka Shiki	908	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.909	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Masaoka Shiki"" ""Selected Haiku"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0034	x051_selection_basis_0039	x050_cut_review_0039	work_candidate_bloom_maupassant_selected_stories	Boule de Suif and Selected Stories	Guy de Maupassant	919	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.908	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Guy de Maupassant"" ""Boule de Suif and Selected Stories"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0035	x051_selection_basis_0043	x050_cut_review_0043	work_candidate_bloom_late_033_literature_bloom_chaotic_age_reviewed_0857_a_longing_for_the_light_selected_poems	A Longing for the Light: Selected Poems	Vicente Aleixandre	1217	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.878	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Vicente Aleixandre"" ""A Longing for the Light: Selected Poems"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0036	x051_selection_basis_0044	x050_cut_review_0044	work_candidate_southasia_lit_angarey	Angarey	Sajjad Zaheer, Rashid Jahan, Ahmed Ali, and Mahmuduzzafar	1511	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.849	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Sajjad Zaheer, Rashid Jahan, Ahmed Ali, and Mahmuduzzafar"" ""Angarey"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0037	x051_selection_basis_0045	x050_cut_review_0045	work_candidate_bloom_oconnor_complete_stories	Complete Stories	Flannery O'Connor	1726	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.827	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Flannery O'Connor"" ""Complete Stories"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0038	x051_selection_basis_0003	x050_cut_review_0003	work_candidate_euro_under_lit_sutzkever_poems	Selected Poems	Avrom Sutzkever	1765	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.824	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Avrom Sutzkever"" ""Selected Poems"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0039	x051_selection_basis_0005	x050_cut_review_0005	work_candidate_scale_lit_tsvetaeva_selected	Selected Poems	Marina Tsvetaeva	1767	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.823	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Marina Tsvetaeva"" ""Selected Poems"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0040	x051_selection_basis_0006	x050_cut_review_0006	work_candidate_bloom_reviewed_heaney_poems	Selected Poems	Seamus Heaney	1768	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.823	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Seamus Heaney"" ""Selected Poems"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0041	x051_selection_basis_0008	x050_cut_review_0008	work_candidate_me_lit_siamanto_poems	Selected Poems	Siamanto	1770	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.823	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Siamanto"" ""Selected Poems"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0042	x051_selection_basis_0009	x050_cut_review_0009	work_candidate_me_lit_varoujan_poems	Selected Poems	Daniel Varoujan	1771	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.823	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Daniel Varoujan"" ""Selected Poems"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0043	x051_selection_basis_0016	x050_cut_review_0016	work_candidate_completion_lit_peretz_stories	Selected Stories	I. L. Peretz	1773	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.823	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""I. L. Peretz"" ""Selected Stories"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0044	x051_selection_basis_0017	x050_cut_review_0017	work_candidate_global_lit_manto_selected_stories	Selected Stories	Saadat Hasan Manto	1774	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.823	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Saadat Hasan Manto"" ""Selected Stories"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0045	x051_selection_basis_0018	x050_cut_review_0018	work_candidate_latcarib_lit_silvina_ocampo_stories	Selected Stories	Silvina Ocampo	1775	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.822	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Silvina Ocampo"" ""Selected Stories"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0046	x051_selection_basis_0019	x050_cut_review_0019	work_candidate_bloom_reviewed_welty_stories	Selected Stories	Eudora Welty	1776	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.822	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Eudora Welty"" ""Selected Stories"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0047	x051_selection_basis_0013	x050_cut_review_0013	work_candidate_southasia_lit_pudhumaipithan_stories	Selected Stories	Pudhumaipithan	1777	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.822	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Pudhumaipithan"" ""Selected Stories"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0048	x051_selection_basis_0049	x050_cut_review_0049	work_candidate_indig_lit_arctic_dreams	Arctic Dreams and Nightmares	Alootook Ipellie	2535	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.746	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Alootook Ipellie"" ""Arctic Dreams and Nightmares"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0049	x051_selection_basis_0011	x050_cut_review_0011	work_candidate_indig_lit_chaska_poems	Selected Poems	Ch'aska Anka Ninawaman	2677	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.732	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Ch'aska Anka Ninawaman"" ""Selected Poems"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
x053_cut_resolution_0050	x051_selection_basis_0050	x050_cut_review_0050	work_candidate_eastasia_lit_cursed_bunny	Cursed Bunny	Bora Chung	2929	generic_title_unresolved_no_source_support	0	""	""	""	external_source_acquisition	49.707	find_author_specific_external_support_for_selected_work_or_mark_cut_basis_unresolved	"""Bora Chung"" ""Cursed Bunny"" anthology literature canon"	create_source_acquisition_queries_and_register_verified_sources
