decision_id	triage_id	queue_id	diagnostic_id	subject	triage_class	review_decision	target_work_id	confidence	rationale	next_action
x030_decision_0013	x029_triage_0061	x028_red_0061	x028_source_cluster_prologue_in_heaven	Prologue in Heaven	source_backed_omission_candidate	contained_in_current_work	work_candidate_faust_goethe	medium	Prologue in Heaven is a Faust component/excerpt and should route through Goethe's Faust.	record_selection_scope_not_new_work
x030_decision_0014	x029_triage_0071	x028_red_0071	x028_source_cluster_tales_of_heike	Tales Of Heike | THE TALES OF THE HEIKE	source_backed_omission_candidate	variant_alias_to_current_work	work_candidate_tale_of_heike	high	Pluralized/anthology title variant maps to The Tale of the Heike.	add_alias_or_match_review_decision
x030_decision_0015	x029_triage_0075	x028_red_0075	x028_source_cluster_dead	The Dead	existing_current_match_or_alias_gap	existing_current_match_needs_creator_disambiguation	work_candidate_bloom_reviewed_dubliners	medium	The Dead is represented through Dubliners for Joyce, but same-title current rows require source-creator disambiguation before automatic matching.	split_by_creator_then_match_joyce_rows_to_dubliners
x030_decision_0016	x029_triage_0082	x028_red_0082	x028_source_cluster_general_prologue	The General Prologue	source_backed_omission_candidate	contained_in_current_work	work_canon_canterbury_tales	high	The General Prologue is a Canterbury Tales component, not a separate canon omission under current granularity.	record_selection_scope_not_new_work
x030_decision_0017	x029_triage_0087	x028_red_0087	x028_source_cluster_prince	The Prince	source_backed_omission_candidate	new_omission_candidate_boundary_review	""	medium	Machiavelli's The Prince is source-backed and not currently selected; boundary review must decide political-philosophical prose as literature.	create_candidate_after_boundary_policy_review
x030_decision_0018	x029_triage_0088	x028_red_0088	x028_source_cluster_ramayana_of_valmiki	The Ramayana of Valmiki | THE RAMAYANA OF VALMIKI	source_backed_omission_candidate	variant_alias_to_current_work	work_canon_ramayana	high	The Ramayana of Valmiki is a title/attribution variant of the current Ramayana row.	add_alias_or_match_review_decision
x030_decision_0019	x029_triage_0093	x028_red_0093	x028_source_cluster_tyger	The Tyger	source_backed_omission_candidate	contained_in_current_collection	work_candidate_bloom_reviewed_songs_innocence_experience	high	The Tyger is contained in Songs of Innocence and of Experience, already selected.	record_selection_scope_not_new_work
x030_decision_0020	x029_triage_0094	x028_red_0094	x028_source_cluster_wife_of_bath_s_prologue	The Wife of Bath's Prologue	source_backed_omission_candidate	contained_in_current_work	work_canon_canterbury_tales	high	The Wife of Bath's Prologue is a Canterbury Tales component.	record_selection_scope_not_new_work
x030_decision_0021	x029_triage_0095	x028_red_0095	x028_source_cluster_wife_of_bath_s_tale	The Wife of Bath's Tale	source_backed_omission_candidate	contained_in_current_work	work_canon_canterbury_tales	high	The Wife of Bath's Tale is a Canterbury Tales component.	record_selection_scope_not_new_work
x030_decision_0022	x029_triage_0097	x028_red_0097	x028_source_cluster_to_autumn	To Autumn	source_backed_omission_candidate	contained_in_current_collection	work_candidate_bloom_keats_poems	medium	Keats poem selection should route through the current Keats selected-poems row.	record_selection_scope_not_new_work
x030_decision_0023	x029_triage_0101	x028_red_0101	x028_source_cluster_yellow_woman	Yellow Woman	source_backed_omission_candidate	new_omission_candidate_short_story_review	""	medium	Leslie Marmon Silko is represented by novels, but this source-backed story title is not an obvious alias of a selected work.	review_short_story_granularity_and_create_candidate_if_policy_allows
x030_decision_0024	x029_triage_0103	x028_red_0103	x028_source_cluster_zaabalawi	Zaabalawi	source_backed_omission_candidate	new_omission_candidate_short_story_review	""	medium	Mahfouz is represented by novels, but this source-backed story title is not an obvious alias of a selected work.	review_short_story_granularity_and_create_candidate_if_policy_allows
x030_decision_0025	x029_triage_0106	x028_red_0106	x028_source_cluster_from_life_of_sensuous_woman	from Life of a Sensuous Woman | From Life of a Sensuous Woman	possible_variant_alias_to_current_work	variant_alias_to_current_work	work_candidate_global_lit_life_amorous_woman	high	Life of a Sensuous Woman is a translated-title variant/excerpt title for the current Life of an Amorous Woman row.	add_alias_or_match_review_decision
