rescue_id	review_id	work_order_id	cut_work_id	cut_title	cut_creator	source_id	source_item_id	raw_title	raw_creator	match_status	matched_work_id	evidence_type	evidence_weight	supports	rescue_match_rule	rescue_confidence	recommended_action	next_action
x052_cut_source_rescue_0011	x051_selection_basis_0010	x050_cut_review_0010	work_candidate_latcarib_lit_drummond_poems	Selected Poems	Carlos Drummond de Andrade	e013_oxford_latin_american_poetry_2009	e013_oblap_054_carlos_drummond_de_andrade_this_is_that_a_passion_for_measure_in_the_m	This is that ; A passion for measure ; In the middle of the way ; F	Carlos Drummond de Andrade	unmatched	""	representative_selection	0.55	poem_level_anthology_inclusion	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0012	x051_selection_basis_0010	x050_cut_review_0010	work_candidate_latcarib_lit_drummond_poems	Selected Poems	Carlos Drummond de Andrade	longman_world_lit_2e_2009	longman2e_volf_058_carlos_drummond_de_andrade_in_the_middle_of_the_road	In the Middle of the Road	Carlos Drummond de Andrade	unmatched	""	inclusion	0.80	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0013	x051_selection_basis_0021	x050_cut_review_0021	work_candidate_bloom_catullus_poems	Poems	Catullus	longman_world_lit_2e_2009	longman2e_vola_267_catullus_3_cry_out_lamenting_venuses_and_cupids	"3 ""Cry out lamenting, Venuses and Cupids"""	Catullus	unmatched	""	representative_selection	0.55	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0014	x051_selection_basis_0021	x050_cut_review_0021	work_candidate_bloom_catullus_poems	Poems	Catullus	longman_world_lit_2e_2009	longman2e_vola_268_catullus_5_lesbia_let_us_live_only_for_loving	"5 ""Lesbia, let us live only for loving"""	Catullus	unmatched	""	representative_selection	0.55	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0015	x051_selection_basis_0021	x050_cut_review_0021	work_candidate_bloom_catullus_poems	Poems	Catullus	longman_world_lit_2e_2009	longman2e_vola_269_catullus_13_you_will_dine_well_with_me_my_dear_fabullus	"13 ""You will dine well with me, my dear Fabullus"""	Catullus	unmatched	""	representative_selection	0.55	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0016	x051_selection_basis_0021	x050_cut_review_0021	work_candidate_bloom_catullus_poems	Poems	Catullus	longman_world_lit_2e_2009	longman2e_vola_270_catullus_51_to_me_that_man_seems_like_a_god_in_heaven	"51 ""To me that man seems like a god in heaven"""	Catullus	unmatched	""	representative_selection	0.55	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0017	x051_selection_basis_0021	x050_cut_review_0021	work_candidate_bloom_catullus_poems	Poems	Catullus	longman_world_lit_2e_2009	longman2e_vola_271_catullus_76_if_any_pleasure_can_come_to_a_man_through_recalling	"76 ""If any pleasure can come to a man through recalling"""	Catullus	unmatched	""	representative_selection	0.55	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0018	x051_selection_basis_0021	x050_cut_review_0021	work_candidate_bloom_catullus_poems	Poems	Catullus	longman_world_lit_2e_2009	longman2e_vola_272_catullus_107_if_ever_something_which_someone_with_no_expectation	"107 ""If ever something which someone with no expectation"""	Catullus	unmatched	""	representative_selection	0.55	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0019	x051_selection_basis_0021	x050_cut_review_0021	work_candidate_bloom_catullus_poems	Poems	Catullus	norton_world_lit_5e_full_pre1650	nawol5e_vola_143_catullus_poem	POEM	CATULLUS	unmatched	""	inclusion	0.80	world_literature_anthology_public_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0020	x051_selection_basis_0048	x050_cut_review_0048	work_candidate_latcarib_lit_walcott_collected_poems	Collected Poems 1948-1984	Derek Walcott	longman_world_lit_2e_2009	longman2e_volf_277_derek_walcott_a_far_cry_from_africa	A Far Cry from Africa	Derek Walcott	unmatched	""	inclusion	0.80	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0021	x051_selection_basis_0048	x050_cut_review_0048	work_candidate_latcarib_lit_walcott_collected_poems	Collected Poems 1948-1984	Derek Walcott	longman_world_lit_2e_2009	longman2e_volf_278_derek_walcott_volcano	Volcano	Derek Walcott	unmatched	""	inclusion	0.80	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0022	x051_selection_basis_0048	x050_cut_review_0048	work_candidate_latcarib_lit_walcott_collected_poems	Collected Poems 1948-1984	Derek Walcott	longman_world_lit_2e_2009	longman2e_volf_279_derek_walcott_the_fortunate_traveller	The Fortunate Traveller	Derek Walcott	unmatched	""	inclusion	0.80	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0023	x051_selection_basis_0014	x050_cut_review_0014	work_candidate_latcarib_lit_felisberto_stories	Selected Stories	Felisberto Hernandez	e013_oxford_latin_american_short_stories_1997	e013_oblass_024_felisberto_hernandez_the_daisy_dolls	The daisy dolls	Felisberto Hernandez	unmatched	""	inclusion	0.60	field_anthology_public_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0024	x051_selection_basis_0023	x050_cut_review_0023	work_candidate_bloom_leopardi_poems	Poems	Giacomo Leopardi	longman_world_lit_2e_2009	longman2e_vole_031_giacomo_leopardi_the_infinite	The Infinite	Giacomo Leopardi	unmatched	""	inclusion	0.80	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0025	x051_selection_basis_0023	x050_cut_review_0023	work_candidate_bloom_leopardi_poems	Poems	Giacomo Leopardi	longman_world_lit_2e_2009	longman2e_vole_032_giacomo_leopardi_dialogue_between_nature_and_an_icelander	Dialogue Between Nature and an Icelander	Giacomo Leopardi	unmatched	""	inclusion	0.80	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0026	x051_selection_basis_0032	x050_cut_review_0032	work_candidate_bloom_horace_odes	Odes	Horace	longman_world_lit_2e_2009	longman2e_vola_244_horace_from_odes_1_24_why_should_our_grief_for_a_man_so_loved	from Odes: 1.24: Why should our grief for a man so loved	Horace	unmatched	""	representative_selection	0.55	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0027	x051_selection_basis_0032	x050_cut_review_0032	work_candidate_bloom_horace_odes	Odes	Horace	longman_world_lit_2e_2009	longman2e_vola_275_horace_satire_1_8_once_i_was_wood_from_a_worthless_old_fig_tree	"Satire 1.8 ""Once I was wood from a worthless old fig tree"""	Horace	unmatched	""	inclusion	0.80	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0028	x051_selection_basis_0032	x050_cut_review_0032	work_candidate_bloom_horace_odes	Odes	Horace	longman_world_lit_2e_2009	longman2e_vola_276_horace_satire_1_5_leaving_the_big_city_behind_i_found_lodgings_at_aricia	"Satire 1.5 ""Leaving the big city behind I found lodgings at Aricia"""	Horace	unmatched	""	inclusion	0.80	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0029	x051_selection_basis_0032	x050_cut_review_0032	work_candidate_bloom_horace_odes	Odes	Horace	longman_world_lit_2e_2009	longman2e_vola_277_horace_ode_1_25_the_young_bloods_are_not_so_eager_now	"Ode 1.25 ""The young bloods are not so eager now"""	Horace	unmatched	""	inclusion	0.80	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0030	x051_selection_basis_0032	x050_cut_review_0032	work_candidate_bloom_horace_odes	Odes	Horace	longman_world_lit_2e_2009	longman2e_vola_278_horace_ode_1_9_soracte_standing_white_and_deep	"Ode 1.9 ""Soracte standing white and deep"""	Horace	unmatched	""	inclusion	0.80	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0031	x051_selection_basis_0032	x050_cut_review_0032	work_candidate_bloom_horace_odes	Odes	Horace	longman_world_lit_2e_2009	longman2e_vola_279_horace_ode_2_13_not_only_did_he_plant_you_on_an_unholy_day	"Ode 2.13 ""Not only did he plant you on an unholy day"""	Horace	unmatched	""	inclusion	0.80	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0032	x051_selection_basis_0032	x050_cut_review_0032	work_candidate_bloom_horace_odes	Odes	Horace	longman_world_lit_2e_2009	longman2e_vola_280_horace_ode_2_14_ah_how_quickly_postumus_postumus	"Ode 2.14 ""Ah how quickly, Postumus, Postumus"""	Horace	unmatched	""	inclusion	0.80	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0033	x051_selection_basis_0032	x050_cut_review_0032	work_candidate_bloom_horace_odes	Odes	Horace	norton_world_lit_5e_full_pre1650	nawol5e_vola_139_horace_two_odes	TWO ODES	HORACE	unmatched	""	inclusion	0.80	world_literature_anthology_public_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0034	x051_selection_basis_0047	x050_cut_review_0047	work_candidate_latcarib_lit_blow_up	Blow-Up and Other Stories	Julio Cortazar	e013_fsg_20c_latin_american_poetry_2011	e013_fsg20c_034_julio_cortazar_para_leer_en_forma_interrogative_to_be_read_in_the_inte	Para leer en forma interrogative : to be read in the interrogative	Julio Cortazar	unmatched	""	representative_selection	0.60	poem_level_anthology_inclusion	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0035	x051_selection_basis_0015	x050_cut_review_0015	work_candidate_bloom_reviewed_cortazar_stories	Selected Stories	Julio Cortazar	e013_fsg_20c_latin_american_poetry_2011	e013_fsg20c_034_julio_cortazar_para_leer_en_forma_interrogative_to_be_read_in_the_inte	Para leer en forma interrogative : to be read in the interrogative	Julio Cortazar	unmatched	""	representative_selection	0.60	poem_level_anthology_inclusion	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0036	x051_selection_basis_0046	x050_cut_review_0046	work_candidate_latcarib_lit_all_fires_fire	All Fires the Fire	Julio Cortazar	e013_fsg_20c_latin_american_poetry_2011	e013_fsg20c_034_julio_cortazar_para_leer_en_forma_interrogative_to_be_read_in_the_inte	Para leer en forma interrogative : to be read in the interrogative	Julio Cortazar	unmatched	""	representative_selection	0.60	poem_level_anthology_inclusion	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0037	x051_selection_basis_0047	x050_cut_review_0047	work_candidate_latcarib_lit_blow_up	Blow-Up and Other Stories	Julio Cortazar	e013_oxford_latin_american_short_stories_1997	e013_oblass_040_julio_cortazar_the_night_face_up	The night face up	Julio Cortazar	unmatched	""	inclusion	0.60	field_anthology_public_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0038	x051_selection_basis_0046	x050_cut_review_0046	work_candidate_latcarib_lit_all_fires_fire	All Fires the Fire	Julio Cortazar	e013_oxford_latin_american_short_stories_1997	e013_oblass_040_julio_cortazar_the_night_face_up	The night face up	Julio Cortazar	unmatched	""	inclusion	0.60	field_anthology_public_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0039	x051_selection_basis_0015	x050_cut_review_0015	work_candidate_bloom_reviewed_cortazar_stories	Selected Stories	Julio Cortazar	e013_oxford_latin_american_short_stories_1997	e013_oblass_040_julio_cortazar_the_night_face_up	The night face up	Julio Cortazar	unmatched	""	inclusion	0.60	field_anthology_public_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0040	x051_selection_basis_0015	x050_cut_review_0015	work_candidate_bloom_reviewed_cortazar_stories	Selected Stories	Julio Cortazar	longman_world_lit_2e_2009	longman2e_volc_290_julio_cortazar_axolotl	Axolotl	Julio Cortazar	unmatched	""	inclusion	0.80	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0041	x051_selection_basis_0047	x050_cut_review_0047	work_candidate_latcarib_lit_blow_up	Blow-Up and Other Stories	Julio Cortazar	longman_world_lit_2e_2009	longman2e_volc_290_julio_cortazar_axolotl	Axolotl	Julio Cortazar	unmatched	""	inclusion	0.80	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0042	x051_selection_basis_0046	x050_cut_review_0046	work_candidate_latcarib_lit_all_fires_fire	All Fires the Fire	Julio Cortazar	longman_world_lit_2e_2009	longman2e_volc_290_julio_cortazar_axolotl	Axolotl	Julio Cortazar	unmatched	""	inclusion	0.80	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0043	x051_selection_basis_0007	x050_cut_review_0007	work_candidate_bloom_darwish_selected_poems	Selected Poems	Mahmoud Darwish	longman_world_lit_2e_2009	longman2e_volf_261_mahmoud_darwish_a_poem_which_is_not_green_from_my_country	A Poem Which Is Not Green, from My Country	Mahmoud Darwish	unmatched	""	inclusion	0.80	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0044	x051_selection_basis_0007	x050_cut_review_0007	work_candidate_bloom_darwish_selected_poems	Selected Poems	Mahmoud Darwish	longman_world_lit_2e_2009	longman2e_volf_262_mahmoud_darwish_diary_of_a_palestinian_wound	Diary of a Palestinian Wound	Mahmoud Darwish	unmatched	""	inclusion	0.80	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0045	x051_selection_basis_0004	x050_cut_review_0004	work_candidate_global_lit_nazim_hikmet_poems	Selected Poems	Nazim Hikmet	longman_world_lit_2e_2009	longman2e_volf_113_nazim_hikmet_regarding_art	Regarding Art	Nazim Hikmet	unmatched	""	inclusion	0.80	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0046	x051_selection_basis_0024	x050_cut_review_0024	work_candidate_bloom_mandelstam_poems	Poems	Osip Mandelstam	longman_world_lit_2e_2009	longman2e_volf_081_osip_mandelstam_to_a_a_a_akhmatova	To A.A.A. (Akhmatova)	Osip Mandelstam	unmatched	""	inclusion	0.80	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0047	x051_selection_basis_0038	x050_cut_review_0038	work_candidate_bloom_celan_poems	Poems	Paul Celan	longman_world_lit_2e_2009	longman2e_volf_137_paul_celan_death_fugue	Death Fugue	Paul Celan	unmatched	""	inclusion	0.80	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
x052_cut_source_rescue_0048	x051_selection_basis_0035	x050_cut_review_0035	work_candidate_bloom_late_033_literature_bloom_chaotic_age_reviewed_0835_collected_poems	Collected Poems	Primo Levi	longman_world_lit_2e_2009	longman2e_volf_135_primo_levi_the_two_flags	The Two Flags	Primo Levi	unmatched	""	inclusion	0.80	world_literature_anthology_toc	creator_exact_unmatched_source_item	0.82	review_source_item_for_cut_side_evidence_generation	route_to_match_review_then_generate_evidence_if_valid
