queue_id	diagnostic_id	audit_namespace	severity	priority_score	subject	rationale	next_action
x028_red_0052	x028_source_cluster_o_captain_my_captain	C_source_cluster	high	93	O Captain! My Captain!	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0053	x028_source_cluster_ode_on_grecian_urn	C_source_cluster	high	93	Ode on a Grecian Urn	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0054	x028_source_cluster_ode_to_nightingale	C_source_cluster	high	93	Ode to a Nightingale	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0055	x028_source_cluster_of_cannibals	C_source_cluster	high	93	Of Cannibals	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0056	x028_source_cluster_of_power_of_imagination	C_source_cluster	high	93	Of the Power of the Imagination	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0057	x028_source_cluster_on_spring_and_autumn	C_source_cluster	high	93	On Spring and Autumn | On spring and autumn	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0058	x028_source_cluster_otomo_no_tabito	C_source_cluster	high	93	Otomo no Tabito	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0059	x028_source_cluster_patriotism	C_source_cluster	high	93	Patriotism	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0060	x028_source_cluster_pining_wind	C_source_cluster	high	93	Pining Wind	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0061	x028_source_cluster_prologue_in_heaven	C_source_cluster	high	93	Prologue in Heaven	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0062	x028_source_cluster_question_and_answer_in_mountains	C_source_cluster	high	93	Question and Answer in the Mountains	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0063	x028_source_cluster_returning_to_farm_to_dwell	C_source_cluster	high	93	Returning to the Farm to Dwell	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0064	x028_source_cluster_sealed_off	C_source_cluster	high	93	Sealed Off	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0065	x028_source_cluster_seeing_plum_blossoms_when_sentenced_to_exile	C_source_cluster	high	93	Seeing the Plum Blossoms When Sentenced to Exile	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0066	x028_source_cluster_sitting_alone_by_jingting_mountain	C_source_cluster	high	93	Sitting Alone by Jingting Mountain	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0067	x028_source_cluster_sometimes_when_it_rains	C_source_cluster	high	93	Sometimes When It Rains | Sometimes When it Rains.	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0068	x028_source_cluster_songs_of_sorrow	C_source_cluster	high	93	Songs of Sorrow | Songs of Sorrow.	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0069	x028_source_cluster_sugawara_no_michizane	C_source_cluster	high	93	Sugawara no Michizane | SUGAWARA NO MICHIZANE	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0070	x028_source_cluster_suma	C_source_cluster	high	93	Suma	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0071	x028_source_cluster_tales_of_heike	C_source_cluster	high	93	Tales Of Heike | THE TALES OF THE HEIKE	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0072	x028_source_cluster_badger	C_source_cluster	high	93	The Badger	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0073	x028_source_cluster_broom_tree	C_source_cluster	high	93	The Broom Tree	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0074	x028_source_cluster_dancing_girl_of_izu	C_source_cluster	high	93	The Dancing Girl of Izu	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0075	x028_source_cluster_dead	C_source_cluster	high	93	The Dead	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0076	x028_source_cluster_death_of_atsumori	C_source_cluster	high	93	The Death of Atsumori	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0077	x028_source_cluster_death_of_kiyomori	C_source_cluster	high	93	The Death of Kiyomori	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0078	x028_source_cluster_death_of_imperial_lady	C_source_cluster	high	93	The Death of the Imperial Lady	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0079	x028_source_cluster_deep_river_story_of_ancient_tribal_migration	C_source_cluster	high	93	The Deep River: A Story of Ancient Tribal Migration. | The Deep River: A Story of Ancient Tribal Migration	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0080	x028_source_cluster_doum_tree_of_wad_hamid	C_source_cluster	high	93	The Doum Tree of Wad Hamid. | The Doum Tree of Wad Hamid	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0081	x028_source_cluster_foundation_and_manifesto_of_futurism	C_source_cluster	high	93	The Foundation and Manifesto of Futurism | THE FOUNDATION AND MANIFESTO OF FUTURISM	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0082	x028_source_cluster_general_prologue	C_source_cluster	high	93	The General Prologue	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0083	x028_source_cluster_infinite	C_source_cluster	high	93	The Infinite	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0084	x028_source_cluster_oak_tree	C_source_cluster	high	93	The Oak Tree	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0085	x028_source_cluster_pact	C_source_cluster	high	93	The Pact | A Pact	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0086	x028_source_cluster_paulownia_court	C_source_cluster	high	93	The Paulownia Court	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0087	x028_source_cluster_prince	C_source_cluster	high	93	The Prince	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0088	x028_source_cluster_ramayana_of_valmiki	C_source_cluster	high	93	The Ramayana of Valmiki | THE RAMAYANA OF VALMIKI	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0089	x028_source_cluster_rites	C_source_cluster	high	93	The Rites	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0090	x028_source_cluster_sacred_tree	C_source_cluster	high	93	The Sacred Tree	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0091	x028_source_cluster_swan	C_source_cluster	high	93	The Swan	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0092	x028_source_cluster_tale_of_merchant_and_his_wife	C_source_cluster	high	93	The Tale of the Merchant and His Wife | [The Tale of the Merchant and His Wife]	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0093	x028_source_cluster_tyger	C_source_cluster	high	93	The Tyger	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0094	x028_source_cluster_wife_of_bath_s_prologue	C_source_cluster	high	93	The Wife of Bath's Prologue	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0095	x028_source_cluster_wife_of_bath_s_tale	C_source_cluster	high	93	The Wife of Bath's Tale	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0096	x028_source_cluster_wizard	C_source_cluster	high	93	The Wizard	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0097	x028_source_cluster_to_autumn	C_source_cluster	high	93	To Autumn	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0098	x028_source_cluster_to_roosevelt	C_source_cluster	high	93	To Roosevelt | TO ROOSEVELT	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0099	x028_source_cluster_wonderful_this_road_to_cold_mountain	C_source_cluster	high	93	Wonderful, this road to Cold Mountain | [Wonderful, this road to Cold Mountain]	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0100	x028_source_cluster_yamanoue_no_okura	C_source_cluster	high	93	Yamanoue no Okura	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0101	x028_source_cluster_yellow_woman	C_source_cluster	high	93	Yellow Woman	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0102	x028_source_cluster_your_basket_with_your_lovely_basket	C_source_cluster	high	93	Your Basket, with Your Lovely Basket | Your basket, with your lovely basket	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0103	x028_source_cluster_zaabalawi	C_source_cluster	high	93	Zaabalawi	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0104	x028_source_cluster_zhongnan_retreat	C_source_cluster	high	93	Zhongnan Retreat	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0105	x028_source_cluster_from_essay_on_man	C_source_cluster	high	93	from An Essay on Man | From An Essay on Man	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0106	x028_source_cluster_from_life_of_sensuous_woman	C_source_cluster	high	93	from Life of a Sensuous Woman | From Life of a Sensuous Woman	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0107	x028_source_cluster_from_autobiography	C_source_cluster	high	93	from The Autobiography | FROM THE AUTOBIOGRAPHY	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0108	x028_source_cluster_from_story_of_stone	C_source_cluster	high	93	from The Story of the Stone | From The Story of the Stone	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0109	x028_source_cluster_from_wang_river_collection	C_source_cluster	high	93	from The Wang River Collection | From Wang River Collection	Unmatched source-title cluster appears in 2 source(s) and 2 source item(s).	manual_match_or_create_candidate_review
x028_red_0110	x028_coverage_0001	I_intersection	high	79	region_form: east_asia|children_young_adult	selected=0; unmatched_source_pressure=4; no_evidence_selected=0	review_red_cell_before_manual_packet_sweep
x028_red_0111	x028_coverage_0003	D_form	medium	74	form_bucket: drama_performance	selected=270; unmatched_source_pressure=56; no_evidence_selected=238	review_red_cell_before_manual_packet_sweep
x028_red_0112	x028_coverage_0005	D_form	medium	74	form_bucket: essays_memoir_testimony	selected=187; unmatched_source_pressure=182; no_evidence_selected=153	review_red_cell_before_manual_packet_sweep
x028_red_0113	x028_coverage_0007	D_form	medium	74	form_bucket: poetry	selected=509; unmatched_source_pressure=1254; no_evidence_selected=457	review_red_cell_before_manual_packet_sweep
x028_red_0114	x028_coverage_0010	C_region	medium	74	macro_region: africa	selected=223; unmatched_source_pressure=379; no_evidence_selected=201	review_red_cell_before_manual_packet_sweep
x028_red_0115	x028_coverage_0011	C_region	medium	74	macro_region: americas	selected=517; unmatched_source_pressure=280; no_evidence_selected=483	review_red_cell_before_manual_packet_sweep
x028_red_0116	x028_coverage_0012	C_region	medium	74	macro_region: east_asia	selected=219; unmatched_source_pressure=1318; no_evidence_selected=151	review_red_cell_before_manual_packet_sweep
x028_red_0117	x028_coverage_0016	C_region	medium	74	macro_region: south_asia	selected=257; unmatched_source_pressure=126; no_evidence_selected=244	review_red_cell_before_manual_packet_sweep
x028_red_0118	x028_coverage_0018	C_region	medium	74	macro_region: unknown	selected=472; unmatched_source_pressure=2295; no_evidence_selected=446	review_red_cell_before_manual_packet_sweep
x028_red_0119	x028_coverage_0048	I_intersection	medium	74	region_form: africa|fiction_narrative_prose	selected=162; unmatched_source_pressure=136; no_evidence_selected=142	review_red_cell_before_manual_packet_sweep
x028_red_0120	x028_coverage_0051	I_intersection	medium	74	region_form: americas|fiction_narrative_prose	selected=361; unmatched_source_pressure=60; no_evidence_selected=345	review_red_cell_before_manual_packet_sweep
