item_decision_id	proposal_id	scope_review_id	rescue_id	cut_work_id	cut_title	cut_creator	source_id	source_item_id	raw_title	scope_review_class	scope_risk	item_decision	decision_reason	evidence_effect	reviewer_status	next_action
x056_cut_item_decision_0011	x055_cut_evidence_0007	x054_cut_scope_0011	x052_cut_source_rescue_0011	work_candidate_latcarib_lit_drummond_poems	Selected Poems	Carlos Drummond de Andrade	e013_oxford_latin_american_poetry_2009	e013_oblap_054_carlos_drummond_de_andrade_this_is_that_a_passion_for_measure_in_the_m	This is that ; A passion for measure ; In the middle of the way ; F	representative_poetry_selection_review	medium	ready_for_representative_selection_evidence_review	The source item is compatible with representative-selection evidence, subject to reviewer acceptance.	may_generate_review_gated_representative_selection_evidence	needs_manual_review	review_and_accept_or_reject_item_evidence
x056_cut_item_decision_0012	x055_cut_evidence_0008	x054_cut_scope_0012	x052_cut_source_rescue_0012	work_candidate_latcarib_lit_drummond_poems	Selected Poems	Carlos Drummond de Andrade	longman_world_lit_2e_2009	longman2e_volf_058_carlos_drummond_de_andrade_in_the_middle_of_the_road	In the Middle of the Road	representative_poetry_selection_review	medium	ready_for_representative_selection_evidence_review	The source item is compatible with representative-selection evidence, subject to reviewer acceptance.	may_generate_review_gated_representative_selection_evidence	needs_manual_review	review_and_accept_or_reject_item_evidence
x056_cut_item_decision_0013	x055_cut_evidence_0001	x054_cut_scope_0013	x052_cut_source_rescue_0013	work_candidate_bloom_catullus_poems	Poems	Catullus	longman_world_lit_2e_2009	longman2e_vola_267_catullus_3_cry_out_lamenting_venuses_and_cupids	"3 ""Cry out lamenting, Venuses and Cupids"""	representative_poetry_selection_review	medium	ready_for_representative_selection_evidence_review	The source item is compatible with representative-selection evidence, subject to reviewer acceptance.	may_generate_review_gated_representative_selection_evidence	needs_manual_review	review_and_accept_or_reject_item_evidence
x056_cut_item_decision_0014	x055_cut_evidence_0001	x054_cut_scope_0014	x052_cut_source_rescue_0014	work_candidate_bloom_catullus_poems	Poems	Catullus	longman_world_lit_2e_2009	longman2e_vola_268_catullus_5_lesbia_let_us_live_only_for_loving	"5 ""Lesbia, let us live only for loving"""	representative_poetry_selection_review	medium	ready_for_representative_selection_evidence_review	The source item is compatible with representative-selection evidence, subject to reviewer acceptance.	may_generate_review_gated_representative_selection_evidence	needs_manual_review	review_and_accept_or_reject_item_evidence
x056_cut_item_decision_0015	x055_cut_evidence_0001	x054_cut_scope_0015	x052_cut_source_rescue_0015	work_candidate_bloom_catullus_poems	Poems	Catullus	longman_world_lit_2e_2009	longman2e_vola_269_catullus_13_you_will_dine_well_with_me_my_dear_fabullus	"13 ""You will dine well with me, my dear Fabullus"""	representative_poetry_selection_review	medium	ready_for_representative_selection_evidence_review	The source item is compatible with representative-selection evidence, subject to reviewer acceptance.	may_generate_review_gated_representative_selection_evidence	needs_manual_review	review_and_accept_or_reject_item_evidence
x056_cut_item_decision_0016	x055_cut_evidence_0001	x054_cut_scope_0016	x052_cut_source_rescue_0016	work_candidate_bloom_catullus_poems	Poems	Catullus	longman_world_lit_2e_2009	longman2e_vola_270_catullus_51_to_me_that_man_seems_like_a_god_in_heaven	"51 ""To me that man seems like a god in heaven"""	representative_poetry_selection_review	medium	ready_for_representative_selection_evidence_review	The source item is compatible with representative-selection evidence, subject to reviewer acceptance.	may_generate_review_gated_representative_selection_evidence	needs_manual_review	review_and_accept_or_reject_item_evidence
x056_cut_item_decision_0017	x055_cut_evidence_0001	x054_cut_scope_0017	x052_cut_source_rescue_0017	work_candidate_bloom_catullus_poems	Poems	Catullus	longman_world_lit_2e_2009	longman2e_vola_271_catullus_76_if_any_pleasure_can_come_to_a_man_through_recalling	"76 ""If any pleasure can come to a man through recalling"""	representative_poetry_selection_review	medium	ready_for_representative_selection_evidence_review	The source item is compatible with representative-selection evidence, subject to reviewer acceptance.	may_generate_review_gated_representative_selection_evidence	needs_manual_review	review_and_accept_or_reject_item_evidence
x056_cut_item_decision_0018	x055_cut_evidence_0001	x054_cut_scope_0018	x052_cut_source_rescue_0018	work_candidate_bloom_catullus_poems	Poems	Catullus	longman_world_lit_2e_2009	longman2e_vola_272_catullus_107_if_ever_something_which_someone_with_no_expectation	"107 ""If ever something which someone with no expectation"""	representative_poetry_selection_review	medium	ready_for_representative_selection_evidence_review	The source item is compatible with representative-selection evidence, subject to reviewer acceptance.	may_generate_review_gated_representative_selection_evidence	needs_manual_review	review_and_accept_or_reject_item_evidence
x056_cut_item_decision_0019	x055_cut_evidence_0009	x054_cut_scope_0019	x052_cut_source_rescue_0019	work_candidate_bloom_catullus_poems	Poems	Catullus	norton_world_lit_5e_full_pre1650	nawol5e_vola_143_catullus_poem	POEM	representative_poetry_selection_review	medium	ready_for_representative_selection_evidence_review	The source item is compatible with representative-selection evidence, subject to reviewer acceptance.	may_generate_review_gated_representative_selection_evidence	needs_manual_review	review_and_accept_or_reject_item_evidence
x056_cut_item_decision_0020	x055_cut_evidence_0003	x054_cut_scope_0020	x052_cut_source_rescue_0020	work_candidate_latcarib_lit_walcott_collected_poems	Collected Poems 1948-1984	Derek Walcott	longman_world_lit_2e_2009	longman2e_volf_277_derek_walcott_a_far_cry_from_africa	A Far Cry from Africa	representative_poetry_selection_review	medium	blocked_named_collection_exact_support_required	Individual anthology source items do not establish exact support for a named collection.	no_evidence_change	needs_manual_review	find_exact_collection_support_or_keep_cut_candidate_source_debt_open
x056_cut_item_decision_0021	x055_cut_evidence_0003	x054_cut_scope_0021	x052_cut_source_rescue_0021	work_candidate_latcarib_lit_walcott_collected_poems	Collected Poems 1948-1984	Derek Walcott	longman_world_lit_2e_2009	longman2e_volf_278_derek_walcott_volcano	Volcano	representative_poetry_selection_review	medium	blocked_named_collection_exact_support_required	Individual anthology source items do not establish exact support for a named collection.	no_evidence_change	needs_manual_review	find_exact_collection_support_or_keep_cut_candidate_source_debt_open
x056_cut_item_decision_0022	x055_cut_evidence_0003	x054_cut_scope_0022	x052_cut_source_rescue_0022	work_candidate_latcarib_lit_walcott_collected_poems	Collected Poems 1948-1984	Derek Walcott	longman_world_lit_2e_2009	longman2e_volf_279_derek_walcott_the_fortunate_traveller	The Fortunate Traveller	representative_poetry_selection_review	medium	blocked_named_collection_exact_support_required	Individual anthology source items do not establish exact support for a named collection.	no_evidence_change	needs_manual_review	find_exact_collection_support_or_keep_cut_candidate_source_debt_open
x056_cut_item_decision_0023	""	x054_cut_scope_0023	x052_cut_source_rescue_0023	work_candidate_latcarib_lit_felisberto_stories	Selected Stories	Felisberto Hernandez	e013_oxford_latin_american_short_stories_1997	e013_oblass_024_felisberto_hernandez_the_daisy_dolls	The daisy dolls	story_collection_membership_review	high	blocked_high_scope_risk	High-risk membership or form mismatch rows must be resolved before evidence generation.	no_evidence_change	needs_manual_review	resolve_scope_blocker_before_evidence_generation
x056_cut_item_decision_0024	x055_cut_evidence_0004	x054_cut_scope_0024	x052_cut_source_rescue_0024	work_candidate_bloom_leopardi_poems	Poems	Giacomo Leopardi	longman_world_lit_2e_2009	longman2e_vole_031_giacomo_leopardi_the_infinite	The Infinite	representative_poetry_selection_review	medium	ready_for_representative_selection_evidence_review	The source item is compatible with representative-selection evidence, subject to reviewer acceptance.	may_generate_review_gated_representative_selection_evidence	needs_manual_review	review_and_accept_or_reject_item_evidence
x056_cut_item_decision_0025	x055_cut_evidence_0004	x054_cut_scope_0025	x052_cut_source_rescue_0025	work_candidate_bloom_leopardi_poems	Poems	Giacomo Leopardi	longman_world_lit_2e_2009	longman2e_vole_032_giacomo_leopardi_dialogue_between_nature_and_an_icelander	Dialogue Between Nature and an Icelander	representative_poetry_selection_review	medium	needs_form_review_before_representative_evidence	The source item title appears non-poetic or mixed-form and needs form review.	no_evidence_change	needs_manual_review	review_item_form_before_any_evidence_generation
x056_cut_item_decision_0026	x055_cut_evidence_0002	x054_cut_scope_0026	x052_cut_source_rescue_0026	work_candidate_bloom_horace_odes	Odes	Horace	longman_world_lit_2e_2009	longman2e_vola_244_horace_from_odes_1_24_why_should_our_grief_for_a_man_so_loved	from Odes: 1.24: Why should our grief for a man so loved	title_family_match_ode_source_item	medium	ready_for_representative_selection_evidence_review	The source item is compatible with representative-selection evidence, subject to reviewer acceptance.	may_generate_review_gated_representative_selection_evidence	needs_manual_review	review_and_accept_or_reject_item_evidence
x056_cut_item_decision_0027	""	x054_cut_scope_0027	x052_cut_source_rescue_0027	work_candidate_bloom_horace_odes	Odes	Horace	longman_world_lit_2e_2009	longman2e_vola_275_horace_satire_1_8_once_i_was_wood_from_a_worthless_old_fig_tree	"Satire 1.8 ""Once I was wood from a worthless old fig tree"""	creator_only_form_mismatch	high	blocked_high_scope_risk	High-risk membership or form mismatch rows must be resolved before evidence generation.	no_evidence_change	needs_manual_review	resolve_scope_blocker_before_evidence_generation
x056_cut_item_decision_0028	""	x054_cut_scope_0028	x052_cut_source_rescue_0028	work_candidate_bloom_horace_odes	Odes	Horace	longman_world_lit_2e_2009	longman2e_vola_276_horace_satire_1_5_leaving_the_big_city_behind_i_found_lodgings_at_aricia	"Satire 1.5 ""Leaving the big city behind I found lodgings at Aricia"""	creator_only_form_mismatch	high	blocked_high_scope_risk	High-risk membership or form mismatch rows must be resolved before evidence generation.	no_evidence_change	needs_manual_review	resolve_scope_blocker_before_evidence_generation
x056_cut_item_decision_0029	x055_cut_evidence_0002	x054_cut_scope_0029	x052_cut_source_rescue_0029	work_candidate_bloom_horace_odes	Odes	Horace	longman_world_lit_2e_2009	longman2e_vola_277_horace_ode_1_25_the_young_bloods_are_not_so_eager_now	"Ode 1.25 ""The young bloods are not so eager now"""	title_family_match_ode_source_item	medium	ready_for_representative_selection_evidence_review	The source item is compatible with representative-selection evidence, subject to reviewer acceptance.	may_generate_review_gated_representative_selection_evidence	needs_manual_review	review_and_accept_or_reject_item_evidence
x056_cut_item_decision_0030	x055_cut_evidence_0002	x054_cut_scope_0030	x052_cut_source_rescue_0030	work_candidate_bloom_horace_odes	Odes	Horace	longman_world_lit_2e_2009	longman2e_vola_278_horace_ode_1_9_soracte_standing_white_and_deep	"Ode 1.9 ""Soracte standing white and deep"""	title_family_match_ode_source_item	medium	ready_for_representative_selection_evidence_review	The source item is compatible with representative-selection evidence, subject to reviewer acceptance.	may_generate_review_gated_representative_selection_evidence	needs_manual_review	review_and_accept_or_reject_item_evidence
x056_cut_item_decision_0031	x055_cut_evidence_0002	x054_cut_scope_0031	x052_cut_source_rescue_0031	work_candidate_bloom_horace_odes	Odes	Horace	longman_world_lit_2e_2009	longman2e_vola_279_horace_ode_2_13_not_only_did_he_plant_you_on_an_unholy_day	"Ode 2.13 ""Not only did he plant you on an unholy day"""	title_family_match_ode_source_item	medium	ready_for_representative_selection_evidence_review	The source item is compatible with representative-selection evidence, subject to reviewer acceptance.	may_generate_review_gated_representative_selection_evidence	needs_manual_review	review_and_accept_or_reject_item_evidence
x056_cut_item_decision_0032	x055_cut_evidence_0002	x054_cut_scope_0032	x052_cut_source_rescue_0032	work_candidate_bloom_horace_odes	Odes	Horace	longman_world_lit_2e_2009	longman2e_vola_280_horace_ode_2_14_ah_how_quickly_postumus_postumus	"Ode 2.14 ""Ah how quickly, Postumus, Postumus"""	title_family_match_ode_source_item	medium	ready_for_representative_selection_evidence_review	The source item is compatible with representative-selection evidence, subject to reviewer acceptance.	may_generate_review_gated_representative_selection_evidence	needs_manual_review	review_and_accept_or_reject_item_evidence
x056_cut_item_decision_0033	x055_cut_evidence_0010	x054_cut_scope_0033	x052_cut_source_rescue_0033	work_candidate_bloom_horace_odes	Odes	Horace	norton_world_lit_5e_full_pre1650	nawol5e_vola_139_horace_two_odes	TWO ODES	title_family_match_ode_source_item	medium	ready_for_representative_selection_evidence_review	The source item is compatible with representative-selection evidence, subject to reviewer acceptance.	may_generate_review_gated_representative_selection_evidence	needs_manual_review	review_and_accept_or_reject_item_evidence
x056_cut_item_decision_0034	""	x054_cut_scope_0034	x052_cut_source_rescue_0034	work_candidate_latcarib_lit_blow_up	Blow-Up and Other Stories	Julio Cortazar	e013_fsg_20c_latin_american_poetry_2011	e013_fsg20c_034_julio_cortazar_para_leer_en_forma_interrogative_to_be_read_in_the_inte	Para leer en forma interrogative : to be read in the interrogative	story_collection_membership_review	high	blocked_high_scope_risk	High-risk membership or form mismatch rows must be resolved before evidence generation.	no_evidence_change	needs_manual_review	resolve_scope_blocker_before_evidence_generation
x056_cut_item_decision_0035	""	x054_cut_scope_0035	x052_cut_source_rescue_0035	work_candidate_bloom_reviewed_cortazar_stories	Selected Stories	Julio Cortazar	e013_fsg_20c_latin_american_poetry_2011	e013_fsg20c_034_julio_cortazar_para_leer_en_forma_interrogative_to_be_read_in_the_inte	Para leer en forma interrogative : to be read in the interrogative	story_collection_membership_review	high	blocked_high_scope_risk	High-risk membership or form mismatch rows must be resolved before evidence generation.	no_evidence_change	needs_manual_review	resolve_scope_blocker_before_evidence_generation
x056_cut_item_decision_0036	""	x054_cut_scope_0036	x052_cut_source_rescue_0036	work_candidate_latcarib_lit_all_fires_fire	All Fires the Fire	Julio Cortazar	e013_fsg_20c_latin_american_poetry_2011	e013_fsg20c_034_julio_cortazar_para_leer_en_forma_interrogative_to_be_read_in_the_inte	Para leer en forma interrogative : to be read in the interrogative	story_collection_membership_review	high	blocked_high_scope_risk	High-risk membership or form mismatch rows must be resolved before evidence generation.	no_evidence_change	needs_manual_review	resolve_scope_blocker_before_evidence_generation
x056_cut_item_decision_0037	""	x054_cut_scope_0037	x052_cut_source_rescue_0037	work_candidate_latcarib_lit_blow_up	Blow-Up and Other Stories	Julio Cortazar	e013_oxford_latin_american_short_stories_1997	e013_oblass_040_julio_cortazar_the_night_face_up	The night face up	story_collection_membership_review	high	blocked_high_scope_risk	High-risk membership or form mismatch rows must be resolved before evidence generation.	no_evidence_change	needs_manual_review	resolve_scope_blocker_before_evidence_generation
x056_cut_item_decision_0038	""	x054_cut_scope_0038	x052_cut_source_rescue_0038	work_candidate_latcarib_lit_all_fires_fire	All Fires the Fire	Julio Cortazar	e013_oxford_latin_american_short_stories_1997	e013_oblass_040_julio_cortazar_the_night_face_up	The night face up	story_collection_membership_review	high	blocked_high_scope_risk	High-risk membership or form mismatch rows must be resolved before evidence generation.	no_evidence_change	needs_manual_review	resolve_scope_blocker_before_evidence_generation
x056_cut_item_decision_0039	""	x054_cut_scope_0039	x052_cut_source_rescue_0039	work_candidate_bloom_reviewed_cortazar_stories	Selected Stories	Julio Cortazar	e013_oxford_latin_american_short_stories_1997	e013_oblass_040_julio_cortazar_the_night_face_up	The night face up	story_collection_membership_review	high	blocked_high_scope_risk	High-risk membership or form mismatch rows must be resolved before evidence generation.	no_evidence_change	needs_manual_review	resolve_scope_blocker_before_evidence_generation
x056_cut_item_decision_0040	""	x054_cut_scope_0040	x052_cut_source_rescue_0040	work_candidate_bloom_reviewed_cortazar_stories	Selected Stories	Julio Cortazar	longman_world_lit_2e_2009	longman2e_volc_290_julio_cortazar_axolotl	Axolotl	story_collection_membership_review	high	blocked_high_scope_risk	High-risk membership or form mismatch rows must be resolved before evidence generation.	no_evidence_change	needs_manual_review	resolve_scope_blocker_before_evidence_generation
x056_cut_item_decision_0041	""	x054_cut_scope_0041	x052_cut_source_rescue_0041	work_candidate_latcarib_lit_blow_up	Blow-Up and Other Stories	Julio Cortazar	longman_world_lit_2e_2009	longman2e_volc_290_julio_cortazar_axolotl	Axolotl	story_collection_membership_review	high	blocked_high_scope_risk	High-risk membership or form mismatch rows must be resolved before evidence generation.	no_evidence_change	needs_manual_review	resolve_scope_blocker_before_evidence_generation
x056_cut_item_decision_0042	""	x054_cut_scope_0042	x052_cut_source_rescue_0042	work_candidate_latcarib_lit_all_fires_fire	All Fires the Fire	Julio Cortazar	longman_world_lit_2e_2009	longman2e_volc_290_julio_cortazar_axolotl	Axolotl	story_collection_membership_review	high	blocked_high_scope_risk	High-risk membership or form mismatch rows must be resolved before evidence generation.	no_evidence_change	needs_manual_review	resolve_scope_blocker_before_evidence_generation
x056_cut_item_decision_0043	x055_cut_evidence_0005	x054_cut_scope_0043	x052_cut_source_rescue_0043	work_candidate_bloom_darwish_selected_poems	Selected Poems	Mahmoud Darwish	longman_world_lit_2e_2009	longman2e_volf_261_mahmoud_darwish_a_poem_which_is_not_green_from_my_country	A Poem Which Is Not Green, from My Country	representative_poetry_selection_review	medium	ready_for_representative_selection_evidence_review	The source item is compatible with representative-selection evidence, subject to reviewer acceptance.	may_generate_review_gated_representative_selection_evidence	needs_manual_review	review_and_accept_or_reject_item_evidence
x056_cut_item_decision_0044	x055_cut_evidence_0005	x054_cut_scope_0044	x052_cut_source_rescue_0044	work_candidate_bloom_darwish_selected_poems	Selected Poems	Mahmoud Darwish	longman_world_lit_2e_2009	longman2e_volf_262_mahmoud_darwish_diary_of_a_palestinian_wound	Diary of a Palestinian Wound	representative_poetry_selection_review	medium	ready_for_representative_selection_evidence_review	The source item is compatible with representative-selection evidence, subject to reviewer acceptance.	may_generate_review_gated_representative_selection_evidence	needs_manual_review	review_and_accept_or_reject_item_evidence
x056_cut_item_decision_0045	x055_cut_evidence_0012	x054_cut_scope_0045	x052_cut_source_rescue_0045	work_candidate_global_lit_nazim_hikmet_poems	Selected Poems	Nazim Hikmet	longman_world_lit_2e_2009	longman2e_volf_113_nazim_hikmet_regarding_art	Regarding Art	representative_poetry_selection_review	medium	needs_form_review_before_representative_evidence	The source item title appears non-poetic or mixed-form and needs form review.	no_evidence_change	needs_manual_review	review_item_form_before_any_evidence_generation
x056_cut_item_decision_0046	x055_cut_evidence_0013	x054_cut_scope_0046	x052_cut_source_rescue_0046	work_candidate_bloom_mandelstam_poems	Poems	Osip Mandelstam	longman_world_lit_2e_2009	longman2e_volf_081_osip_mandelstam_to_a_a_a_akhmatova	To A.A.A. (Akhmatova)	representative_poetry_selection_review	medium	ready_for_representative_selection_evidence_review	The source item is compatible with representative-selection evidence, subject to reviewer acceptance.	may_generate_review_gated_representative_selection_evidence	needs_manual_review	review_and_accept_or_reject_item_evidence
x056_cut_item_decision_0047	x055_cut_evidence_0014	x054_cut_scope_0047	x052_cut_source_rescue_0047	work_candidate_bloom_celan_poems	Poems	Paul Celan	longman_world_lit_2e_2009	longman2e_volf_137_paul_celan_death_fugue	Death Fugue	representative_poetry_selection_review	medium	ready_for_representative_selection_evidence_review	The source item is compatible with representative-selection evidence, subject to reviewer acceptance.	may_generate_review_gated_representative_selection_evidence	needs_manual_review	review_and_accept_or_reject_item_evidence
x056_cut_item_decision_0048	x055_cut_evidence_0016	x054_cut_scope_0048	x052_cut_source_rescue_0048	work_candidate_bloom_late_033_literature_bloom_chaotic_age_reviewed_0835_collected_poems	Collected Poems	Primo Levi	longman_world_lit_2e_2009	longman2e_volf_135_primo_levi_the_two_flags	The Two Flags	representative_poetry_selection_review	medium	blocked_named_collection_exact_support_required	Individual anthology source items do not establish exact support for a named collection.	no_evidence_change	needs_manual_review	find_exact_collection_support_or_keep_cut_candidate_source_debt_open
