id	rank	phase	title	aliases	creators	date_label	sort_year	period_bucket	macro_region	form_bucket	section	group	topic	medium	unit_type	tier	pool	source	source_id	source_status	review_status	progress_status	lifetime_path	url	normalized_title	normalized_creators	boundary_flags	generic_title
candidate:southasia_lit_avadanasataka	160	1	Avadanasataka	""	Buddhist Sanskrit narrative tradition	early centuries CE	150	1_300_ce	south_asia	sacred_myth_ritual	textual_humanities	literature	sanskrit_literature	text	story_collection	major	coverage	wave_034_literature_south_asia_scale	southasia_lit_avadanasataka	manual_only	needs_sources	planned	true		avadanasataka	buddhist sanskrit narrative tradition	sacred_religious	true
candidate:global_lit_odes_solomon	165	1	Odes of Solomon	""	Early Syriac Christian poetic tradition	1st-2nd century	150	1_300_ce	middle_east_central_asia	poetry	textual_humanities	literature	syriac_literature	text	hymn_collection	major	coverage	wave_020_global_literature_asia_africa_spine	global_lit_odes_solomon	manual_only	needs_sources	planned	true		odes of solomon	early syriac christian poetic tradition	""	true
candidate:eastasia_lit_cao_cao_poems	180	1	Selected Poems	""	Cao Cao	late 2nd-early 3rd century	250	1_300_ce	east_asia	poetry	textual_humanities	literature	classical_chinese_literature	text	poetry_selection	major	coverage	wave_035_literature_east_asia_scale	eastasia_lit_cao_cao_poems	manual_only	needs_sources	planned	true		selected poems	cao cao	""	true
candidate:eastasia_lit_cao_zhi_poems	181	1	Selected Poems	""	Cao Zhi	3rd century	250	1_300_ce	east_asia	poetry	textual_humanities	literature	classical_chinese_literature	text	poetry_selection	major	coverage	wave_035_literature_east_asia_scale	eastasia_lit_cao_zhi_poems	manual_only	needs_sources	planned	true		selected poems	cao zhi	""	true
candidate:eastasia_lit_ruan_ji_poems	182	1	Selected Poems	""	Ruan Ji	3rd century	250	1_300_ce	east_asia	poetry	textual_humanities	literature	classical_chinese_literature	text	poetry_selection	major	coverage	wave_035_literature_east_asia_scale	eastasia_lit_ruan_ji_poems	manual_only	needs_sources	planned	true		selected poems	ruan ji	""	true
candidate:scale4_lit_ephrem_hymns_paradise	186	1	Hymns on Paradise	""	Ephrem the Syrian	4th century	350	300_600_ce	middle_east_central_asia	poetry	textual_humanities	literature	syriac_literature	text	hymn_sequence	major	coverage	wave_028_literature_undercovered_language_traditions	scale4_lit_ephrem_hymns_paradise	manual_only	needs_sources	planned	true		hymns on paradise	ephrem syrian	""	true
candidate:southasia_lit_jatakamala	188	1	Jatakamala	""	Arya Shura	c. 4th century	350	300_600_ce	south_asia	fiction_narrative_prose	textual_humanities	literature	sanskrit_literature	text	story_collection	major	coverage	wave_034_literature_south_asia_scale	southasia_lit_jatakamala	manual_only	needs_sources	planned	true		jatakamala	arya shura	""	true
candidate:eastasia_lit_bao_zhao_poems	200	1	Selected Poems	""	Bao Zhao	5th century	450	300_600_ce	east_asia	poetry	textual_humanities	literature	classical_chinese_literature	text	poetry_selection	major	coverage	wave_035_literature_east_asia_scale	eastasia_lit_bao_zhao_poems	manual_only	needs_sources	planned	true		selected poems	bao zhao	""	true
candidate:global_lit_tao_yuanming_poems	201	1	Selected Poems	""	Tao Yuanming	4th-5th century	450	300_600_ce	east_asia	poetry	textual_humanities	literature	classical_chinese_literature	text	poetry_selection	major	coverage	wave_020_global_literature_asia_africa_spine	global_lit_tao_yuanming_poems	manual_only	needs_sources	planned	true		selected poems	tao yuanming	""	true
candidate:eastasia_lit_xie_lingyun_poems	202	1	Selected Poems	""	Xie Lingyun	5th century	450	300_600_ce	east_asia	poetry	textual_humanities	literature	classical_chinese_literature	text	poetry_selection	major	coverage	wave_035_literature_east_asia_scale	eastasia_lit_xie_lingyun_poems	manual_only	needs_sources	planned	true		selected poems	xie lingyun	""	true
candidate:scale_lit_imru_al_qays_diwan	211	1	Selected Poems	""	Imru' al-Qays	6th century	550	300_600_ce	middle_east_central_asia	poetry	textual_humanities	literature	arabic_literature	text	poetry_selection	major	coverage	wave_025_literature_global_scale_completion	scale_lit_imru_al_qays_diwan	manual_only	needs_sources	planned	true		selected poems	imru al qays	""	true
candidate:eastasia_lit_yu_xin_poems	212	1	Selected Poems	""	Yu Xin	6th century	550	300_600_ce	east_asia	poetry	textual_humanities	literature	classical_chinese_literature	text	poetry_selection	major	coverage	wave_035_literature_east_asia_scale	eastasia_lit_yu_xin_poems	manual_only	needs_sources	planned	true		selected poems	yu xin	""	true
candidate:eastasia_lit_han_shan_poems	233	1	Cold Mountain Poems	""	Hanshan	Tang period	750	600_900_ce	east_asia	poetry	textual_humanities	literature	classical_chinese_literature	text	poetry_selection	major	coverage	wave_035_literature_east_asia_scale	eastasia_lit_han_shan_poems	manual_only	needs_sources	planned	true		cold mountain poems	hanshan	""	true
candidate:global_lit_wang_wei_poems	238	1	Selected Poems	""	Wang Wei	8th century	750	600_900_ce	east_asia	poetry	textual_humanities	literature	classical_chinese_literature	text	poetry_selection	major	coverage	wave_020_global_literature_asia_africa_spine	global_lit_wang_wei_poems	manual_only	needs_sources	planned	true		selected poems	wang wei	""	true
candidate:du_fu_selected_poems	239	1	Selected Poems	""	Du Fu	8th century	750	600_900_ce	east_asia	poetry	textual_humanities	literature	classical_chinese_literature	text	lyric_poetry_selection	major	coverage	wave_012_global_literatures_expansion	du_fu_selected_poems	manual_only	needs_sources	planned	true		selected poems	du fu	""	true
candidate:li_bai_selected_poems	240	1	Selected Poems	""	Li Bai	8th century	750	600_900_ce	east_asia	poetry	textual_humanities	literature	classical_chinese_literature	text	lyric_poetry_selection	major	coverage	wave_012_global_literatures_expansion	li_bai_selected_poems	manual_only	needs_sources	planned	true		selected poems	li bai	""	true
candidate:scale_lit_andal_poems	254	1	Selected Poems	""	Andal	8th-9th century	850	600_900_ce	south_asia	poetry	textual_humanities	literature	tamil_literature	text	devotional_poetry_selection	major	coverage	wave_025_literature_global_scale_completion	scale_lit_andal_poems	manual_only	needs_sources	planned	true		selected poems	andal	""	true
candidate:global_lit_abu_nuwas_poems	255	1	Selected Poems	""	Abu Nuwas	8th-9th century	850	600_900_ce	middle_east_central_asia	poetry	textual_humanities	literature	arabic_literature	text	poetry_selection	major	coverage	wave_020_global_literature_asia_africa_spine	global_lit_abu_nuwas_poems	manual_only	needs_sources	planned	true		selected poems	abu nuwas	""	true
candidate:me_lit_al_buhturi_poems	256	1	Selected Poems	""	al-Buhturi	9th century	850	600_900_ce	middle_east_central_asia	poetry	textual_humanities	literature	arabic_literature	text	poetry_selection	major	coverage	wave_036_literature_middle_east_persian_turkic_hebrew_scale	me_lit_al_buhturi_poems	manual_only	needs_sources	planned	true		selected poems	al buhturi	""	true
candidate:me_lit_abu_tammam_poems	257	1	Selected Poems	""	Abu Tammam	9th century	850	600_900_ce	middle_east_central_asia	poetry	textual_humanities	literature	arabic_literature	text	poetry_selection	major	coverage	wave_036_literature_middle_east_persian_turkic_hebrew_scale	me_lit_abu_tammam_poems	manual_only	needs_sources	planned	true		selected poems	abu tammam	""	true
candidate:eastasia_lit_bai_juyi_poems	259	1	Selected Poems	""	Bai Juyi	9th century	850	600_900_ce	east_asia	poetry	textual_humanities	literature	classical_chinese_literature	text	poetry_selection	major	coverage	wave_035_literature_east_asia_scale	eastasia_lit_bai_juyi_poems	manual_only	needs_sources	planned	true		selected poems	bai juyi	""	true
candidate:eastasia_lit_du_mu_poems	260	1	Selected Poems	""	Du Mu	9th century	850	600_900_ce	east_asia	poetry	textual_humanities	literature	classical_chinese_literature	text	poetry_selection	major	coverage	wave_035_literature_east_asia_scale	eastasia_lit_du_mu_poems	manual_only	needs_sources	planned	true		selected poems	du mu	""	true
candidate:eastasia_lit_li_shangyin_poems	261	1	Selected Poems	""	Li Shangyin	9th century	850	600_900_ce	east_asia	poetry	textual_humanities	literature	classical_chinese_literature	text	poetry_selection	major	coverage	wave_035_literature_east_asia_scale	eastasia_lit_li_shangyin_poems	manual_only	needs_sources	planned	true		selected poems	li shangyin	""	true
candidate:global_lit_mutanabbi_poems	271	1	Selected Poems	""	al-Mutanabbi	10th century	950	900_1100_ce	middle_east_central_asia	poetry	textual_humanities	literature	arabic_literature	text	poetry_selection	core	spine	wave_020_global_literature_asia_africa_spine	global_lit_mutanabbi_poems	manual_only	needs_sources	planned	true		selected poems	al mutanabbi	""	true
candidate:me_lit_rudaki_poems	277	1	Selected Poems	""	Rudaki	10th century	950	900_1100_ce	middle_east_central_asia	poetry	textual_humanities	literature	persian_literature	text	poetry_selection	major	coverage	wave_036_literature_middle_east_persian_turkic_hebrew_scale	me_lit_rudaki_poems	manual_only	needs_sources	planned	true		selected poems	rudaki	""	true
candidate:mandatory_old_english_elegies	283	1	Old English Elegies: Selected Poems	""	Old English poetic tradition	10th-century manuscript tradition	950	900_1100_ce	europe	poetry	textual_humanities	literature	old_english_literature	text	poetry_selection	major	coverage	wave_052_literature_dedupe_rank_audit_repairs	mandatory_old_english_elegies	manual_only	needs_sources	planned	true		old english elegies selected poems	old english poetic tradition	""	true
candidate:me_lit_baba_taher_quatrains	295	1	Quatrains	""	Baba Taher	11th century	1050	900_1100_ce	middle_east_central_asia	poetry	textual_humanities	literature	persian_literature	text	poetry_selection	major	coverage	wave_036_literature_middle_east_persian_turkic_hebrew_scale	me_lit_baba_taher_quatrains	manual_only	needs_sources	planned	true		quatrains	baba taher	""	true
candidate:eastasia_lit_su_shi_poems	298	1	Selected Poems	""	Su Shi	11th century	1050	900_1100_ce	east_asia	poetry	textual_humanities	literature	classical_chinese_literature	text	poetry_selection	major	coverage	wave_035_literature_east_asia_scale	eastasia_lit_su_shi_poems	manual_only	needs_sources	planned	true		selected poems	su shi	""	true
candidate:me_lit_nasir_khusraw_poems	299	1	Selected Poems	""	Nasir Khusraw	11th century	1050	900_1100_ce	middle_east_central_asia	poetry	textual_humanities	literature	persian_literature	text	poetry_selection	major	coverage	wave_036_literature_middle_east_persian_turkic_hebrew_scale	me_lit_nasir_khusraw_poems	manual_only	needs_sources	planned	true		selected poems	nasir khusraw	""	true
candidate:me_lit_ibn_zaydun_poems	300	1	Selected Poems	""	Ibn Zaydun	11th century	1050	900_1100_ce	middle_east_central_asia	poetry	textual_humanities	literature	arabic_literature	text	poetry_selection	major	coverage	wave_036_literature_middle_east_persian_turkic_hebrew_scale	me_lit_ibn_zaydun_poems	manual_only	needs_sources	planned	true		selected poems	ibn zaydun	""	true
candidate:me_lit_shmuel_hanagid_poems	301	2	Selected Poems	""	Samuel ha-Nagid	11th century	1050	900_1100_ce	middle_east_central_asia	poetry	textual_humanities	literature	hebrew_literature	text	poetry_selection	major	coverage	wave_036_literature_middle_east_persian_turkic_hebrew_scale	me_lit_shmuel_hanagid_poems	manual_only	needs_sources	planned	true		selected poems	samuel ha nagid	""	true
candidate:me_lit_ibn_gabirol_poems	302	2	Selected Poems	""	Solomon ibn Gabirol	11th century	1050	900_1100_ce	middle_east_central_asia	poetry	textual_humanities	literature	hebrew_literature	text	poetry_selection	major	coverage	wave_036_literature_middle_east_persian_turkic_hebrew_scale	me_lit_ibn_gabirol_poems	manual_only	needs_sources	planned	true		selected poems	solomon ibn gabirol	""	true
candidate:eastasia_lit_konjaku_monogatari	319	2	Konjaku Monogatari	""	Japanese setsuwa compilation tradition	12th century	1150	1100_1300_ce	east_asia	fiction_narrative_prose	textual_humanities	literature	japanese_literature	text	story_collection	major	coverage	wave_035_literature_east_asia_scale	eastasia_lit_konjaku_monogatari	manual_only	needs_sources	planned	true		konjaku monogatari	japanese setsuwa compilation tradition	""	true
candidate:eastasia_lit_xin_qiji_ci	329	2	Selected Ci Poems	""	Xin Qiji	12th century	1150	1100_1300_ce	east_asia	poetry	textual_humanities	literature	classical_chinese_literature	text	poetry_selection	major	coverage	wave_035_literature_east_asia_scale	eastasia_lit_xin_qiji_ci	manual_only	needs_sources	planned	true		selected ci poems	xin qiji	""	true
candidate:eastasia_lit_li_qingzhao_ci	330	2	Selected Ci Poems	""	Li Qingzhao	12th century	1150	1100_1300_ce	east_asia	poetry	textual_humanities	literature	classical_chinese_literature	text	poetry_selection	major	coverage	wave_035_literature_east_asia_scale	eastasia_lit_li_qingzhao_ci	manual_only	needs_sources	planned	true		selected ci poems	li qingzhao	""	true
candidate:eastasia_lit_lu_you_poems	331	2	Selected Poems	""	Lu You	12th century	1150	1100_1300_ce	east_asia	poetry	textual_humanities	literature	classical_chinese_literature	text	poetry_selection	major	coverage	wave_035_literature_east_asia_scale	eastasia_lit_lu_you_poems	manual_only	needs_sources	planned	true		selected poems	lu you	""	true
candidate:me_lit_yehuda_halevi_poems	332	2	Selected Poems	""	Yehuda Halevi	11th-12th century	1150	1100_1300_ce	middle_east_central_asia	poetry	textual_humanities	literature	hebrew_literature	text	poetry_selection	major	coverage	wave_036_literature_middle_east_persian_turkic_hebrew_scale	me_lit_yehuda_halevi_poems	manual_only	needs_sources	planned	true		selected poems	yehuda halevi	""	true
candidate:southasia_lit_divyavadana	351	2	Divyavadana	""	Buddhist Sanskrit narrative tradition	ancient and medieval compilation	1200	1100_1300_ce	south_asia	sacred_myth_ritual	textual_humanities	literature	sanskrit_literature	text	story_collection	major	coverage	wave_034_literature_south_asia_scale	southasia_lit_divyavadana	manual_only	needs_sources	planned	true		divyavadana	buddhist sanskrit narrative tradition	sacred_religious	true
candidate:global_lit_ibn_al_farid_poems	382	2	Selected Poems	""	Ibn al-Farid	13th century	1250	1100_1300_ce	middle_east_central_asia	poetry	textual_humanities	literature	arabic_literature	text	sufi_poetry_selection	major	coverage	wave_020_global_literature_asia_africa_spine	global_lit_ibn_al_farid_poems	manual_only	needs_sources	planned	true		selected poems	ibn al farid	""	true
candidate:completion_lit_count_lucanor	398	2	Count Lucanor	""	Don Juan Manuel	1335	1335	1300_1500_ce	europe	fiction_narrative_prose	textual_humanities	literature	spanish_literature	text	story_collection	major	coverage	wave_022_literature_europe_completion_spine	completion_lit_count_lucanor	manual_only	needs_sources	planned	true		count lucanor	don juan manuel	""	true
candidate:global_lit_yunus_emre_poems	410	2	Selected Poems	""	Yunus Emre	13th-14th century	1350	1300_1500_ce	middle_east_central_asia	poetry	textual_humanities	literature	turkic_literature	text	devotional_poetry_selection	major	coverage	wave_020_global_literature_asia_africa_spine	global_lit_yunus_emre_poems	manual_only	needs_sources	planned	true		selected poems	yunus emre	""	true
candidate:me_lit_navai_ghazals	434	2	Selected Ghazals	""	Ali-Shir Nava'i	15th century	1450	1300_1500_ce	middle_east_central_asia	poetry	textual_humanities	literature	central_asian_literature	text	poetry_selection	major	coverage	wave_036_literature_middle_east_persian_turkic_hebrew_scale	me_lit_navai_ghazals	manual_only	needs_sources	planned	true		selected ghazals	ali shir navai	""	true
candidate:bloom_reviewed_villon_poems	435	2	Selected Poems	""	Francois Villon	15th century	1450	1300_1500_ce	cross_regional_or_unknown	poetry	textual_humanities	literature	medieval_european_literature	text	poetry_selection	major	coverage	wave_030_literature_bloom_reviewed_priority	bloom_reviewed_villon_poems	manual_only	needs_sources	planned	true		selected poems	francois villon	""	true
candidate:me_lit_baki_poems	477	2	Selected Poems	""	Baki	16th century	1550	1500_1600_ce	middle_east_central_asia	poetry	textual_humanities	literature	turkish_ottoman_literature	text	poetry_selection	major	coverage	wave_036_literature_middle_east_persian_turkic_hebrew_scale	me_lit_baki_poems	manual_only	needs_sources	planned	true		selected poems	baki	""	true
candidate:me_lit_mihri_hatun_poems	478	2	Selected Poems	""	Mihri Hatun	15th-16th century	1550	1500_1600_ce	middle_east_central_asia	poetry	textual_humanities	literature	turkish_ottoman_literature	text	poetry_selection	major	coverage	wave_036_literature_middle_east_persian_turkic_hebrew_scale	me_lit_mihri_hatun_poems	manual_only	needs_sources	planned	true		selected poems	mihri hatun	""	true
candidate:global_lit_hwang_jini_sijo	479	2	Selected Sijo	""	Hwang Jini	16th century	1550	1500_1600_ce	east_asia	poetry	textual_humanities	literature	korean_literature	text	lyric_poetry_collection	major	coverage	wave_020_global_literature_asia_africa_spine	global_lit_hwang_jini_sijo	manual_only	needs_sources	planned	true		selected sijo	hwang jini	""	true
candidate:bloom_gap_031_0279_elegies	486	2	"""Elegies"""	""	Pierre de Ronsard	16th century	1560	1500_1600_ce	europe	poetry	textual_humanities	literature	francophone_literature	text	poetry_selection	contextual	coverage	wave_031_literature_bloom_gap_classical_early_modern	bloom_gap_031_0279_elegies	manual_only	needs_sources	planned	true		elegies	pierre de ronsard	""	true
candidate:bloom_gap_031_0278_les_odes	488	2	Les Odes	""	Pierre de Ronsard	16th century	1560	1500_1600_ce	europe	poetry	textual_humanities	literature	francophone_literature	text	poetry_selection	contextual	coverage	wave_031_literature_bloom_gap_classical_early_modern	bloom_gap_031_0278_les_odes	manual_only	needs_sources	planned	true		les odes	pierre de ronsard	""	true
candidate:bloom_gap_031_0136_sonnets	527	2	"""Sonnets"""	""	Luis de Gongora	16th-17th century	1600	1600_1700_ce	europe	poetry	textual_humanities	literature	spanish_literature	text	poetry_selection	contextual	coverage	wave_031_literature_bloom_gap_classical_early_modern	bloom_gap_031_0136_sonnets	manual_only	needs_sources	planned	true		sonnets	luis de gongora	""	true
candidate:bloom_gap_031_0135_the_poems_of_st_john_of_the_cross	529	2	The Poems of St. John of the Cross	""	San Juan de la Cruz (Saint John of the Cross)	16th-17th century	1600	1600_1700_ce	europe	poetry	textual_humanities	literature	spanish_literature	text	poetry_selection	contextual	coverage	wave_031_literature_bloom_gap_classical_early_modern	bloom_gap_031_0135_the_poems_of_st_john_of_the_cross	manual_only	needs_sources	planned	true		poems of st john of cross	san juan de la cruz saint john of cross	""	true
candidate:bloom_gap_031_0134_the_unknown_light_the_poems_of_fray_luis_de_leon	530	2	The Unknown Light: The Poems of Fray Luis de Leon	""	Fray Luis de Leon	16th-17th century	1600	1600_1700_ce	europe	poetry	textual_humanities	literature	spanish_literature	text	poetry_selection	contextual	coverage	wave_031_literature_bloom_gap_classical_early_modern	bloom_gap_031_0134_the_unknown_light_the_poems_of_fray_luis_de_leon	manual_only	needs_sources	planned	true		unknown light poems of fray luis de leon	fray luis de leon	""	true
candidate:bloom_shakespeare_sonnets	541	2	Sonnets	""	William Shakespeare	1609	1609	1600_1700_ce	europe	fiction_narrative_prose	textual_humanities	literature	british_literature	text	sonnet_sequence	core	spine	wave_019_bloom_western_literature_spine	bloom_shakespeare_sonnets	manual_only	needs_sources	planned	true		sonnets	william shakespeare	""	true
candidate:bloom_cervantes_exemplary_stories	550	2	Exemplary Stories	""	Miguel de Cervantes	1613	1613	1600_1700_ce	europe	fiction_narrative_prose	textual_humanities	literature	spanish_literature	text	short_story_collection	major	coverage	wave_019_bloom_western_literature_spine	bloom_cervantes_exemplary_stories	manual_only	needs_sources	planned	true		exemplary stories	miguel de cervantes	""	true
candidate:mandatory_feng_menglong_stories	559	2	Stories Old and New	Stories to Awaken the World	Feng Menglong	1620s	1620	1600_1700_ce	east_asia	fiction_narrative_prose	textual_humanities	literature	chinese_vernacular_fiction	text	short_story_collection	major	coverage	wave_051_literature_mandatory_omissions_early_modern_global_modern	mandatory_feng_menglong_stories	manual_only	needs_sources	planned	true		stories old and new	feng menglong	""	true
candidate:global_lit_basho_haiku	572	2	Selected Haiku	""	Matsuo Basho	17th century	1650	1600_1700_ce	east_asia	poetry	textual_humanities	literature	japanese_literature	text	poetry_selection	core	spine	wave_020_global_literature_asia_africa_spine	global_lit_basho_haiku	manual_only	needs_sources	planned	true		selected haiku	matsuo basho	""	true
candidate:bloom_marvell_poems	575	2	Poems	""	Andrew Marvell	17th century	1650	1600_1700_ce	europe	poetry	textual_humanities	literature	british_literature	text	poetry_collection	major	coverage	wave_019_bloom_western_literature_spine	bloom_marvell_poems	manual_only	needs_sources	planned	true		poems	andrew marvell	""	true
candidate:southasia_lit_tukaram_abhangas	576	2	Selected Abhangas	Selected Abhangs	Tukaram	17th century	1650	1600_1700_ce	south_asia	poetry	textual_humanities	literature	marathi_literature	text	devotional_poetry_selection	major	coverage	wave_034_literature_south_asia_scale	southasia_lit_tukaram_abhangas	manual_only	needs_sources	planned	true		selected abhangas	tukaram	""	true
candidate:bloom_reviewed_donne_poems	577	2	Selected Poems	""	John Donne	17th century	1650	1600_1700_ce	europe	poetry	textual_humanities	literature	british_literature	text	poetry_selection	major	coverage	wave_030_literature_bloom_reviewed_priority	bloom_reviewed_donne_poems	manual_only	needs_sources	planned	true		selected poems	john donne	""	true
candidate:bloom_reviewed_sor_juana_poems	578	2	Selected Poems	""	Sor Juana Ines de la Cruz	17th century	1650	1600_1700_ce	europe	poetry	textual_humanities	literature	spanish_literature	text	poetry_selection	major	coverage	wave_030_literature_bloom_reviewed_priority	bloom_reviewed_sor_juana_poems	manual_only	needs_sources	planned	true		selected poems	sor juana ines de la cruz	""	true
candidate:mandatory_vemana_poems	588	2	Selected Poems	""	Vemana	17th century	1650	1600_1700_ce	south_asia	poetry	textual_humanities	literature	telugu_literature	text	poetry_selection	major	coverage	wave_053_literature_second_tier_omissions_cleanup	mandatory_vemana_poems	manual_only	needs_sources	planned	true		selected poems	vemana	""	true
candidate:mandatory_saib_tabrizi_ghazals	589	2	Selected Ghazals	""	Saib Tabrizi	17th century	1650	1600_1700_ce	middle_east_central_asia	poetry	textual_humanities	literature	persian_literature	text	poetry_selection	major	coverage	wave_053_literature_second_tier_omissions_cleanup	mandatory_saib_tabrizi_ghazals	manual_only	needs_sources	planned	true		selected ghazals	saib tabrizi	""	true
candidate:eastasia_lit_five_women_loved_love	619	3	Five Women Who Loved Love	""	Ihara Saikaku	1686	1686	1600_1700_ce	east_asia	fiction_narrative_prose	textual_humanities	literature	japanese_literature	text	story_collection	major	coverage	wave_035_literature_east_asia_scale	eastasia_lit_five_women_loved_love	manual_only	needs_sources	planned	true		five women who loved love	ihara saikaku	""	true
candidate:mandatory_bedil_poems	630	3	Selected Poems	""	Abdul-Qadir Bedil	late 17th-early 18th century	1700	1700_1750_ce	middle_east_central_asia	poetry	textual_humanities	literature	indo_persian_literature	text	poetry_selection	major	coverage	wave_051_literature_mandatory_omissions_early_modern_global_modern	mandatory_bedil_poems	manual_only	needs_sources	planned	true		selected poems	abdul qadir bedil	""	true
candidate:bloom_reviewed_pope_poems	636	3	The Rape of the Lock and Selected Poems	The Rape of the Lock | Selected Poems (Alexander Pope)	Alexander Pope	1712; revised 1714; selected poems	1712	1700_1750_ce	europe	poetry	textual_humanities	literature	british_literature	text	poetry_selection	major	coverage	wave_030_literature_bloom_reviewed_priority	bloom_reviewed_pope_poems	manual_only	needs_sources	planned	true		rape of lock and selected poems	alexander pope	""	true
candidate:strange_tales_liaozhai	650	3	Strange Tales from a Chinese Studio	Liaozhai zhiyi | Liao Zhai | Selected Tales from Liaozhai	Pu Songling	c. 1740	1740	1700_1750_ce	east_asia	fiction_narrative_prose	textual_humanities	literature	classical_chinese_literature	text	short_story_collection	major	coverage	wave_018_phase_0_expansion	strange_tales_liaozhai	manual_only	needs_sources	planned	true		strange tales from chinese studio	pu songling	""	true
candidate:eastasia_lit_buson_haiku	660	3	Selected Haiku	""	Yosa Buson	18th century	1750	1750_1800_ce	east_asia	poetry	textual_humanities	literature	japanese_literature	text	poetry_selection	major	coverage	wave_035_literature_east_asia_scale	eastasia_lit_buson_haiku	manual_only	needs_sources	planned	true		selected haiku	yosa buson	""	true
candidate:southasia_lit_bulleh_shah_kafis	661	3	Selected Kafis	""	Bulleh Shah	18th century	1750	1750_1800_ce	south_asia	poetry	textual_humanities	literature	punjabi_literature	text	sufi_poetry_selection	major	coverage	wave_034_literature_south_asia_scale	southasia_lit_bulleh_shah_kafis	manual_only	needs_sources	planned	true		selected kafis	bulleh shah	""	true
candidate:me_lit_sayat_nova_poems	662	3	Selected Poems	""	Sayat-Nova	18th century	1750	1750_1800_ce	middle_east_central_asia	poetry	textual_humanities	literature	armenian_literature	text	poetry_selection	major	coverage	wave_036_literature_middle_east_persian_turkic_hebrew_scale	me_lit_sayat_nova_poems	manual_only	needs_sources	planned	true		selected poems	sayat nova	""	true
candidate:me_lit_nedim_poems	663	3	Selected Poems	""	Nedim	18th century	1750	1750_1800_ce	middle_east_central_asia	poetry	textual_humanities	literature	turkish_ottoman_literature	text	poetry_selection	major	coverage	wave_036_literature_middle_east_persian_turkic_hebrew_scale	me_lit_nedim_poems	manual_only	needs_sources	planned	true		selected poems	nedim	""	true
